Campaign,Hour of the day,Clicks
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,5,231
Lifetime Campaign - Technical Innovation  - B (Run 1),5,75
Lifetime Campaign - Technical Innovation  - US (Run 1),5,54
Lifetime Campaign - Technical Innovation  - A (Run 1),5,57
Lifetime Campaign - Technical Innovation  - C (Run 1),5,46
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,5,124
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,5,795
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,5,949
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,5,246
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,5,33
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,5,23
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,5,75
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,5,44
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,5,16
Course - System Thinking - Run 17 - Search - Prospecting - USA,5,81
Course - System Thinking - Run 17 - Search - Prospecting - A,5,314
Course - System Thinking - Run 17 - Search - Prospecting - B,5,465
Lifetime Campaign - Leadership Principles  - US (Run 3),6,124
Lifetime Campaign - Leadership Principles  - A (Run 3),6,276
Lifetime Campaign - Leadership Principles  - B (Run 3),6,898
Lifetime Campaign - Leadership Principles  - C (Run 3),6,296
Lifetime Campaign - Organizational Strategy  - US (Run 1),6,167
Lifetime Campaign - Organizational Strategy  - A (Run 1),6,77
Lifetime Campaign - Organizational Strategy  - C (Run 1),6,125
Lifetime Campaign - Organizational Strategy  - B (Run 1),6,249
Course - System Thinking - Run 12 - Search - Lead Gen - US,6,682
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,6,"2,367"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,6,"2,285"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,6,277
Lifetime Campaign - Technical Innovation  - B (Run 1),6,67
Lifetime Campaign - Technical Innovation  - US (Run 1),6,71
Lifetime Campaign - Technical Innovation  - A (Run 1),6,49
Lifetime Campaign - Technical Innovation  - C (Run 1),6,64
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,6,177
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,6,761
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,6,910
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,6,289
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,6,38
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,6,27
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,6,79
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,6,38
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,6,18
Course - System Thinking - Run 17 - Search - Prospecting - USA,6,113
Course - System Thinking - Run 17 - Search - Prospecting - A,6,294
Course - System Thinking - Run 17 - Search - Prospecting - B,6,475
Lifetime Campaign - Leadership Principles  - US (Run 3),7,141
Lifetime Campaign - Leadership Principles  - A (Run 3),7,260
Lifetime Campaign - Leadership Principles  - B (Run 3),7,865
Lifetime Campaign - Leadership Principles  - C (Run 3),7,264
Lifetime Campaign - Organizational Strategy  - US (Run 1),7,172
Lifetime Campaign - Organizational Strategy  - A (Run 1),7,95
Lifetime Campaign - Organizational Strategy  - C (Run 1),7,110
Lifetime Campaign - Organizational Strategy  - B (Run 1),7,262
Course - System Thinking - Run 12 - Search - Lead Gen - US,7,"1,090"
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,7,"2,420"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,7,"2,533"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,7,283
Lifetime Campaign - Technical Innovation  - B (Run 1),7,88
Lifetime Campaign - Technical Innovation  - US (Run 1),7,81
Lifetime Campaign - Technical Innovation  - A (Run 1),7,41
Lifetime Campaign - Technical Innovation  - C (Run 1),7,56
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,7,237
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,7,683
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,7,954
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,7,273
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,7,70
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,7,31
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,7,95
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,7,54
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,7,36
Course - System Thinking - Run 17 - Search - Prospecting - USA,7,156
Course - System Thinking - Run 17 - Search - Prospecting - A,7,331
Course - System Thinking - Run 17 - Search - Prospecting - B,7,524
Lifetime Campaign - Leadership Principles  - US (Run 3),8,200
Lifetime Campaign - Leadership Principles  - A (Run 3),8,267
Lifetime Campaign - Leadership Principles  - B (Run 3),8,851
Lifetime Campaign - Leadership Principles  - C (Run 3),8,299
Lifetime Campaign - Organizational Strategy  - US (Run 1),8,158
Lifetime Campaign - Organizational Strategy  - A (Run 1),8,83
Lifetime Campaign - Organizational Strategy  - C (Run 1),8,90
Lifetime Campaign - Organizational Strategy  - B (Run 1),8,295
Course - System Thinking - Run 12 - Search - Lead Gen - US,8,"1,606"
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,8,"2,528"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,8,"2,828"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,8,352
Lifetime Campaign - Technical Innovation  - B (Run 1),8,77
Lifetime Campaign - Technical Innovation  - US (Run 1),8,73
Lifetime Campaign - Technical Innovation  - A (Run 1),8,38
Lifetime Campaign - Technical Innovation  - C (Run 1),8,62
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,8,395
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,8,761
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,8,917
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,8,339
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,8,106
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,8,36
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,8,85
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,8,59
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,8,75
Course - System Thinking - Run 17 - Search - Prospecting - USA,8,210
Course - System Thinking - Run 17 - Search - Prospecting - A,8,293
Course - System Thinking - Run 17 - Search - Prospecting - B,8,521
Lifetime Campaign - Leadership Principles  - US (Run 3),9,264
Lifetime Campaign - Leadership Principles  - A (Run 3),9,287
Lifetime Campaign - Leadership Principles  - B (Run 3),9,783
Lifetime Campaign - Leadership Principles  - C (Run 3),9,285
Lifetime Campaign - Organizational Strategy  - US (Run 1),9,202
Lifetime Campaign - Organizational Strategy  - A (Run 1),9,94
Lifetime Campaign - Organizational Strategy  - C (Run 1),9,79
Lifetime Campaign - Organizational Strategy  - B (Run 1),9,226
Course - System Thinking - Run 12 - Search - Lead Gen - US,9,"2,280"
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,9,"2,598"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,9,"2,845"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,9,349
Lifetime Campaign - Technical Innovation  - B (Run 1),9,72
Lifetime Campaign - Technical Innovation  - US (Run 1),9,80
Lifetime Campaign - Technical Innovation  - A (Run 1),9,48
Lifetime Campaign - Technical Innovation  - C (Run 1),9,49
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,9,583
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,9,693
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,9,954
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,9,280
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,9,151
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,9,30
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,9,68
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,9,57
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,9,95
Course - System Thinking - Run 17 - Search - Prospecting - USA,9,293
Course - System Thinking - Run 17 - Search - Prospecting - A,9,325
Course - System Thinking - Run 17 - Search - Prospecting - B,9,589
Lifetime Campaign - Leadership Principles  - US (Run 3),10,291
Lifetime Campaign - Leadership Principles  - A (Run 3),10,265
Lifetime Campaign - Leadership Principles  - B (Run 3),10,673
Lifetime Campaign - Leadership Principles  - C (Run 3),10,308
Lifetime Campaign - Organizational Strategy  - US (Run 1),10,216
Lifetime Campaign - Organizational Strategy  - A (Run 1),10,89
Lifetime Campaign - Organizational Strategy  - C (Run 1),10,100
Lifetime Campaign - Organizational Strategy  - B (Run 1),10,200
Course - System Thinking - Run 12 - Search - Lead Gen - US,10,"2,725"
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,10,"2,363"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,10,"2,713"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,10,304
Lifetime Campaign - Technical Innovation  - B (Run 1),10,72
Lifetime Campaign - Technical Innovation  - US (Run 1),10,136
Lifetime Campaign - Technical Innovation  - A (Run 1),10,57
Lifetime Campaign - Technical Innovation  - C (Run 1),10,42
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,10,671
