Device report
1 June 2022 - 9 February 2026
Campaign,Country/Territory (User location),Clicks
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Rwanda,52
Course - System Thinking - Run 11 - Display - Remarketing - WW,Costa Rica,270
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Hungary,30
Course - System Thinking - Run 12 - Display - Remarketing - A,Austria,8
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Malaysia,"1,613"
Course - System Thinking - Run 11 - Display - Remarketing - WW,Guinea-Bissau,39
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Finland,5
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Qatar,499
Course - System Thinking - Run 11 - Display - Remarketing - WW,British Virgin Islands,17
Course - System Thinking - Run 17 - Search - Prospecting - B,Nigeria,836
Course - System Thinking - Run 11 - Display - Remarketing - WW,Somalia,"3,392"
Course - System Thinking - Run 17 - Demand Gen - Prospecting - A,Netherlands,54
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Tunisia,47
Course - System Thinking - Run 11 - Display - Remarketing - WW,Dominica,0
Course - System Thinking - Run 14 - Display - Webinar - A,Norway,4
Course - System Thinking - Run 12 - Discovery - Webinar - A,Norway,2
Course - System Thinking - Run 11 - Display - Remarketing - WW,Guinea,115
Course - System Thinking - Run 12 - Discovery - Webinar - B,New Zealand,4
Course - System Thinking - Run 11 - Display - Remarketing - WW,Saint Barthelemy,0
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Sri Lanka,223
Course - System Thinking - Run 16 - Display - Remarketing - USA,Pakistan,0
Course - System Thinking - Run 17 - Demand Gen - RM - A,South Africa,935
Course - System Thinking - Run 12 - Discovery - Webinar - A,Italy,24
Course - System Thinking - Run 11 - Display - Remarketing - WW,Paraguay,60
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Austria,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,French Polynesia,9
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Tunisia,35
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Zimbabwe,19
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Sao Tome and Principe,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,South Korea,134
Course - System Thinking - Run 11 - Display - Remarketing - WW,Cook Islands,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,Mongolia,265
Course - System Thinking - Run 16 - Demand Gen - Remarketing - A,Mexico,168
Course - System Thinking - Run 12 - Discovery - Webinar - A,France,10
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Liberia,1
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Senegal,42
Course - System Thinking - Run 11 - Display - Remarketing - WW,Lebanon,"1,182"
Course - System Thinking - Run 11 - Display - Remarketing - WW,Niger,146
Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,Canada,17
Course - System Thinking - Run 16 - Demand Gen - Remarketing - A,Sweden,0
Course - System Thinking - Run 17 - Search - Prospecting - A,South Africa,"4,210"
Course - System Thinking - Run 12 - Display - Remarketing - A,China,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Dominican Republic,66
Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,Ireland,9
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Egypt,345
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Portugal,29
Course - System Thinking - Run 14 - Display - Webinar - B,Sweden,40
Course - System Thinking - Run 11 - Display - Remarketing - WW,Ghana,"16,557"
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Singapore,39
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Portugal,0
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Poland,0
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Turkiye,10
Course - System Thinking - Run 11 - Display - Remarketing - WW,Gibraltar,2
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Singapore,94
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Turkiye,1
Course - System Thinking - Run 12 - Discovery - Webinar - B,Brazil,486
Course - System Thinking - Run 17 - Demand Gen - RM - A,Switzerland,3
Course - System Thinking - Run 17 - Demand Gen - Prospecting - A,Australia,20
Course - System Thinking - Run 12 - Discovery - Webinar - A,Canada,22
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Myanmar (Burma),14
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Sierra Leone,9
Course - System Thinking - Run 16 - Display - Remarketing - A,Belgium,4
Course - System Thinking - Run 11 - Display - Remarketing - WW,Barbados,2
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,South Korea,78
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Turkmenistan,1
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Peru,"1,528"
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Mauritius,2
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Croatia,0
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Thailand,177
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,Japan,8
Course - System Thinking - Run 11 - Display - Remarketing - WW,Mauritius,85
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Cabo Verde,7
Course - System Thinking - Run 12 - Discovery - Webinar - B,Denmark,5
Course - System Thinking - Run 14 - Display - Webinar - B,Cyprus,1
Course - System Thinking - Run 17 - Demand Gen - Prospecting - A,Switzerland,18
Course - System Thinking - Run 12 - Discovery - Webinar - B,Saudi Arabia,131
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Poland,70
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Tunisia,116
Course - System Thinking - Run 11 - Display - Remarketing - WW,Maldives,64
