Campaign,Conversion action,Hour of the day,All conv.
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,19,0.40
Course - System Thinking - Run 17 - Search - Prospecting - USA,Purchase,19,1.00
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,20,3.00
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,20,2.00
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,20,1.00
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Purchase,20,2.00
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,21,2.80
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,21,1.00
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,Purchase,21,1.00
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,22,2.00
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,22,1.02
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,22,3.00
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Purchase,22,1.00
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,Purchase,22,1.00
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,23,1.00
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,23,0.50
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,23,0.44
