Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19
best courses on artificial intelligence,-0.81488293,-0.18384103,-0.30541202,0.14437279,0.0047754482,0.018819077,-0.14191884,0.3206261,-0.19873375,-0.06235974,0.050373606,-0.012644922,-0.027268955,0.07327717,0.01501073,0.0919023,-0.05090624,-0.006101376,-0.031079894,0.01639859
ai short course,-0.862388,-0.040295046,-0.007093719,0.19260605,-0.08947093,-0.017994007,0.038989186,0.023276452,0.048180096,0.28224957,-0.0541346,-0.012980686,0.09952728,-0.15505546,-0.24987124,-0.11198657,0.08673075,0.024247745,0.06420117,-0.029721862
best place to study artificial intelligence,-0.7718037,-0.3245577,-0.25268546,0.10099832,-0.011904399,-0.07957458,-0.13262166,0.27925575,-0.24702618,-0.1319228,0.024375752,0.013655869,0.052850824,0.112567626,0.025206786,0.14520593,-0.013880897,-0.073270366,-0.030520294,0.0009698203
ai for enterprise,-0.7392351,-0.263024,0.4488563,0.32119155,0.058879882,-0.06248842,0.1416806,0.011152001,0.03554735,-0.005648302,0.039608337,-0.05460434,0.066829965,0.017319689,-0.13096571,0.024141658,0.084054194,-0.07200084,0.10004415,0.039235704
executive education ai,-0.68094635,-0.17833826,0.19938293,0.22128102,-0.0657588,0.16467227,0.27802497,-0.056428187,0.3089001,-0.08156679,0.07626765,0.07129665,0.24670653,0.21385245,0.12180422,0.084086835,0.1522953,0.19129895,0.01976135,-0.047007665
generative ai training course,-0.8896815,0.36204425,-0.07992721,-0.07792271,0.037823845,0.16002429,-0.04036678,-0.07369325,0.03537276,0.033887196,0.0058819284,0.09114209,-0.00088446354,-0.058238342,0.11193762,-0.027101927,0.03561143,0.019180352,0.0105502745,0.041065153
course generator ai,-0.88095933,0.088100605,-0.12453452,0.13304313,-0.0525373,0.059426066,-0.088365175,-0.24161251,0.15455705,0.09802038,0.009516861,0.0072193854,0.07741798,-0.09396091,-0.057668716,-0.08521446,-0.206563,0.07019253,-0.050697062,0.03534943
courses on generative ai,-0.8565439,0.4458905,-0.050527193,-0.06370836,0.012752199,0.13737936,-0.03457317,0.14928313,-0.06774077,-0.072054364,0.0014960115,0.002435229,0.0024893826,-0.015950011,0.06222328,0.05812103,0.025779106,-0.020436296,-0.0003583746,0.0021134901
google generative ai course,-0.91869724,0.36458287,-0.013491022,-0.0022333644,-0.02793572,0.0037865767,-0.003828207,0.035573937,0.053788118,-0.042632043,-0.024061587,-0.06618489,-0.003991825,-0.068748645,0.016246812,-0.032134417,0.036897544,0.021488573,-0.037421085,-0.043361995
best course for artificial intelligence,-0.8452912,-0.17518015,-0.2891728,0.16372587,-0.057032272,0.05734479,-0.15898107,0.26133746,-0.12935275,-0.02933839,0.08845836,-0.0077913464,-0.06389062,0.039592415,-0.028649276,0.048058286,-0.085394874,-0.032425072,0.008018201,0.03985003
