Campaign,Hour of the day,Clicks
Course - DAI - Run 1 - Search - Lead Gen - USA,9,321
Course - DAI - Run 1 - Search - Lead Gen - USA,10,385
Course - DAI - Run 1 - Search - Lead Gen - USA,11,447
Course - DAI - Run 1 - Search - Lead Gen - USA,12,379
Course - DAI - Run 1 - Search - Lead Gen - USA,13,455
Course - DAI - Run 1 - Search - Lead Gen - USA,14,429
Course - DAI - Run 1 - Search - Lead Gen - USA,15,500
Course - DAI - Run 1 - Search - Lead Gen - USA,16,471
Course - DAI - Run 1 - Search - Lead Gen - USA,17,427
Course - DAI - Run 1 - Search - Lead Gen - USA,18,437
Course - DAI - Run 1 - Search - Lead Gen - USA,19,418
Course - DAI - Run 1 - Search - Lead Gen - USA,20,517
Course - DAI - Run 1 - Search - Lead Gen - USA,21,561
Course - DAI - Run 1 - Search - Lead Gen - USA,22,435
Course - DAI - Run 1 - Search - Lead Gen - USA,23,266
Course - DAI - Run 3 - Search - Prospecting - A,0,104
Course - DAI - Run 3 - Search - Prospecting - A,1,115
Course - DAI - Run 3 - Search - Prospecting - A,2,114
Course - DAI - Run 3 - Search - Prospecting - A,3,119
Course - DAI - Run 3 - Search - Prospecting - A,4,148
Course - DAI - Run 3 - Search - Prospecting - A,5,158
Course - DAI - Run 3 - Search - Prospecting - A,6,133
Course - DAI - Run 3 - Search - Prospecting - A,7,118
Course - DAI - Run 3 - Search - Prospecting - A,8,161
Course - DAI - Run 3 - Search - Prospecting - A,9,163
Course - DAI - Run 3 - Search - Prospecting - A,10,198
Course - DAI - Run 3 - Search - Prospecting - A,11,186
Course - DAI - Run 3 - Search - Prospecting - A,12,184
Course - DAI - Run 3 - Search - Prospecting - A,13,141
Course - DAI - Run 3 - Search - Prospecting - A,14,176
Course - DAI - Run 3 - Search - Prospecting - A,15,153
Course - DAI - Run 3 - Search - Prospecting - A,16,184
Course - DAI - Run 3 - Search - Prospecting - A,17,138
Course - DAI - Run 3 - Search - Prospecting - A,18,111
Course - DAI - Run 3 - Search - Prospecting - A,19,110
Course - DAI - Run 3 - Search - Prospecting - A,20,105
Course - DAI - Run 3 - Search - Prospecting - A,21,69
Course - DAI - Run 3 - Search - Prospecting - A,22,107
Course - DAI - Run 3 - Search - Prospecting - A,23,85
Course - DAI - Run 3 - Search - Prospecting - B,0,396
Course - DAI - Run 3 - Search - Prospecting - B,1,476
Course - DAI - Run 3 - Search - Prospecting - B,2,434
Course - DAI - Run 3 - Search - Prospecting - B,3,339
Course - DAI - Run 3 - Search - Prospecting - B,4,370
Course - DAI - Run 3 - Search - Prospecting - B,5,380
Course - DAI - Run 3 - Search - Prospecting - B,6,389
Course - DAI - Run 3 - Search - Prospecting - B,7,406
Course - DAI - Run 3 - Search - Prospecting - B,8,508
Course - DAI - Run 3 - Search - Prospecting - B,9,562
Course - DAI - Run 3 - Search - Prospecting - B,10,622
Course - DAI - Run 3 - Search - Prospecting - B,11,598
Course - DAI - Run 3 - Search - Prospecting - B,12,567
Course - DAI - Run 3 - Search - Prospecting - B,13,332
Course - DAI - Run 3 - Search - Prospecting - B,14,158
Course - DAI - Run 3 - Search - Prospecting - B,15,83
Course - DAI - Run 3 - Search - Prospecting - B,16,64
Course - DAI - Run 3 - Search - Prospecting - B,17,56
Course - DAI - Run 3 - Search - Prospecting - B,18,52
Course - DAI - Run 3 - Search - Prospecting - B,19,98
Course - DAI - Run 3 - Search - Prospecting - B,20,160
Course - DAI - Run 3 - Search - Prospecting - B,21,233
Course - DAI - Run 3 - Search - Prospecting - B,22,227
Course - DAI - Run 3 - Search - Prospecting - B,23,175
Course - DAI - Run 3 - Search - Prospecting - USA,0,417
Course - DAI - Run 3 - Search - Prospecting - USA,1,301
Course - DAI - Run 3 - Search - Prospecting - USA,2,213
Course - DAI - Run 3 - Search - Prospecting - USA,3,135
Course - DAI - Run 3 - Search - Prospecting - USA,4,110
Course - DAI - Run 3 - Search - Prospecting - USA,5,111
Course - DAI - Run 3 - Search - Prospecting - USA,6,166
Course - DAI - Run 3 - Search - Prospecting - USA,7,222
Course - DAI - Run 3 - Search - Prospecting - USA,8,267
Course - DAI - Run 3 - Search - Prospecting - USA,9,453
Course - DAI - Run 3 - Search - Prospecting - USA,10,636
Course - DAI - Run 3 - Search - Prospecting - USA,11,652
Course - DAI - Run 3 - Search - Prospecting - USA,12,626
Course - DAI - Run 3 - Search - Prospecting - USA,13,636
Course - DAI - Run 3 - Search - Prospecting - USA,14,626
Course - DAI - Run 3 - Search - Prospecting - USA,15,630
Course - DAI - Run 3 - Search - Prospecting - USA,16,643
Course - DAI - Run 3 - Search - Prospecting - USA,17,503
Course - DAI - Run 3 - Search - Prospecting - USA,18,428
Course - DAI - Run 3 - Search - Prospecting - USA,19,407
Course - DAI - Run 3 - Search - Prospecting - USA,20,438
Course - DAI - Run 3 - Search - Prospecting - USA,21,492
Course - DAI - Run 3 - Search - Prospecting - USA,22,412
Course - DAI - Run 3 - Search - Prospecting - USA,23,274
Market Test - Software Architecture - Search - Lead Gen - USA #2,0,104
Market Test - Software Architecture - Search - Lead Gen - USA #2,1,89
Market Test - Software Architecture - Search - Lead Gen - USA #2,2,69
Market Test - Software Architecture - Search - Lead Gen - USA #2,3,41
Market Test - Software Architecture - Search - Lead Gen - USA #2,4,35
Market Test - Software Architecture - Search - Lead Gen - USA #2,5,30
Market Test - Software Architecture - Search - Lead Gen - USA #2,6,36
Market Test - Software Architecture - Search - Lead Gen - USA #2,7,50
Market Test - Software Architecture - Search - Lead Gen - USA #2,8,70
Market Test - Software Architecture - Search - Lead Gen - USA #2,9,101
Market Test - Software Architecture - Search - Lead Gen - USA #2,10,127
Market Test - Software Architecture - Search - Lead Gen - USA #2,11,145
Market Test - Software Architecture - Search - Lead Gen - USA #2,12,130
Market Test - Software Architecture - Search - Lead Gen - USA #2,13,138
Market Test - Software Architecture - Search - Lead Gen - USA #2,14,122
Market Test - Software Architecture - Search - Lead Gen - USA #2,15,126
Market Test - Software Architecture - Search - Lead Gen - USA #2,16,95
Market Test - Software Architecture - Search - Lead Gen - USA #2,17,95
Market Test - Software Architecture - Search - Lead Gen - USA #2,18,101
Market Test - Software Architecture - Search - Lead Gen - USA #2,19,88
Market Test - Software Architecture - Search - Lead Gen - USA #2,20,77
Market Test - Software Architecture - Search - Lead Gen - USA #2,21,80
Market Test - Software Architecture - Search - Lead Gen - USA #2,22,73
Market Test - Software Architecture - Search - Lead Gen - USA #2,23,31
