Region,Match type,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49,is_new_keyword,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,Avg_ CPC,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start
B,Broad match,0.8707616925239563,0.44390320777893066,0.021472811698913574,0.026464859023690224,0.000514049781486392,-0.08426588028669357,0.050126977264881134,-0.03014160692691803,-0.05129830539226532,0.02233940176665783,-0.011515545658767223,-0.015946637839078903,0.03082602471113205,-0.0016656519146636128,-0.06363824754953384,-0.03590843454003334,-0.049755532294511795,-0.012434479780495167,-0.01180956419557333,0.029338261112570763,0.021220922470092773,0.010292818769812584,-0.006728728301823139,-0.029380662366747856,0.0016309079946950078,-0.002040663966909051,0.03876382112503052,-0.012566552497446537,-0.011653685010969639,-0.02968197502195835,-0.03463966026902199,0.025721048936247826,-0.01747043803334236,0.060200463980436325,-0.008167948573827744,-0.008298766799271107,-0.008931499905884266,0.02779257670044899,0.015050661750137806,-0.030497459694743156,-0.031224315986037254,-0.008555933833122253,0.007366122677922249,-0.046800389885902405,-0.05201741307973862,-0.028299087658524513,0.015244077891111374,0.002473432570695877,0.006971132941544056,0.02072720043361187,True,High,74.0,5.13,11.26,10.0,10.0,10.0,0.0,0.0,8.195,Sunday,1.0,1.0,0.0,36.0
C,Broad match,0.8707616925239563,0.44390320777893066,0.021472811698913574,0.026464859023690224,0.000514049781486392,-0.08426588028669357,0.050126977264881134,-0.03014160692691803,-0.05129830539226532,0.02233940176665783,-0.011515545658767223,-0.015946637839078903,0.03082602471113205,-0.0016656519146636128,-0.06363824754953384,-0.03590843454003334,-0.049755532294511795,-0.012434479780495167,-0.01180956419557333,0.029338261112570763,0.021220922470092773,0.010292818769812584,-0.006728728301823139,-0.029380662366747856,0.0016309079946950078,-0.002040663966909051,0.03876382112503052,-0.012566552497446537,-0.011653685010969639,-0.02968197502195835,-0.03463966026902199,0.025721048936247826,-0.01747043803334236,0.060200463980436325,-0.008167948573827744,-0.008298766799271107,-0.008931499905884266,0.02779257670044899,0.015050661750137806,-0.030497459694743156,-0.031224315986037254,-0.008555933833122253,0.007366122677922249,-0.046800389885902405,-0.05201741307973862,-0.028299087658524513,0.015244077891111374,0.002473432570695877,0.006971132941544056,0.02072720043361187,True,High,74.0,5.13,11.26,10.0,10.0,10.0,0.0,0.0,8.195,Sunday,1.0,1.0,0.0,36.0
C,Exact match,0.8707616925239563,0.44390320777893066,0.021472811698913574,0.026464859023690224,0.000514049781486392,-0.08426588028669357,0.050126977264881134,-0.03014160692691803,-0.05129830539226532,0.02233940176665783,-0.011515545658767223,-0.015946637839078903,0.03082602471113205,-0.0016656519146636128,-0.06363824754953384,-0.03590843454003334,-0.049755532294511795,-0.012434479780495167,-0.01180956419557333,0.029338261112570763,0.021220922470092773,0.010292818769812584,-0.006728728301823139,-0.029380662366747856,0.0016309079946950078,-0.002040663966909051,0.03876382112503052,-0.012566552497446537,-0.011653685010969639,-0.02968197502195835,-0.03463966026902199,0.025721048936247826,-0.01747043803334236,0.060200463980436325,-0.008167948573827744,-0.008298766799271107,-0.008931499905884266,0.02779257670044899,0.015050661750137806,-0.030497459694743156,-0.031224315986037254,-0.008555933833122253,0.007366122677922249,-0.046800389885902405,-0.05201741307973862,-0.028299087658524513,0.015244077891111374,0.002473432570695877,0.006971132941544056,0.02072720043361187,True,High,74.0,5.13,11.26,10.0,10.0,10.0,0.0,0.0,8.195,Sunday,1.0,1.0,0.0,36.0
C,Phrase match,0.8707616925239563,0.44390320777893066,0.021472811698913574,0.026464859023690224,0.000514049781486392,-0.08426588028669357,0.050126977264881134,-0.03014160692691803,-0.05129830539226532,0.02233940176665783,-0.011515545658767223,-0.015946637839078903,0.03082602471113205,-0.0016656519146636128,-0.06363824754953384,-0.03590843454003334,-0.049755532294511795,-0.012434479780495167,-0.01180956419557333,0.029338261112570763,0.021220922470092773,0.010292818769812584,-0.006728728301823139,-0.029380662366747856,0.0016309079946950078,-0.002040663966909051,0.03876382112503052,-0.012566552497446537,-0.011653685010969639,-0.02968197502195835,-0.03463966026902199,0.025721048936247826,-0.01747043803334236,0.060200463980436325,-0.008167948573827744,-0.008298766799271107,-0.008931499905884266,0.02779257670044899,0.015050661750137806,-0.030497459694743156,-0.031224315986037254,-0.008555933833122253,0.007366122677922249,-0.046800389885902405,-0.05201741307973862,-0.028299087658524513,0.015244077891111374,0.002473432570695877,0.006971132941544056,0.02072720043361187,True,High,74.0,5.13,11.26,10.0,10.0,10.0,0.0,0.0,8.195,Sunday,1.0,1.0,0.0,36.0
A,Broad match,0.7419544458389282,-0.39784330129623413,0.07164064049720764,0.2353239506483078,-0.22417855262756348,-0.0905710756778717,-0.033436331897974014,0.11657901853322983,-0.12261287122964859,-0.07489822059869766,0.03641263768076897,-0.17290517687797546,0.06927531212568283,-0.007305143401026726,-0.04128924012184143,-0.13287687301635742,0.040532756596803665,-0.09251777082681656,-0.02200743556022644,0.10067921876907349,-0.09674442559480667,0.08933881670236588,0.06030402332544327,-0.017030466347932816,0.04790295660495758,-0.019021669402718544,-0.07162363082170486,-0.049339719116687775,0.04819227010011673,0.07926195114850998,-0.07355907559394836,-0.02397448755800724,0.012454275041818619,6.15981625742279e-05,-0.06973878294229507,-0.003246078034862876,-0.01873289793729782,-0.019758712500333786,-0.016482718288898468,0.03531726449728012,0.035103313624858856,-0.016273945569992065,-0.038177646696567535,0.0008551350329071283,-0.030813900753855705,-0.003874358255416155,-0.033016595989465714,-0.008384790271520615,-0.03022935800254345,-0.035803042352199554,False,High,89.0,5.19,16.3,5400.0,6200.0,5800.0,-18.181818181818183,137.1428571428571,10.745000000000001,Sunday,1.0,1.0,0.0,36.0
A,Phrase match,0.7419544458389282,-0.39784330129623413,0.07164064049720764,0.2353239506483078,-0.22417855262756348,-0.0905710756778717,-0.033436331897974014,0.11657901853322983,-0.12261287122964859,-0.07489822059869766,0.03641263768076897,-0.17290517687797546,0.06927531212568283,-0.007305143401026726,-0.04128924012184143,-0.13287687301635742,0.040532756596803665,-0.09251777082681656,-0.02200743556022644,0.10067921876907349,-0.09674442559480667,0.08933881670236588,0.06030402332544327,-0.017030466347932816,0.04790295660495758,-0.019021669402718544,-0.07162363082170486,-0.049339719116687775,0.04819227010011673,0.07926195114850998,-0.07355907559394836,-0.02397448755800724,0.012454275041818619,6.15981625742279e-05,-0.06973878294229507,-0.003246078034862876,-0.01873289793729782,-0.019758712500333786,-0.016482718288898468,0.03531726449728012,0.035103313624858856,-0.016273945569992065,-0.038177646696567535,0.0008551350329071283,-0.030813900753855705,-0.003874358255416155,-0.033016595989465714,-0.008384790271520615,-0.03022935800254345,-0.035803042352199554,False,High,89.0,5.19,16.3,5400.0,6200.0,5800.0,-18.181818181818183,137.1428571428571,10.745000000000001,Sunday,1.0,1.0,0.0,36.0
B,Broad match,0.7419544458389282,-0.39784330129623413,0.07164064049720764,0.2353239506483078,-0.22417855262756348,-0.0905710756778717,-0.033436331897974014,0.11657901853322983,-0.12261287122964859,-0.07489822059869766,0.03641263768076897,-0.17290517687797546,0.06927531212568283,-0.007305143401026726,-0.04128924012184143,-0.13287687301635742,0.040532756596803665,-0.09251777082681656,-0.02200743556022644,0.10067921876907349,-0.09674442559480667,0.08933881670236588,0.06030402332544327,-0.017030466347932816,0.04790295660495758,-0.019021669402718544,-0.07162363082170486,-0.049339719116687775,0.04819227010011673,0.07926195114850998,-0.07355907559394836,-0.02397448755800724,0.012454275041818619,6.15981625742279e-05,-0.06973878294229507,-0.003246078034862876,-0.01873289793729782,-0.019758712500333786,-0.016482718288898468,0.03531726449728012,0.035103313624858856,-0.016273945569992065,-0.038177646696567535,0.0008551350329071283,-0.030813900753855705,-0.003874358255416155,-0.033016595989465714,-0.008384790271520615,-0.03022935800254345,-0.035803042352199554,False,High,89.0,5.19,16.3,5400.0,6200.0,5800.0,-18.181818181818183,137.1428571428571,10.745000000000001,Sunday,1.0,1.0,0.0,36.0
B,Phrase match,0.7419544458389282,-0.39784330129623413,0.07164064049720764,0.2353239506483078,-0.22417855262756348,-0.0905710756778717,-0.033436331897974014,0.11657901853322983,-0.12261287122964859,-0.07489822059869766,0.03641263768076897,-0.17290517687797546,0.06927531212568283,-0.007305143401026726,-0.04128924012184143,-0.13287687301635742,0.040532756596803665,-0.09251777082681656,-0.02200743556022644,0.10067921876907349,-0.09674442559480667,0.08933881670236588,0.06030402332544327,-0.017030466347932816,0.04790295660495758,-0.019021669402718544,-0.07162363082170486,-0.049339719116687775,0.04819227010011673,0.07926195114850998,-0.07355907559394836,-0.02397448755800724,0.012454275041818619,6.15981625742279e-05,-0.06973878294229507,-0.003246078034862876,-0.01873289793729782,-0.019758712500333786,-0.016482718288898468,0.03531726449728012,0.035103313624858856,-0.016273945569992065,-0.038177646696567535,0.0008551350329071283,-0.030813900753855705,-0.003874358255416155,-0.033016595989465714,-0.008384790271520615,-0.03022935800254345,-0.035803042352199554,False,High,89.0,5.19,16.3,5400.0,6200.0,5800.0,-18.181818181818183,137.1428571428571,10.745000000000001,Sunday,1.0,1.0,0.0,36.0
A,Broad match,0.8136840462684631,-0.3640144169330597,-0.10373860597610474,0.1614617109298706,-0.11641630530357361,-0.24453887343406677,-0.0525740422308445,0.06428631395101547,-0.03266459330916405,-0.128902405500412,0.04267391934990883,0.018149442970752716,-0.0571177639067173,-0.0767413005232811,-0.01037778053432703,0.012106639333069324,0.019442608579993248,0.03942849487066269,0.0346047542989254,-0.00563138397410512,0.02328069694340229,-0.03090279921889305,-0.052173592150211334,-0.07251815497875214,-0.018687674775719643,0.032338906079530716,-0.033818937838077545,-0.0073575302958488464,0.0060014622285962105,-0.07347298413515091,0.03927287459373474,0.024962550029158592,-0.01402357593178749,0.15179312229156494,-0.06261323392391205,-0.05276604741811752,-0.0043619428761303425,-0.004153972025960684,-0.01572076790034771,0.03432122617959976,0.03395811840891838,-0.0464772954583168,0.01859455183148384,0.019329963251948357,-0.002699480624869466,-0.005164464469999075,-0.018788820132613182,0.006873068865388632,0.014709212817251682,-0.013137887232005596,False,High,93.0,4.99,16.57,40.0,40.0,43.333333333333336,0.0,-2.2857142857142865,10.780000000000001,Sunday,1.0,1.0,0.0,36.0
B,Broad match,0.8136840462684631,-0.3640144169330597,-0.10373860597610474,0.1614617109298706,-0.11641630530357361,-0.24453887343406677,-0.0525740422308445,0.06428631395101547,-0.03266459330916405,-0.128902405500412,0.04267391934990883,0.018149442970752716,-0.0571177639067173,-0.0767413005232811,-0.01037778053432703,0.012106639333069324,0.019442608579993248,0.03942849487066269,0.0346047542989254,-0.00563138397410512,0.02328069694340229,-0.03090279921889305,-0.052173592150211334,-0.07251815497875214,-0.018687674775719643,0.032338906079530716,-0.033818937838077545,-0.0073575302958488464,0.0060014622285962105,-0.07347298413515091,0.03927287459373474,0.024962550029158592,-0.01402357593178749,0.15179312229156494,-0.06261323392391205,-0.05276604741811752,-0.0043619428761303425,-0.004153972025960684,-0.01572076790034771,0.03432122617959976,0.03395811840891838,-0.0464772954583168,0.01859455183148384,0.019329963251948357,-0.002699480624869466,-0.005164464469999075,-0.018788820132613182,0.006873068865388632,0.014709212817251682,-0.013137887232005596,False,High,93.0,4.99,16.57,40.0,40.0,43.333333333333336,0.0,-2.2857142857142865,10.780000000000001,Sunday,1.0,1.0,0.0,36.0
