Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,Bid,t_Clicks_OptCost
curso de python mit,USA,Broad match,existing searches,0.8299999927486512,2.20722232647,1.312401517105681,2.207222,3.416067189121464e-07,0.8221569211172743,0.48482788
curso de python mit,A,Exact match,existing searches,0.5999999888154316,2.15664011087,1.0783284291225637,2.1566398,2.964931691273876e-07,0.7233417615584404,0.48482764
curso de python mit,A,Phrase match,existing searches,0.5999999888154314,2.32194655187,1.078328421186101,2.3219464,1.6934741697838265e-07,0.7233417668822124,0.48482788
curso de python mit,A,Broad match,existing searches,0.5999999888154315,2.406143874370001,1.1261174385179502,2.4061437,2.090562802870011e-07,0.6926453305674725,0.48482776
curso ia harvard,USA,Exact match,existing searches,0.8299999927486601,2.0070016406800013,1.302286388757394,2.007001,7.175232630274309e-07,0.8285427843585237,0.48482776
curso ia harvard,USA,Phrase match,existing searches,0.8299999927486601,2.11750617478,1.3022862360249643,2.1175056,6.243954784324046e-07,0.8285428815302124,0.48482752
curso ia harvard,USA,Broad match,existing searches,0.5999999888153695,2.0416907577800005,1.1637910514163226,2.0416906,1.6978256400790317e-07,0.6702233914848614,0.48482764
curso ia harvard,A,Exact match,existing searches,0.5999999888154316,2.1459887050800006,1.1160018467120807,2.1459882,4.791431109651967e-07,0.6989235616034735,0.48482752
curso ia harvard,A,Phrase match,existing searches,0.5999999888154303,2.17225226618,1.1160018131846998,2.172252,3.2640644054282575e-07,0.6989235826008181,0.48482776
curso ia harvard,A,Broad match,existing searches,0.5999999888154303,2.379719637680001,1.1637910831450888,2.3797193,3.803252646150668e-07,0.670223373212439,0.48482788
cursos gratuitos mit,USA,Exact match,existing searches,0.8299999927486523,1.7952756504700011,1.2438192586586303,1.7952756,8.1507903981759e-08,0.8674893744102917,0.20589256
