Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Cost_USA,Opt_Cost_A,Opt_Cost_B,Opt_Cost_new,Opt_Cost_existing,Opt_Cost_existing_searches,Act_Cost_USA,Act_Cost_A,Act_Cost_B,Act_Cost_new,Act_Cost_existing,Act_Cost_existing_searches,N_Opt,N_Obs,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias
2025-12-17,350,209.7647,183.26677,428.32343849402173,295,349.9808136744738,335.03000000000003,3.3371880520257653,5.0057820780386475,341.6378435444093,327.6348737051504,22.34593996932334,0.0,288.87,28.500000000000004,17.66,0.0,335.03000000000003,0.0,99,35,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-17,400,243.73724,183.26677,472.2423596917252,295,399.9999999999997,335.03000000000003,5.005782078038646,5.005782078038647,389.9884358439224,376.1054660295581,23.894533970441632,0.0,288.87,28.500000000000004,17.66,0.0,335.03000000000003,0.0,107,35,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-17,450,276.117,183.26677,515.5711644871053,295,449.90113203339683,335.03000000000003,5.0057820780386475,5.0057820780386475,439.8895678773196,424.198004041129,25.703127992267852,0.0,288.87,28.500000000000004,17.66,0.0,335.03000000000003,0.0,113,35,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-17,500,306.2245,183.26677,556.7933797270134,295,499.9417646885018,335.03000000000003,5.0057820780386475,13.627346291521208,481.3086363189419,469.90144871118997,30.040315977311693,0.0,288.87,28.500000000000004,17.66,0.0,335.03000000000003,0.0,141,35,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-17,550,337.4254,183.26677,596.8041882938861,295,549.9999999256183,335.03000000000003,6.674376104051526,26.834533983931276,516.4910898376356,515.2496842010039,34.75031572461445,0.0,288.87,28.500000000000004,17.66,0.0,335.03000000000003,0.0,155,35,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-18,300,207.99274,156.55954,295.7350310657594,266,299.99999999999847,320.42999999999995,2.9430174912156293,2.94301577480576,294.1139667339771,238.9128442729563,61.08715572704217,0.0,263.68,47.44,9.31,0.0,320.42999999999995,0.0,43,37,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-18,350,247.66713,156.55954,335.65282386783315,266,349.9187945446118,320.42999999999995,5.8860349824312586,7.119052442026101,336.91370712015447,278.9486216680135,70.97017287659823,0.0,263.68,47.44,9.31,0.0,320.42999999999995,0.0,46,37,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-18,400,276.65683,156.55954,370.9194863096875,266,399.8768970749211,320.42999999999995,13.005087424457361,11.772069964862512,375.09973968560126,317.31370710789474,82.56318996702643,0.0,263.68,47.44,9.31,0.0,320.42999999999995,0.0,52,37,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-18,450,312.79065,156.55954,405.61690882153454,266,449.9419832688456,320.42999999999995,14.715087456078143,14.715087456078145,420.5118083566893,357.0187936709857,92.92318959785992,0.0,263.68,47.44,9.31,0.0,320.42999999999995,0.0,57,37,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-18,500,342.92133,156.55954,439.72710106624305,266,499.99999727404804,320.42999999999995,16.20801594934731,15.948104915672998,467.8438764090277,404.6107727569984,95.38922451704958,0.0,263.68,47.44,9.31,0.0,320.42999999999995,0.0,64,37,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-18,550,378.32526,156.55954,473.516374360022,266,549.999999999998,320.42999999999995,17.801122331130692,17.982932898126542,514.2159447707405,450.9047406520329,99.09525934796487,0.0,263.68,47.44,9.31,0.0,320.42999999999995,0.0,70,37,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-19,300,185.58885,127.44395,371.69318358627527,219,300.0000000000001,255.50000000000003,0.0,0.0,300.0000000000001,255.48021554738804,44.51978445261209,0.0,215.20000000000002,31.09,9.21,0.0,255.50000000000003,0.0,66,39,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-19,350,214.17365,127.44395,422.6651268907898,219,349.9999999999997,255.50000000000003,0.0,0.0,349.9999999999997,305.4802153862069,44.519784613792865,0.0,215.20000000000002,31.09,9.21,0.0,255.50000000000003,0.0,71,39,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-19,400,234.15761,127.44395,471.2272699941587,219,399.9722969373146,255.50000000000003,0.0,0.0,399.9722969373146,355.45251248470254,44.51978445261206,0.0,215.20000000000002,31.09,9.21,0.0,255.50000000000003,0.0,75,39,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-19,450,271.31223,127.44395,516.5015010790052,219,449.9722264422555,255.50000000000003,1.2449639194695308,0.0,448.72726252278596,396.4624415353293,53.50978490692614,0.0,215.20000000000002,31.09,9.21,0.0,255.50000000000003,0.0,77,39,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-19,500,299.75903,127.44395,561.8825595132284,219,499.92719210599194,255.50000000000003,0.0,0.0,499.92719210599194,437.42740674475175,62.499785361240235,0.0,215.20000000000002,31.09,9.21,0.0,255.50000000000003,0.0,78,39,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-19,550,333.8833,127.44395,606.872297995155,219,549.927121610933,255.50000000000003,1.2449639194695308,0.0,548.6821576914633,487.4273362496928,62.499785361240185,0.0,215.20000000000002,31.09,9.21,0.0,255.50000000000003,0.0,80,39,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-20,300,66.05239,262.9592,146.6234632259418,351,299.9999999999995,456.1700000000001,169.29278763384178,128.6593970867412,2.0478152794165148,275.1627709515092,24.83722904849025,0.0,379.69,42.73,33.75,0.0,456.1700000000001,0.0,184,39,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-20,350,75.124725,262.9592,171.18759359498517,351,349.98028230321836,456.1700000000001,174.176233518346,175.80404878487235,0.0,320.6796075057398,29.300674797478536,0.0,379.69,42.73,33.75,0.0,456.1700000000001,0.0,215,39,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-20,400,87.059814,262.9592,195.58297806140726,351,399.9999838713252,456.1700000000001,201.84909304929906,198.1508908220261,0.0,366.2584349684861,33.74154890283908,0.0,379.69,42.73,33.75,0.0,456.1700000000001,0.0,246,39,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
