keyword_idx,region,match_type
73,A,Phrase match
73,B,Broad match
73,B,Exact match
73,B,Phrase match
73,C,Broad match
73,C,Exact match
73,C,Phrase match
74,USA,Broad match
74,USA,Exact match
74,USA,Phrase match
74,A,Broad match
74,A,Exact match
74,A,Phrase match
74,B,Broad match
74,B,Exact match
74,B,Phrase match
74,C,Broad match
74,C,Exact match
74,C,Phrase match
75,USA,Broad match
75,USA,Exact match
75,USA,Phrase match
75,A,Broad match
75,A,Exact match
75,A,Phrase match
75,B,Broad match
75,B,Exact match
75,B,Phrase match
75,C,Broad match
75,C,Exact match
75,C,Phrase match
76,USA,Broad match
76,USA,Exact match
76,USA,Phrase match
76,A,Broad match
76,A,Exact match
76,A,Phrase match
76,B,Broad match
76,B,Exact match
76,B,Phrase match
76,C,Broad match
76,C,Exact match
76,C,Phrase match
77,USA,Broad match
77,USA,Exact match
77,USA,Phrase match
77,A,Broad match
77,A,Exact match
77,A,Phrase match
77,B,Broad match
77,B,Exact match
77,B,Phrase match
77,C,Broad match
77,C,Exact match
77,C,Phrase match
78,USA,Broad match
78,USA,Exact match
78,USA,Phrase match
78,A,Broad match
78,A,Exact match
78,A,Phrase match
78,B,Broad match
78,B,Exact match
78,B,Phrase match
78,C,Broad match
78,C,Exact match
78,C,Phrase match
79,USA,Broad match
79,USA,Exact match
79,USA,Phrase match
79,A,Broad match
79,A,Exact match
79,A,Phrase match
79,B,Broad match
79,B,Exact match
79,B,Phrase match
79,C,Broad match
79,C,Exact match
79,C,Phrase match
80,USA,Broad match
80,USA,Exact match
80,USA,Phrase match
80,A,Broad match
80,A,Exact match
80,A,Phrase match
80,B,Broad match
80,B,Exact match
80,B,Phrase match
80,C,Broad match
80,C,Exact match
80,C,Phrase match
81,USA,Broad match
81,USA,Exact match
81,USA,Phrase match
81,A,Broad match
81,A,Exact match
81,A,Phrase match
81,B,Broad match
81,B,Exact match
81,B,Phrase match
81,C,Broad match
81,C,Exact match
81,C,Phrase match
82,USA,Broad match
82,USA,Exact match
82,USA,Phrase match
82,A,Broad match
82,A,Exact match
82,A,Phrase match
82,B,Broad match
82,B,Exact match
82,B,Phrase match
82,C,Broad match
82,C,Exact match
82,C,Phrase match
83,USA,Broad match
83,USA,Exact match
83,USA,Phrase match
83,A,Broad match
83,A,Exact match
83,A,Phrase match
