Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid
how to study it online,USA,Broad match,existing searches,1.0,0.9811736459600002,0.5516270811425716,0.98117363,1.1430886459606882e-08,0.01185751,2.356664573659694
https ocw mit edu,USA,Broad match,existing searches,1.0,0.9334271153600006,0.5536291500718383,0.93342716,-3.96578522243729e-08,0.01185751,2.3481422534043115
https www edx org,USA,Broad match,existing searches,1.0,0.9002344717900002,0.5536291410843575,0.9002345,-4.8645333095009846e-08,0.0,2.3481422915234815
iso online training,USA,Broad match,existing searches,1.0,1.0628204539000004,0.553629179257056,1.0628204,1.932968785034461e-08,0.0,2.348142129619212
it course online with certificate,USA,Broad match,existing searches,1.0,0.983057598577,0.5516269309382212,0.98305774,-1.3877346394242096e-07,0.06460482,2.3566652153638086
it courses in karachi,USA,Broad match,existing searches,1.0,1.414625907700001,0.8137579210209238,1.4146258,1.4380687352044674e-07,0.06460476,1.5975266924210667
it courses in karachi,A,Broad match,existing searches,1.0,1.7946992966000002,0.868675813323633,1.7946991,2.2376217057029645e-07,0.06460476,1.4965306735387063
it courses online,USA,Broad match,existing searches,1.0,1.0895950950530005,0.5536291755583715,1.0895951,1.5631003380534025e-08,0.06460476,2.3481421453066744
it courses online south africa,USA,Broad match,existing searches,1.0,1.238941682000001,0.4145426279495554,1.2389418,-1.066733998911218e-07,0.011857629,3.1359862951372848
it free courses with certificate,USA,Broad match,existing searches,1.0,1.0866931121169998,0.5516269843399002,1.0866932,-5.5569462587001794e-08,0.06460476,2.3566649872207286
it leadership training,USA,Broad match,existing,1.0,1.3712494112600009,0.4145427681554476,1.3712493,9.313713711378568e-08,0.011857629,3.1359852344897705
it short courses,USA,Broad match,existing searches,1.0,1.18957892255,0.5536293108861816,1.1895788,1.509588134496198e-07,0.06460476,2.3481415713324862
it short courses online,USA,Broad match,existing searches,1.0,1.1878537595900007,0.5536292255552717,1.1878537,6.562790355602034e-08,0.06460482,2.348141933251705
it support specialist certification free,USA,Broad match,existing searches,1.0,0.8604077507600006,0.553629170809668,0.86040777,-1.8920022548662985e-08,0.06460482,2.3481421654476486
it training courses,USA,Broad match,existing searches,1.0,0.9976539985499998,0.553629167493405,0.99765414,-1.4144557514139677e-07,0.06460476,2.3481421795131237
leadership online training,USA,Broad match,existing searches,1.0,1.1951842152730006,0.4145426594868677,1.1951842,-1.5531442798533135e-08,0.011857629,3.1359860565597177
leadership training in bangalore,USA,Broad match,existing searches,1.0,1.487334922600001,0.4145428693773447,1.4873347,1.943590342001756e-07,0.011857629,3.1359844687538283
leadership training kenya,USA,Broad match,existing searches,1.0,1.4817825331400014,0.4145428909967519,1.4817823,2.1597844135357041e-07,0.011857629,3.1359843052047083
learn service design,USA,Broad match,existing searches,1.0,1.3497236388630005,0.4145426171726316,1.3497237,-5.784567891353731e-08,0.01185751,3.1359863766639697
learn system design and architecture,USA,Broad match,existing searches,1.0,1.7547611252929998,0.4145429389145207,1.7547609,2.6389621021749576e-07,0.011857748,3.1359839427106047
learning management system portal,USA,Broad match,existing searches,1.0,1.28555407053,0.8137576473332073,1.285554,1.913076896897792e-08,0.0,1.597527229710558
learning management system portal,A,Broad match,existing searches,1.0,1.5977391455300003,0.868675873053804,1.597739,1.6428305205096194e-07,0.0,1.4965305706372263
learning product design,USA,Broad match,existing searches,1.0,1.1550983119900002,0.3456232477123513,1.1550983,-7.063649665184357e-09,0.0,3.761321058709393
llamasoft certification,USA,Broad match,existing searches,1.0,2.8084935368400004,0.4145430744986917,2.808493,6.378989603206264e-07,0.0,3.1359829170276075
logistics course,USA,Broad match,existing,1.0,1.402535834520001,0.4145427133728452,1.4025358,3.8354534659390544e-08,0.06460476,3.1359856489161415
masters in system engineering,USA,Broad match,existing searches,1.0,1.5660287155000003,0.4664847863999637,1.5660287,1.3200076587338572e-09,0.01185751,2.7868004228660546
mba in engineering,USA,Broad match,existing searches,1.0,1.3993896715900005,0.4664848320743144,1.3993896,4.6994358404717225e-08,0.06460482,2.786800150005522
mechanical design courses online,USA,Broad match,existing searches,1.0,0.9570687830900004,0.5536291718934826,0.9570688,-1.7836207955035377e-08,0.0,2.3481421608507977
microsoft edx,USA,Broad match,existing searches,1.0,1.47115981099,0.4664846610723976,1.4711599,-1.2400755844410585e-07,0.0,2.786801171578592
mindluster courses,USA,Broad match,existing searches,1.0,1.197437668340001,0.4664848094151352,1.1974376,2.4335179205081665e-08,0.01185751,2.7868002853724247
mit certificates online,USA,Broad match,existing searches,1.0,0.8506909465600002,0.5536291754055965,0.85069096,-1.4324094022022392e-08,0.06460482,2.3481421459546485
mit fintech course,USA,Broad match,existing searches,1.0,1.11037330924,0.5516269713493749,1.1103734,-6.855998790911144e-08,0.011857629,2.3566650427189506
mit fundamentals of finance,USA,Broad match,existing searches,1.0,1.1139982759530005,0.5536291420037207,1.1139983,-1.7923647455120317e-08,0.06460482,2.3481422876241282
mit leadership certificate,USA,Broad match,existing searches,1.0,1.0957889068870004,0.5516269911078866,1.095789,-4.880147619346077e-08,0.06460482,2.356664958306486
mit model based systems engineering certification,USA,Broad match,existing searches,1.0,1.0482751983600005,0.5536290961699826,1.0482752,-3.3955063205581844e-08,0.0646047,2.348142482021676
mit online course with certificate,USA,Broad match,existing searches,1.0,0.8148788751900007,0.5536291839420606,0.8148789,-5.7876299308645685e-09,0.0,2.3481421097484088
mit online courses with certificate,USA,Broad match,existing searches,1.0,0.94061852648,0.5536290819857527,0.9406187,-1.6734858265810004e-07,0.0,2.3481425421821585
mit opencourseware manufacturing processes,USA,Broad match,existing searches,1.0,1.184353033900001,0.4664847058055186,1.1843531,-7.92744374589205e-08,0.06460464,2.7868009043408617
mit systems engineering certificate,USA,Broad match,existing searches,1.0,1.20261480845,0.5536291841366456,1.2026148,2.420927747159851e-08,0.06460476,2.348142108923103
mit systems engineering certificate,A,Broad match,existing searches,1.0,1.53167545055,0.6085470840796632,1.5316755,-7.404406643374273e-09,0.06460476,2.1362356899073083
mit systems engineering online course,USA,Broad match,existing searches,1.0,1.0895950950530002,0.5536291755583713,1.0895951,1.563100315848942e-08,0.011857629,2.3481421453066753
mitx online courses,USA,Broad match,existing searches,1.0,1.0099770625800002,0.5536290904253829,1.0099771,-3.9699662890413385e-08,0.0,2.348142506386614
model based system engineering,USA,Broad match,existing searches,1.0,1.0599118720800005,0.5536291848928057,1.0599118,2.4965437495083623e-08,0.01185751,2.3481421057159544
monitoring and evaluation training,A,Broad match,existing searches,20.659999743433787,18.33441425718,17.142059220444466,18.334415,-1.1786110150069362e-06,10.879877,1.5667895741738977
mooc gestion de projet,USA,Broad match,existing searches,1.0,1.3938521589300006,0.414542957689461,1.3938519,2.826711504866353e-07,0.06460476,3.1359838006797003
