Campaign,Conversion action,Hour of the day,All conv.
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,2,1.50
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,3,0.40
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,4,0.03
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,5,0.20
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,6,1.09
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,7,1.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,8,0.50
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,9,1.46
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,11,2.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,12,3.50
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,13,0.40
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,15,1.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,18,0.06
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,20,0.40
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,21,1.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,22,0.03
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,1,1.80
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,2,1.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,3,1.27
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,4,0.40
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,5,2.47
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,6,2.63
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,7,0.57
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,8,1.50
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,9,8.50
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,10,3.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,11,9.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,12,3.90
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,13,6.60
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,14,3.95
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,15,7.07
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,16,8.27
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,17,5.80
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,18,3.60
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,19,5.83
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,20,7.10
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,21,2.83
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,22,2.40
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,23,1.00
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,0,0.03
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,1,2.00
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,2,0.80
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,4,2.00
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,5,0.40
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,7,3.00
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,8,0.40
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,9,1.50
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,10,0.13
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,12,1.00
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,13,1.00
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,14,0.97
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,16,0.47
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,18,1.00
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,21,0.47
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,0,0.40
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,1,1.01
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,2,0.41
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,4,1.04
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,5,0.50
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,6,0.07
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,8,1.00
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,9,0.27
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,10,1.54
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,11,1.00
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,14,1.00
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,15,0.44
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,0,3.40
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,1,1.07
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,5,0.05
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,7,2.00
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,8,1.40
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,9,2.05
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,10,3.35
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,11,3.93
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,12,2.78
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,13,0.50
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,14,1.63
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,15,3.32
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,16,4.25
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,17,1.50
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,18,1.43
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,19,0.55
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,20,3.72
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,21,0.43
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,0,3.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,7,2.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,9,1.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,10,1.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,11,1.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,12,2.50
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,13,5.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,15,2.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,17,1.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,18,3.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,21,1.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,22,2.00
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,4,0.16
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,6,0.84
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,8,1.00
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,9,1.00
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,10,1.00
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,11,0.50
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,13,1.00
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,17,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,1,1.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,2,0.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,3,2.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,4,4.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,5,2.42
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,6,2.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,7,5.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,8,4.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,9,3.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,10,2.14
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,11,7.29
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,12,0.14
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,13,4.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,14,0.14
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,15,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,16,2.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,17,1.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,18,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,22,0.29
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,23,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,1,3.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,2,2.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,3,3.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,6,0.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,7,4.12
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,8,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,9,0.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,10,2.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,11,3.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,12,2.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,13,0.57
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,14,3.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,17,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,21,2.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,0,3.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,1,6.91
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,2,4.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,3,1.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,5,2.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,6,0.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,7,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,8,4.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,9,12.99
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,10,10.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,11,6.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,12,10.74
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,13,20.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,14,8.56
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,15,10.33
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,16,13.83
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,17,7.33
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,18,7.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,19,4.09
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,20,3.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,21,5.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,22,0.33
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,23,2.00
