Campaign,Age,Clicks
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,Unknown,9008
*Quantum Computing Program - xPRO - C - AW Lead Gen - Run 10 - 2T2022,18 - 24,0
*Quantum Computing Program - xPRO - C - AW Lead Gen - Run 10 - 2T2022,25 - 34,0
*Quantum Computing Program - xPRO - C - AW Lead Gen - Run 10 - 2T2022,35 - 44,0
*Quantum Computing Program - xPRO - C - AW Lead Gen - Run 10 - 2T2022,45 - 54,0
*Quantum Computing Program - xPRO - C - AW Lead Gen - Run 10 - 2T2022,55 - 64,0
*Quantum Computing Program - xPRO - C - AW Lead Gen - Run 10 - 2T2022,65+,0
*Quantum Computing Program - xPRO - C - AW Lead Gen - Run 10 - 2T2022,Unknown,0
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 10 - 2T2022 - Targeted Adgroups,18 - 24,0
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 10 - 2T2022 - Targeted Adgroups,25 - 34,0
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 10 - 2T2022 - Targeted Adgroups,35 - 44,0
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 10 - 2T2022 - Targeted Adgroups,45 - 54,0
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 10 - 2T2022 - Targeted Adgroups,55 - 64,0
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 10 - 2T2022 - Targeted Adgroups,65+,0
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 10 - 2T2022 - Targeted Adgroups,Unknown,0
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,18 - 24,0
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,25 - 34,3338
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,35 - 44,2922
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,45 - 54,2709
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,55 - 64,0
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,65+,0
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,Unknown,5948
*Quantum SP19 - 2 - A/Developed,18 - 24,0
*Quantum SP19 - 2 - A/Developed,25 - 34,0
*Quantum SP19 - 2 - A/Developed,35 - 44,0
*Quantum SP19 - 2 - A/Developed,45 - 54,0
*Quantum SP19 - 2 - A/Developed,55 - 64,0
*Quantum SP19 - 2 - A/Developed,65+,0
*Quantum SP19 - 2 - A/Developed,Unknown,0
*Quantum SP19 - 2 - B/Developing,18 - 24,0
*Quantum SP19 - 2 - B/Developing,25 - 34,0
*Quantum SP19 - 2 - B/Developing,35 - 44,0
*Quantum SP19 - 2 - B/Developing,45 - 54,0
*Quantum SP19 - 2 - B/Developing,55 - 64,0
*Quantum SP19 - 2 - B/Developing,65+,0
*Quantum SP19 - 2 - B/Developing,Unknown,0
*Quantum SP19 - 2 - C/India,18 - 24,0
*Quantum SP19 - 2 - C/India,25 - 34,0
*Quantum SP19 - 2 - C/India,35 - 44,0
*Quantum SP19 - 2 - C/India,45 - 54,0
*Quantum SP19 - 2 - C/India,55 - 64,0
*Quantum SP19 - 2 - C/India,65+,0
*Quantum SP19 - 2 - C/India,Unknown,0
*Quantum SP19 - 2 - US,18 - 24,0
*Quantum SP19 - 2 - US,25 - 34,0
*Quantum SP19 - 2 - US,35 - 44,0
*Quantum SP19 - 2 - US,45 - 54,0
*Quantum SP19 - 2 - US,55 - 64,0
*Quantum SP19 - 2 - US,65+,0
*Quantum SP19 - 2 - US,Unknown,0
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,18 - 24,72
