Campaign,Conversion action,Targeted location,All conv.
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,Canada,1.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,United States,23.50
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,France,1.50
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,Italy,2.00
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,Spain,1.00
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,Switzerland,1.00
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,United Kingdom,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,Australia,2.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,France,5.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,Germany,2.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,Hong Kong,2.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,Ireland,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,Italy,3.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,Japan,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,Netherlands,4.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,Spain,8.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,Sweden,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,Switzerland,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,United Kingdom,13.42
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,Brazil,8.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,Chile,0.12
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,Colombia,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,Costa Rica,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,Hungary,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,India,3.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,Mexico,3.57
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,Romania,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,Saudi Arabia,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,South Africa,3.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,Thailand,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,United Arab Emirates,4.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,Canada,9.24
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,United States,131.39
