Campaign,Hour of the day,Clicks
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,10,1467
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,11,1390
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,12,1384
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,13,1279
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,14,959
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,15,633
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,16,493
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,17,379
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,18,335
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,19,359
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,20,383
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,21,486
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,22,527
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,23,616
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,0,672
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,1,526
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,2,396
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,3,338
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,4,263
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,5,263
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,6,263
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,7,387
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,8,505
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,9,707
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,10,810
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,11,876
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,12,895
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,13,926
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,14,943
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,15,919
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,16,854
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,17,848
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,18,812
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,19,754
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,20,773
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,21,728
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,22,308
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,23,151
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,0,74
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,1,36
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,2,26
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,3,22
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,4,13
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,5,20
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,6,35
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,7,31
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,8,71
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,9,100
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,10,141
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,11,120
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,12,116
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,13,109
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,14,102
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,15,110
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,16,82
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,17,68
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,18,53
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,19,57
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,20,31
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,21,26
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,22,36
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,23,24
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,0,5
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,1,20
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,2,25
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,3,26
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,4,37
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,5,35
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,6,27
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,7,35
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,8,35
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,9,35
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,10,27
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,11,28
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,12,21
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,13,34
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,14,33
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,15,25
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,16,18
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,17,14
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,18,15
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,19,16
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,20,1
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,21,10
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,22,6
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,23,7
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,0,405
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,1,603
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,2,849
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,3,1130
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,4,1321
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,5,1369
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,6,1275
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,7,1271
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,8,1246
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,9,1288
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,10,1111
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,11,1098
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,12,935
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,13,825
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,14,895
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,15,933
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,16,969
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,17,817
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,18,682
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,19,487
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,20,363
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,21,279
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,22,273
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,23,268
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,0,1966
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,1,2093
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,2,2027
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,3,1762
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,4,1892
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,5,1685
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,6,1799
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,7,1870
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,8,2073
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,9,2173
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,10,2287
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,11,2222
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,12,2107
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,13,1965
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,14,1445
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,15,1121
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,16,918
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,17,725
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,18,670
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,19,717
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,20,876
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,21,991
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,22,883
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,23,786
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,0,1427
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,1,1190
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,2,926
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,3,632
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,4,549
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,5,490
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,6,679
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,7,922
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,8,1406
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,9,2052
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,10,2405
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,11,2751
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,12,2757
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,13,2774
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,14,2595
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,15,2436
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,16,2361
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,17,1934
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,18,1916
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,19,1688
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,20,1484
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,21,1459
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,22,1251
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,23,915
