Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Conv,Act_Conv,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Conv_Region_B,Act_Conv_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Conv_Region_USA,Act_Conv_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Conv_Region_A,Act_Conv_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Conv_Origin_new,Act_Conv_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Conv_Origin_existing,Act_Conv_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Conv_Origin_existing searches,Act_Conv_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches
2025-12-11,847,986.7047,91.259865,883.6276061388243,207,847.46,697.23,20.046695717881722,1.9762548090873766,0.5856142781314049,0.060801145984786184,21,89,,1.0,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",6.162009239196777,0.8601198196411133,-0.0004353249016436,227.6661845355579,42.44,236.80351,12.868162,4.402297651155554,0.23922567454648824,0.07696945078837747,0.00418260423156283,387.6812763195524,587.6199999999999,453.88782,63.035362,10.637072458378116,1.4772632599978983,0.34748208007633663,0.048257874750125426,232.11253914488972,67.17,296.01337,15.356333,5.00732560834806,0.25976587454299027,0.16116274726669083,0.008360667003097923,4.955634679229096,0.0,0.4982103,0.0,0.008427665052097336,0.0,0.0002712477196559963,0.0,821.9425455979615,697.23,982.61456,91.259865,19.972317357542533,1.9762548090873768,0.5840675243728477,0.060801145984786184,20.561819722809414,0.0,3.591896,0.0,0.0659507551133416,0.0,0.0012755069218462858,0.0
2025-12-12,847,1324.432,79.59181,1326.1125999535552,184,847.4600000000057,710.99,27.640907400096264,1.7580477688838299,0.845443780310227,0.05634558885015543,10,90,,1.0,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.234637260437012,0.9037667512893676,-0.0003110686046088,175.71310349436033,19.4,192.81677,3.4419386,3.5845617967581416,0.06398738861539202,0.06267221680048202,0.0011187508318108437,447.8312643370969,631.39,753.74084,62.261353,17.664267850206404,1.4591238925746979,0.5770400229605255,0.04766531461216022,223.9156321685485,60.2,377.87442,13.888517,6.392077753131715,0.23493648769373984,0.20573154054921935,0.007561523406184364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.950590679144983,710.99,1.606153,79.59181,0.029859200787625155,1.7580477688838299,0.0005220560870072316,0.05634558885015543,841.5094093208606,0.0,1322.8259,0.0,27.61104815498541,0.0,0.8449217234482759,0.0
2025-12-13,847,1323.0109,86.72303,1401.5692185936928,189,835.1136826755334,541.5999999999999,26.665317043569964,1.7477549167239361,0.7601980642503237,0.052507751456854025,6,81,,1.0,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.29169511795044,0.9023619294166564,-0.0002279284945151,224.90122957243062,44.62,381.79935,15.316593,7.097843904049488,0.2847432692292942,0.12409818471336662,0.0049784305344535325,386.2968420247606,386.17,559.246,39.129616,13.106189888757678,0.9170208650605519,0.428140932783997,0.02995639250475014,223.9156110783422,110.81000000000002,381.96558,32.27682,6.461283250762795,0.5459907824340897,0.2079589467529599,0.01757292841765036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.5999999999999,0.0,86.72303,0.0,1.7477549167239361,0.0,0.052507751456854025,835.1136826755334,0.0,1323.0109,0.0,26.665317043569964,0.0,0.7601980642503237,0.0
2025-12-14,847,1268.7217,105.654945,1152.2918087639016,207,847.4599999999868,727.4200000000001,26.648342866851642,2.2819850944651185,0.8312817370965796,0.0693415276787561,9,79,,1.0,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.258957862854004,0.9030151963233948,-0.0003572614883208,175.71318810834927,46.07999999999999,128.1157,17.963644,2.381735830053618,0.3339532368136059,0.041642095398548885,0.005838814015630483,447.8312079277584,615.81,762.6642,71.27084,17.873390476665108,1.6702654213390238,0.5838714481968614,0.05456269148842081,223.9156039638792,65.53,377.94174,16.420456,6.393216560132918,0.27776643631248826,0.20576819350116932,0.008940022174704812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6256108146260857,727.4200000000001,0.32420063,105.654945,0.006027054486103946,2.281985094465118,0.00010537658069196636,0.0693415276787561,845.8343891853608,0.0,1268.3975,0.0,26.64231604284631,0.0,0.8311763645455966,0.0
2025-12-15,847,936.66626,107.178764,1094.548780077717,225,847.3136386941885,805.8199999999999,18.36735401976477,2.3558652258885906,0.504644136637287,0.0735235674333263,97,90,1.7739900248501275,0.9690721649484536,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.212094306945801,0.9039974808692932,-0.0003615911352102,281.4236240460283,33.15,329.04483,11.733218,6.1171106286042,0.2181264894700498,0.10695111571381909,0.003813707619815209,283.20583255703167,704.14,302.44153,80.249504,7.087858833342841,1.8806843363081782,0.23153964028491145,0.06143646268317264,282.6841820911286,68.53,305.17987,15.196042,5.16238455781773,0.25705440011036246,0.16615338063855642,0.008273397130338471,65.9172573729594,0.0,29.5834,0.0,0.5506008337880917,0.0,0.009820812468471227,0.0,36.78890792507346,805.8199999999999,7.446873,107.178764,0.1355438399389466,2.3558652258885906,0.004379108066910828,0.07352356743332632,744.6074733961558,0.0,899.63605,0.0,17.68120983531992,0.0,0.49044423175410057,0.0
2025-12-16,847,908.8534,89.22983,987.8244892691672,222,847.4600000000015,721.3599999999999,17.84959530241452,1.9331817976611065,0.4947351382105156,0.060621133395929006,130,89,1.8823326794190453e-08,0.9923076923076923,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.423097133636475,0.8990849256515503,-0.0004304253497354,282.48666666666855,33.26,304.2912,8.446012,5.6569280365895125,0.1570156471690315,0.09890531686592766,0.0027452501137922194,282.4866666666666,617.99,301.5478,62.831734,7.066912956594907,1.4724909514968645,0.23085539968676996,0.04810197737411395,282.48666666666645,70.10999999999999,303.01437,17.952078,5.125754309230104,0.3036751989952105,0.164974421657818,0.009773905908022837,9.440820119957381,0.0,0.5037031,0.0,0.00936715942742218,0.0,0.0003029515457997746,0.0,47.13181217090535,721.3599999999999,5.0446515,89.22983,0.09299197384800661,1.9331817976611063,0.0022765283420783026,0.060621133395929006,790.8873677091387,0.0,903.305,0.0,17.747235295687,0.0,0.4921556307111365,0.0
2025-12-17,847,983.06415,96.71301,1042.7102343598533,218,847.460000000073,715.02,20.723095386099573,2.085239735700332,0.6555715254955107,0.06520992168898053,16,87,80.0025576584553,0.8125,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.474918842315674,0.8977987766265869,-0.0002319130338739,104.40526877250198,39.18,66.97,9.710869,1.2450063593571021,0.1805299870784449,0.021767600308125416,0.003156373116346056,502.93354677401896,599.62,610.7062,66.41405,14.31218376912954,1.5564441381846599,0.4675372294389925,0.05084448270661594,240.12118445355208,76.22,305.38794,20.588089,5.165905257612924,0.3482656104372277,0.16626669574839248,0.011209065866018534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.02,0.0,96.71301,0.0,2.085239735700332,0.0,0.06520992168898053,847.460000000073,0.0,983.06415,0.0,20.72309538609957,0.0,0.6555715254955106,0.0
2025-12-18,847,920.5604,61.121864,887.8885545955688,167,847.4599999999962,459.46999999999997,19.42348617398402,1.2695828406469285,0.6040962875540613,0.03808453293451995,17,82,18.898903728134414,0.8823529411764706,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.3933424949646,0.8995668888092041,-0.0004711014740027,178.20326201291206,39.160000000000004,100.377,11.533068,1.8660595667630724,0.21440559014055605,0.03262604925281463,0.003748651687544295,446.171158658056,351.89000000000004,564.9596,33.182953,13.240091306733413,0.7776579600922637,0.4325151009045433,0.025403813560369665,223.085579329028,68.42,255.22383,16.405848,4.317335300487536,0.2775192904141086,0.13895513739670326,0.008932067686605984,1.1144170282288428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.48350016265955,459.46999999999997,50.909557,61.121864,0.9464345451424282,1.2695828406469283,0.016547392502558093,0.038084532934519945,751.8620828091077,0.0,869.6509,0.0,18.477051628841593,0.0,0.5875488950515031,0.0
2025-12-19,847,999.9021,100.55069,981.6861893819791,219,847.4600000000121,866.8800000000001,19.972065069378743,2.2786747493164206,0.5644927873621469,0.07294180428015253,10,91,,1.0,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.183595657348633,0.9042649269104004,-0.0005037299014576,228.57114408820377,24.54,302.70947,5.0637207,5.627522944977321,0.09413714144371119,0.09839120039059615,0.0016458869094888088,386.2222956302536,802.39,391.26968,87.320175,9.169587326112579,2.046389164796981,0.2995436281915709,0.0668495553087315,232.66656028155478,39.949999999999996,305.92288,8.16679,5.174954798288842,0.13814844307572857,0.16655795877997986,0.004446362061932216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.251150090494518,866.8800000000001,6.207239,100.55069,0.1111654351280421,2.278674749316421,0.002571820968922174,0.07294180428015254,835.2088499095175,0.0,993.6948,0.0,19.860899553387352,0.0,0.5619209605325238,0.0
2025-12-20,847,984.99255,108.62885,776.4241706740415,240,833.8039281470104,757.9100000000001,22.58391972366964,2.314514804839593,0.7205205871581077,0.06977444285042138,9,91,,1.0,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.438736438751221,0.8983293771743774,-0.0002897558695486,89.10164141141496,50.36999999999999,60.11931,20.075413,1.1176485702911416,0.37321212610409726,0.01954088602054064,0.0065252135702943215,669.2567171771703,626.9,892.8828,68.00176,20.925124688668475,1.5936528035886965,0.683562688994213,0.05205998109699078,75.4455695584252,80.64,31.990444,20.55169,0.5411464647100276,0.34764987514679985,0.01741701214335396,0.011189248183136285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.66113797304813,757.9100000000001,49.758656,108.62885,0.8714665444515128,2.3145148048395936,0.023192304305936717,0.06977444285042138,733.1427901739623,0.0,935.234,0.0,21.71245317921813,0.0,0.697328282852171,0.0
2025-12-21,847,957.2737,135.9766,1016.7037781385568,237,843.9023252541963,946.5399999999997,19.9165185005009,2.9076040084928705,0.6397204673808414,0.09145761800639979,22,95,,1.0,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.222603797912598,0.9031789302825928,-0.0002849724929873,70.36010164910027,36.21,28.049534,11.500531,0.5214551254426496,0.21380070221631767,0.009117083349775297,0.003738075871230528,445.3711077509392,789.2599999999999,563.9039,90.217606,13.215349897226876,2.114291796547558,0.4317068713401596,0.06906773590453665,328.17111585415694,121.07000000000002,365.32028,34.25844,6.179713477831378,0.5795115097289953,0.19889651269090658,0.0186518062306326,16.66224487575763,0.0,6.3470716,0.0,0.11799529661400716,0.0,0.002063021152967222,0.0,10.89668347228148,946.5399999999997,4.87306,135.9766,0.09059266628134603,2.9076040084928705,0.0015839155644779414,0.09145761800639979,816.3433969061572,0.0,946.05365,0.0,19.7079305287409,0.0,0.6360735305084075,0.0
2025-12-22,847,978.8522,87.78217,946.1071515717208,166,847.46,625.39,19.349968887604778,1.893425216692275,0.5393325202819983,0.05826102654203647,11,82,,1.0,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.511480331420898,0.8964498043060303,-0.0002804931536913,251.0566600798061,34.58,319.6433,12.262308,5.942331597775029,0.2279625401288254,0.10389529189674596,0.003985680411553606,341.6866799762546,520.12,346.11688,59.50957,8.111410386777349,1.3946345225709555,0.26497607914010174,0.04555863530548096,254.71665994393942,70.69,313.09204,16.010294,5.296226903052402,0.27082815399249394,0.17046114924515057,0.008716710825001894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.80555462137108,625.39,16.465313,87.78217,0.3060985361738872,1.8934252166922747,0.005351804462891347,0.058261026542036465,821.6544453786291,0.0,962.38684,0.0,19.043869996845086,0.0,0.5339807096195546,0.0
2025-12-23,847,1004.9735,82.925354,1001.5390333167334,203,847.4142786379989,622.04,21.02442342542185,1.7960506310668485,0.6629059387243021,0.05537506096013053,17,91,7.789681351841687,0.7647058823529411,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.158576488494873,0.904456913471222,-0.0003150205104543,113.0999212261629,32.61,75.094246,11.26877,1.3960401971887093,0.20949216556198424,0.024408264904102535,0.0036627457308665316,446.9566281043417,529.8299999999999,597.9915,57.43066,14.014209773397686,1.3459142787988518,0.45780328955556066,0.043967087281905876,287.3577293074943,59.60000000000001,331.88776,14.225934,5.614173454835457,0.2406441867060123,0.1806943842646389,0.0077452279473581255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.71218842258406,622.04,48.26544,82.925354,0.8433914912540477,1.7960506310668485,0.02274829315663571,0.055375060960130534,759.7020902154148,0.0,956.70795,0.0,20.18103144700654,0.0,0.6401576304094823,0.0
2025-12-24,847,920.5987,66.00845,752.0141926990668,149,847.4599999999997,509.38,21.25973268066621,1.4128416701725393,0.6841379216899717,0.04239130751697267,75,72,0.21998431524230314,0.9733333333333334,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.2852463722229,0.9014410376548768,-0.0002978123985692,83.76168106121199,34.08,36.06654,13.013807,0.6704952336701682,0.24193329175118006,0.011722889722886234,0.004229944013127937,679.8430810520651,422.94,863.03,42.09736,20.225509376051587,0.9865713030059328,0.6607083007184337,0.03222840211472943,83.85523788672236,52.36,21.502169,10.897282,0.36372807094445603,0.1843370754154268,0.011706731248651746,0.005932961389115308,1.5319815306190816,0.0,0.12410259,0.0,0.0023071302675730554,0.0,4.0337697189949886e-05,0.0,274.3873914786471,509.38,313.70517,66.00845,7.253638987461215,1.4128416701725397,0.23410476575041061,0.04239130751697267,571.5406269907337,0.0,606.76953,0.0,14.003786614528243,0.0,0.44999281938154884,0.0
