Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49
mit ai class,0.7932209,-0.096769996,0.11306418,0.09162979,0.36306885,0.1178604,-0.13333653,-0.05739902,0.020858563,-0.16125292,0.06459278,0.0587739,0.035337724,-0.14179574,0.029231887,0.06503938,0.0012631642,0.059690397,0.0067198235,0.048439816,0.010658441,-4.65283e-05,-0.10278283,-0.018229963,-0.021428214,0.06710554,-0.14505641,0.024723623,-0.006689686,-0.07750765,0.18879174,0.048305247,0.051407445,0.10167042,-0.04484556,-0.04678303,0.03440582,-0.013994952,-0.017932503,-0.017022952,-0.031315137,-0.002938913,0.020687757,0.011891419,0.023660947,0.03882546,-0.039424945,0.009949923,0.009749874,0.02856355
course generator ai,0.83664757,0.10429334,-0.11038438,-0.10327688,0.05134967,-0.07435179,0.059059296,0.24278295,-0.1549502,-0.022981524,0.077149466,0.036261555,0.08180552,-0.096775584,-0.0036344938,0.017082246,-0.06766713,-0.22889163,0.05335247,0.016399136,-0.014705112,0.044264074,0.057086356,-0.081031255,-0.0014342999,0.0058122585,-0.044782255,-0.018293217,-0.010896346,-0.086473234,-0.012450203,0.040286448,-0.043241095,0.0006256856,-0.09197609,0.043831598,-0.016255343,-0.028197039,0.10409539,0.10631844,-0.047378216,-0.027226608,-0.05533918,0.04298334,0.05472374,-0.070147,-0.020862956,-0.09553988,-0.050470144,-0.017924465
ai courses near me,0.855781,-0.1565479,-0.21199794,-0.12698828,0.067029595,-0.13186161,-0.13487701,0.08466353,0.11204126,-0.083004355,0.0017443737,0.016450685,0.07102989,-0.027157612,0.060203467,0.07017002,-0.040065546,-0.0012421956,-0.0018531609,-0.0054400335,-0.109472714,-0.07855911,0.051198322,-0.029498141,-0.0017682851,0.04717264,0.082168534,-0.016577063,0.0029271573,0.042989653,-0.049765516,-0.016079534,-0.07678294,-0.058647156,0.024440693,0.018545734,-0.034999616,-0.110583946,-0.07587964,0.044299968,0.019573582,-0.07711662,-0.028187577,0.018438961,-0.083325766,0.09272533,-0.064496696,0.0030126795,-0.019860107,0.06798123
online artificial intelligence degree,0.6817297,-0.25923064,-0.26948857,0.08081884,-0.22261941,0.38755235,-0.15752202,-0.02906544,0.11545597,0.25068226,-0.108850285,0.007649765,0.12303007,-0.03374991,0.031817332,0.0040302817,-0.047119007,0.031383805,0.02160707,-0.015678622,-0.035053615,-0.0006585549,0.07726179,0.100269504,-0.024611454,-0.0015311681,0.016614484,0.08805584,0.014613387,-0.052816667,0.017509812,-0.03654793,0.01178638,0.056650423,-0.047489364,-0.030928802,-0.0069899354,0.026482448,-0.00058517227,0.01903748,0.08513024,-0.026187183,0.026261665,-0.032355882,0.0062409146,-0.03980185,0.0022845701,-0.04742012,-0.0469757,-0.014543484
ai short course,0.76709586,-0.017412327,-0.013451433,-0.16366622,0.0867775,0.016247023,-0.0394586,-0.005217641,-0.08212586,-0.20896952,0.064669386,0.044654846,0.122813195,-0.21665433,-0.08349306,0.18397404,-0.026099915,0.018118462,-0.07691542,-0.009341604,-0.0028889899,0.07452167,-0.06818461,0.107753485,-0.0037697698,0.0016202868,0.14380553,0.08560513,0.06623798,0.101627514,-0.05402645,-0.061746456,0.08954292,-0.02329688,0.13278134,0.022873005,-0.07970139,-0.12140909,0.117926456,-0.06864128,0.116573274,0.113006696,-0.03739478,-0.0748163,-0.06757125,0.06516479,-0.16107182,0.047714777,-0.013426762,0.013581368
course on generative ai,0.8478162,0.4585421,0.058430422,0.06073002,-0.02072472,-0.0574005,0.064515166,-0.13100576,0.0045584305,-0.0054191477,0.0016772312,0.0014908313,0.029988106,-0.05592515,0.008801067,-0.007452942,-0.00037699268,0.043952856,-0.027872592,0.03912892,0.036613323,0.00033324855,-0.041934233,0.06587817,0.0009696398,0.048715066,0.04348017,0.033356603,0.03690243,0.02243496,-0.030314479,0.044880863,0.029102286,-0.025132004,-0.0030118013,-0.046492737,0.025007773,0.012887847,-0.018231215,-0.03175159,0.030310385,-0.02573591,-0.046137884,0.02808621,0.002627785,-0.020648727,-0.0059134695,0.02223987,-0.037378952,-0.009263999
best generative ai courses,0.8602488,0.3753609,-0.09355888,0.06611148,-0.03001833,-0.19269644,0.029533593,-0.045636833,0.0827619,0.0058474187,0.030073114,0.058689132,-0.026376294,0.086787835,-0.055591736,-0.056804266,0.044415165,-0.0075398474,-0.044774175,-0.068125084,-0.08499051,0.02107895,0.08439747,-0.04368506,-0.013079706,0.0061896853,-0.019141644,0.0071602985,-0.03563719,0.0286157,0.0053532715,-0.00592877,-0.041422024,0.030983573,0.006499635,-0.0101202335,5.711148e-05,0.028806025,-0.016464418,-0.0490656,-0.0014713112,0.023630055,-0.024787974,-0.020202383,-0.0018673784,-0.025478028,-0.021891814,-0.021318756,0.023089847,0.03164141
artificial intelligence master's degree online,0.6915952,-0.22136055,-0.21884392,0.12969443,-0.20398085,0.36460444,-0.18391082,-0.0037549061,0.13584597,0.2892449,-0.07152988,0.0048126564,0.07536454,0.004706461,0.028135065,0.0039057191,-0.009501162,-0.025412349,-0.029524667,-0.012761334,0.016515017,-0.0444135,0.01945791,0.1059443,-0.040469997,-0.06204875,0.005973705,0.09472761,0.01301953,-0.10971169,-0.049256627,-0.040642545,-0.060623754,0.0050098887,-0.043124564,-0.0133307995,0.015904646,-0.019784309,0.05882727,0.11116,0.090048105,-0.009595465,0.005877392,-0.039573748,-0.04879316,-0.04044648,0.019186657,-0.05227873,-0.012070576,0.0130769545
best course on generative ai,0.8386085,0.44433767,0.017917054,0.03930148,-0.019774308,-0.10740217,0.093539804,-0.15480453,0.07160649,0.01140335,0.011626988,-0.020675927,-0.018473137,0.013258082,-0.058687437,-0.0694436,0.07312725,0.020386416,-0.09301374,0.048310753,0.0033862402,-0.0059860484,-0.037222248,0.029376037,0.0094666695,0.04049724,0.0016864885,0.041496444,0.00600003,-0.007853899,0.0068139904,0.050979726,-0.022206558,-0.039980747,0.0018377708,-0.034613308,0.022307843,0.02381517,0.024055611,-0.0071534147,0.022143021,-0.007044244,-0.055312164,0.021350123,0.0071809227,-0.012349319,-0.017597668,0.02942697,-0.035970688,0.035091307
artificial intelligence online program,0.6853956,-0.11584722,-0.08434276,-0.1546827,-0.2849458,0.5407668,-0.050939657,0.085464835,-0.07417155,0.09438737,0.09171913,-0.111937426,0.052780103,-0.093753986,-0.013719381,-0.0672465,-0.073535845,-0.030901577,0.035604205,0.02700258,-0.042556655,0.016204497,-0.009130687,0.006665344,0.04752587,0.073695816,-0.013931693,-0.040853858,0.014925044,0.020662365,0.031769563,0.035624698,-0.007517285,0.009643651,-0.03162075,0.047400463,0.02848325,0.004389256,-0.02563197,-0.09932445,0.07857236,0.04469103,-0.048379738,0.033374548,0.026183095,-0.0007665217,-0.01712242,0.00858644,-0.0077053937,0.009091609
best ai certification,0.7636694,-0.34994587,0.034047503,0.17145959,-0.20651178,-0.19542319,-0.010554091,-0.007788048,0.02169645,-0.17703338,0.07491574,0.1053345,-0.101563565,0.083669245,-0.2648197,0.03747064,0.057527058,0.048423484,-0.07112856,-0.064332336,-0.019751629,0.004314881,0.028413028,-0.0026937292,0.05509765,-0.02227782,0.049701672,0.06517688,-0.0213751,-0.06115648,0.040429894,0.028340975,-0.060241733,-0.007514847,0.005354545,0.025326235,0.014472992,0.03862031,0.04521887,0.016238235,0.03570126,0.009059213,-0.007994978,0.0006673996,0.002694269,-0.02212335,0.005853367,-0.03199553,-0.016850097,0.028745543
online ai and ml courses,0.8004079,-0.05693756,-0.3380219,-0.09814631,-0.14076644,0.123247586,-0.27640042,0.06393287,0.119805925,0.014982211,-0.107462876,0.06992968,-0.081882395,-0.04143564,0.076561645,0.07822976,0.06915214,0.029792141,-0.016375868,-0.027522245,0.025816504,0.049081344,-0.00585684,-0.010973214,0.0054232646,0.029348802,-0.06293078,0.004941032,0.10726287,0.05163405,-0.023548061,-0.029954748,0.059027713,0.007109036,-0.010419961,0.056910437,0.0055432157,-0.03439178,0.07171851,-0.05945686,-0.0031386658,-0.06850657,0.061295304,-0.007932708,-0.053747926,-0.0028448682,0.036625586,0.009816231,0.07097081,0.014534883
