Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29
generative ai online training,-0.7153214,0.44685185,-0.023297023,-0.065414906,0.3047302,-0.25615492,0.16675083,-0.18794377,-0.013776534,0.017400881,-0.0281884,0.17486045,-0.015452483,0.0012996865,-0.060864266,0.010367394,0.11286706,-0.01652457,0.023219215,0.026425445,-0.0023468297,-0.006509538,-0.047352593,0.012934628,-0.034440536,-0.0071737324,-0.012938027,-0.044441644,0.07710785,-0.01625176
ai for business,-0.70223975,-0.2174137,0.46313778,0.30092812,0.05911301,0.03065426,0.21762727,0.035591796,-0.016331464,-0.028558282,0.021274462,-0.043666814,-0.05652639,-0.15302531,-0.11548837,-0.019000094,0.022597482,-0.100473195,-0.014153762,-0.007940723,-0.07180441,0.029034533,-0.093972445,0.09228489,0.05663611,0.04728501,0.06290051,-0.1061961,-0.04087223,0.03403533
designing and building ai products and services,-0.60249186,-0.15522473,0.4433604,0.25109038,0.17758706,-0.011851786,0.04054468,-0.111400306,-0.18096447,0.09678131,-0.046926104,-0.28454143,-0.26283744,-0.107199736,0.056318842,0.14362253,-0.020318467,0.014987866,-0.15593086,-0.1335696,0.021309026,0.07675272,0.036138322,0.002891687,-0.10422583,-0.02079269,-0.010027395,0.100709714,0.07686754,0.0028579265
courses about ai,-0.8898045,-0.124502815,-0.22224365,0.21563563,-0.040352464,0.14346407,0.042014763,0.110157765,-0.1291543,0.047399305,-0.05875272,-0.014974708,0.032919686,-0.044579595,0.024419906,0.05367736,0.052909326,-0.03887918,-0.046539556,0.07427511,0.06535967,0.039504644,-0.0049440754,-0.059380494,-0.022931341,-0.008592712,-0.021382011,0.03390576,-0.0352188,0.082279675
best generative ai courses,-0.8737898,0.35598025,-0.11824228,-0.05093774,0.01978014,0.1987062,-0.0185545,0.046475124,-0.08744818,-0.0135356495,0.04029263,0.07536565,-0.008905185,0.08451772,0.00021917126,0.072653085,-0.041848592,-0.05709286,-0.01341959,-0.073658265,-0.050476905,-0.04780751,0.06993521,0.024309231,-0.0060402127,0.0034480968,-0.031891134,-0.009131167,0.032366056,0.0071206014
generative ai workshop online,-0.74347645,0.506488,0.09203962,-0.06673696,0.20880868,-0.15788697,-0.0011931424,-0.11181644,-0.0020645126,0.06903325,0.08237167,0.035282154,-0.010050714,0.052149434,-0.013366585,0.06381442,0.033443175,-0.0025983497,-0.051921725,0.00760818,-0.005899098,0.1479331,0.055751234,-0.12252333,0.017237427,0.10598811,0.1166045,-0.031721678,-0.051872235,-0.06434451
learn generative ai tools,-0.76246387,0.5105008,0.19304763,-0.09029791,0.116731085,0.051973253,-0.11448239,-0.04336543,0.018486012,0.0059906035,0.063496515,0.06049503,0.014564725,0.03846837,0.088809185,0.10408528,0.13537158,-0.03315898,-0.033288807,-0.020578135,-0.062167153,-0.047751576,0.03235743,-0.10166825,0.029916966,-0.035166427,0.056793872,-0.0014122262,0.015421415,0.093481034
artificial intelligence certification,-0.74723107,-0.48208368,-0.0070055295,-0.20488453,0.2392364,0.039391533,-0.17352438,0.07771492,0.094608314,0.022242295,0.0548155,0.052622158,-0.076280765,-0.046528675,-0.040532034,-0.049611975,0.055882137,0.15059209,-0.061037414,0.009245905,0.066840164,0.05313028,-0.028059162,0.062391587,0.03154998,-0.009525694,0.026102709,-0.022099743,-0.031299487,0.012380213
ai class,-0.81575894,-0.058942746,0.05869308,0.1748799,-0.06615893,0.016677974,0.03483576,0.010779132,0.022460954,0.2970494,-0.018262027,0.0039905827,0.1309502,-0.17994866,-0.15761714,-0.099376865,0.047080543,-0.026709609,0.04730849,0.041427612,-0.004095721,0.071795724,-0.063872196,0.0015076175,-0.067042165,0.11368315,-0.122024514,0.060374595,0.056185696,-0.24992299
ai certification courses,-0.8467531,-0.3568528,-0.20409663,-0.08623855,0.08775637,0.2540201,0.05727478,-0.044030663,-0.05209401,0.06419249,-0.02601436,0.04262948,-0.04542705,-0.028485158,0.031204086,0.002519494,0.02604034,0.030855976,-0.06892993,0.01605031,0.06392872,0.0071546403,0.035355255,-0.037674878,0.0024557654,-0.014309703,-0.011990518,-0.0023202512,-0.020501476,0.041422985
