Match type,Region,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Avg. CPC,competition_x_is_exact,competition_x_is_phrase,competition_x_is_broad,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,Conv. value,Clicks,EPC
Broad match,USA,Thursday,0,11,0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57,0.0,0.0,0.0,-0.8175422,0.050402407,0.17429712,-0.41868722,0.25495476,0.06712134,-0.08668139,-0.10401919,0.18709326,0.023686627,0.0,1,0.0
Phrase match,B,Sunday,1,1,0,22,880.0,4733.333333333333,7900.0,0.0,-794.2857142857144,80.0,4.81,13.33,1.29,0.0,80.0,0.0,-0.8976268,0.38959363,-0.101265095,-0.046576805,-0.010493872,0.17169696,-0.0138876885,-0.016313346,-0.0020330648,-0.0023835998,0.0,1,0.0
Phrase match,A,Tuesday,0,1,0,27,9900.0,6600.0,6400.0,0.0,102.8571428571427,71.0,3.57,11.25,4.02,0.0,71.0,0.0,-0.91757745,-0.18289874,-0.046809375,0.1662612,0.11286512,-0.12799539,-0.16662343,0.0042069624,0.15047182,0.12337624,0.0,7,0.0
Broad match,USA,Saturday,1,11,0,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97,0.0,0.0,0.0,-0.74526215,0.44104588,0.060153354,-0.0014971796,0.31532508,-0.3348134,0.08552831,-0.16527824,0.012759637,0.010839185,0.0,14,0.0
Broad match,USA,Sunday,1,1,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,-0.74526215,0.44104588,0.060153354,-0.0014971796,0.31532508,-0.3348134,0.08552831,-0.16527824,0.012759637,0.010839185,0.0,10,0.0
Phrase match,A,Thursday,0,12,0,60,2400.0,1600.0,1660.0,0.0,-59.99999999999991,85.0,4.18,13.29,3.77,0.0,85.0,0.0,-0.85978556,-0.16931146,-0.2551698,0.14974703,-0.04708421,-0.0136145605,-0.16266118,0.3143448,-0.12551397,-0.033753976,0.0,2,0.0
Broad match,B,Thursday,0,11,1,74,10.0,6.666666666666667,7.5,0.0,0.999999999999998,33.0,0.0,0.0,0.62,0.0,0.0,33.0,-0.92217237,0.34501824,-0.08460283,-0.05831535,-0.013991112,0.11299075,-0.02751387,0.025269616,0.062209886,-0.042118,0.0,1,0.0
Phrase match,USA,Saturday,1,10,0,114,10.0,33.333333333333336,23.333333333333332,-40.0,6.285714285714286,86.0,0.0,0.0,3.89,0.0,86.0,0.0,-0.8513745,0.4043049,-0.19814363,0.0068273274,0.12043746,-0.1533268,0.14915222,-0.075809814,-0.029775683,-0.074142136,0.0,1,0.0
Exact match,USA,Thursday,0,1,0,11,2400.0,1700.0,1700.0,18.75,-6.131812028463556e-14,85.0,4.18,13.29,1.86,85.0,0.0,0.0,-0.8237086,-0.18583246,-0.30871952,0.14593616,0.0048228716,0.019017514,-0.14342184,0.32421955,-0.20084265,-0.06288417,0.0,1,0.0
Exact match,A,Sunday,1,8,0,43,2400.0,3600.0,3250.0,0.0,180.0000000000001,85.0,4.18,13.29,2.59,85.0,0.0,0.0,-0.85978556,-0.16931146,-0.2551698,0.14974703,-0.04708421,-0.0136145605,-0.16266118,0.3143448,-0.12551397,-0.033753976,0.0,1,0.0
Broad match,C,Monday,0,1,0,14,10.0,10.0,8.333333333333334,0.0,0.8571428571428568,33.0,0.0,0.0,0.42,0.0,0.0,33.0,-0.92217237,0.34501824,-0.08460283,-0.05831535,-0.013991112,0.11299075,-0.02751387,0.025269616,0.062209886,-0.042118,0.0,28,0.0
Exact match,B,Friday,0,6,0,94,140.0,196.66666666666666,178.33333333333334,-19.047619047619047,8.857142857142852,83.0,4.17,14.99,2.9,83.0,0.0,0.0,-0.70305336,-0.18113448,0.51736104,0.29299313,0.20721897,-0.013856932,0.047423225,-0.12976518,-0.21024461,0.11391434,0.0,1,0.0
Phrase match,C,Monday,0,12,0,70,20.0,23.333333333333332,26.0,50.0,-1.0000000000000002,87.0,3.9,10.31,0.28,0.0,87.0,0.0,-0.9168682,-0.15324393,-0.16508907,0.24090193,-0.02150854,-0.019097993,-0.1491514,0.028950708,0.044597924,0.15709953,0.0,2,0.0
Exact match,A,Sunday,1,12,0,50,880.0,10666.666666666666,8600.0,-18.51851851851852,-340.0000000000007,80.0,4.81,13.33,9.84,80.0,0.0,0.0,-0.9022731,0.40434077,-0.027070574,-0.027104585,-0.04468361,0.10392434,-0.042078514,0.009840618,0.0690102,0.03895656,0.0,1,0.0
Phrase match,USA,Thursday,0,11,0,81,480.0,676.6666666666666,636.6666666666666,22.033898305084744,28.00000000000001,56.0,3.13,9.16,1.91,0.0,56.0,0.0,-0.89803255,-0.13573188,0.061539162,0.06657218,-0.06715081,-0.25520322,0.006749168,-0.0067575066,0.26348567,0.16655837,0.0,1,0.0
Broad match,B,Saturday,1,11,0,93,10.0,6.666666666666667,8.333333333333334,-100.0,-1.428571428571428,97.0,5.27,12.02,0.41,0.0,0.0,97.0,-0.8419911,0.09405592,0.016696027,-0.35377502,0.36511332,0.031028645,0.053654745,-0.12667674,-0.001717742,-0.05974572,0.0,3,0.0
Phrase match,C,Sunday,1,11,0,78,390.0,213.33333333333334,202.5,23.809523809523807,30.99999999999996,64.0,3.28,9.96,0.43,0.0,64.0,0.0,-0.8252271,-0.179447,0.31325668,0.19647859,-0.10511518,-0.046305705,-0.32943323,-0.13362247,-0.008690132,-0.10205529,0.0,4,0.0
Phrase match,USA,Saturday,1,12,0,51,320.0,70.0,78.0,0.0,-6.000000000000007,90.0,4.37,13.32,7.74,0.0,90.0,0.0,-0.90681326,-0.11861312,-0.27502805,0.18736835,-0.030312255,0.13912211,0.01793076,0.020724876,-0.11884602,0.13313213,0.0,1,0.0
Exact match,B,Monday,0,11,0,84,40.0,30.0,30.0,100.0,1.9999999999999911,87.0,3.22,10.38,0.52,87.0,0.0,0.0,-0.8903785,-0.04550422,0.13202338,0.32216498,0.12422718,-0.0062851524,-0.16079961,-0.07734003,0.05587347,0.18303889,0.0,1,0.0
Phrase match,USA,Sunday,1,11,0,71,30.0,43.333333333333336,40.0,-50.0,-1.142857142857145,89.0,5.51,20.09,1.61,0.0,89.0,0.0,-0.7261186,-0.5067716,0.059183232,-0.33485776,0.1615589,0.1802156,0.16011205,-0.052085605,0.0869072,-0.07629786,0.0,1,0.0
Exact match,B,Thursday,0,7,0,74,140.0,346.6666666666667,286.6666666666667,0.0,35.42857142857141,59.0,6.94,18.86,0.71,59.0,0.0,0.0,-0.66636854,-0.12193018,0.50634515,0.36400044,0.014283988,0.062011573,0.29183778,0.14711025,0.13556926,-0.15154202,0.0,1,0.0
Exact match,USA,Tuesday,0,8,0,48,10.0,16.666666666666668,16.666666666666668,0.0,-0.5714285714285716,50.0,0.0,0.0,4.94,50.0,0.0,0.0,-0.8845134,0.38759318,-0.08371361,-0.042519916,-0.08755364,0.1043408,-0.018248267,-0.06194654,0.17932956,0.060905512,0.0,1,0.0
Broad match,A,Friday,0,11,0,73,50.0,33.333333333333336,32.5,33.33333333333333,2.999999999999992,88.0,5.96,15.94,3.74,0.0,0.0,88.0,-0.9048005,0.08451529,-0.07490813,-0.32395953,0.077380784,0.1945735,-0.0056696283,-0.048922975,0.11431275,-0.065518335,0.0,1,0.0
Phrase match,C,Friday,0,12,0,66,320.0,70.0,78.0,0.0,-6.000000000000007,90.0,4.37,13.32,0.85,0.0,90.0,0.0,-0.90681326,-0.11861312,-0.27502805,0.18736835,-0.030312255,0.13912211,0.01793076,0.020724876,-0.11884602,0.13313213,0.0,1,0.0
Broad match,B,Monday,0,10,0,112,880.0,2066.6666666666665,2150.0,26.31578947368421,-42.85714285714278,80.0,4.81,13.33,0.32,0.0,0.0,80.0,-0.8976268,0.38959363,-0.101265095,-0.046576805,-0.010493872,0.17169696,-0.0138876885,-0.016313346,-0.0020330648,-0.0023835998,0.0,2,0.0
Broad match,USA,Saturday,1,12,0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,0.0,0.0,0.0,-0.74526215,0.44104588,0.060153354,-0.0014971796,0.31532508,-0.3348134,0.08552831,-0.16527824,0.012759637,0.010839185,0.0,10,0.0
Broad match,USA,Wednesday,0,12,0,61,10.0,10.0,10.0,0.0,0.0,33.0,0.0,0.0,1.35,0.0,0.0,33.0,-0.92217237,0.34501824,-0.08460283,-0.05831535,-0.013991112,0.11299075,-0.02751387,0.025269616,0.062209886,-0.042118,200.0,18,11.11111111111111
Exact match,B,Friday,0,7,0,73,10.0,20.0,18.333333333333332,-66.66666666666666,0.2857142857142853,50.0,0.0,0.0,0.54,50.0,0.0,0.0,-0.8845134,0.38759318,-0.08371361,-0.042519916,-0.08755364,0.1043408,-0.018248267,-0.06194654,0.17932956,0.060905512,0.0,1,0.0
