Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9
ai related certifications,-0.79455495,-0.47941825,0.04117669,-0.17757691,0.24098727,0.19853029,0.06427612,-0.030812552,-0.006663333,0.054746415
course in generative ai,-0.88978976,0.41435167,0.027568012,-0.06489064,-0.02416335,0.11569404,-0.026069894,0.12300158,0.041085877,0.012250421
courses in generative ai,-0.879975,0.4060335,-0.06545654,-0.066850945,-0.00091690064,0.18243067,-0.021246016,0.107610635,-0.04720193,-0.066977
ai for engineering,-0.8252271,-0.179447,0.31325668,0.19647859,-0.10511518,-0.046305705,-0.32943323,-0.13362247,-0.008690132,-0.10205529
ai generated courses,-0.9414623,-0.031081704,-0.16633704,0.13914293,-0.031953376,0.16299175,0.05054728,-0.16436535,-0.014260511,0.091061816
online artificial intelligence degree,-0.7014937,-0.2748619,-0.28781664,-0.056678686,0.20328997,-0.42274722,0.18121779,0.020696403,-0.07167877,-0.29640955
machine learning engineer training,-0.744942,-0.11915206,0.014873914,0.07403639,0.025910607,0.043060783,-0.55547065,-0.28849182,0.13154338,-0.116435334
best ai certification,-0.81461406,-0.39945433,0.0054421606,-0.18912184,0.23481753,0.20666838,0.007064994,0.031974852,-0.07635049,0.19050108
ai courses near me,-0.90239173,-0.18887219,-0.22045557,0.16500823,-0.07460349,0.12266725,0.12712997,-0.10598651,-0.14195769,0.07763984
what to study to become artificial intelligence engineer,-0.706662,-0.36076888,-0.024230942,0.08752911,-0.024771003,0.06153644,-0.39054915,0.13497129,-0.19148247,-0.38783288
best course on generative ai,-0.86815923,0.43429852,-0.003818606,-0.03475485,0.00928587,0.12093599,-0.06822368,0.17675929,-0.06655509,-0.03771315
generative ai courses online,-0.86145025,0.36461413,-0.25202405,-0.024268305,0.12493407,-0.045703582,0.12987927,-0.12454675,-0.06620319,-0.07996352
generative ai stanford course,-0.8688908,0.44558,-0.0020137937,-0.052572474,-0.08118785,-0.021364272,-0.06743565,0.07082298,0.15962946,0.040327173
best courses on artificial intelligence,-0.8237086,-0.18583246,-0.30871952,0.14593616,0.0048228716,0.019017514,-0.14342184,0.32421955,-0.20084265,-0.06288417
ai short course,-0.9218775,-0.04307479,-0.007580599,0.20589176,-0.09563553,-0.019251116,0.04165325,0.024863197,0.05209049,0.3020828
best place to study artificial intelligence,-0.78928554,-0.33190972,-0.2584117,0.1032865,-0.012204392,-0.08133945,-0.13554873,0.28572005,-0.2537302,-0.13515252
ai for enterprise,-0.75879645,-0.2699838,0.46073326,0.32969147,0.06042416,-0.06411882,0.14545362,0.011469897,0.03577864,-0.0058630467
