Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49
digital project manager certification,0.6082407,-0.5309897,-0.03413611,-0.07621318,-0.32240823,0.13330007,0.23350766,-0.040783707,0.08421905,-0.05409958,-0.115794025,-0.046750218,-0.137642,0.089768656,-0.065279596,-0.008785227,0.025160635,-0.006150499,-0.07742807,0.13436319,-0.0049407436,0.030025143,-0.063468456,-0.08859922,0.047136784,0.05113964,-0.039158702,-0.021323146,-0.03548809,-0.0812367,-0.00027959782,0.043500587,-0.0009689608,0.06833815,-0.05697365,-0.014014271,0.0013713512,-0.039150998,-0.029331923,0.040627968,-0.021554666,0.0077313846,0.061275393,0.03416037,-0.118933484,0.030771581,-0.021686599,0.060703766,-0.10723471,0.061700244
best course on critical thinking,0.5842709,0.07457897,-0.5749811,-0.0062594465,0.13025402,0.09236816,-0.080038555,0.0026550011,0.17461893,0.044617046,0.023521481,0.29185706,0.27949253,0.18638338,0.04750397,0.026514862,0.022352407,0.07196051,0.035603583,-0.06553157,-0.030329252,-0.091195084,0.14010431,-0.01848866,-0.022389408,-0.0025584185,-0.033080287,0.0565054,0.013826272,-0.058155492,0.008126452,-0.026193362,0.0130346995,0.018169757,-0.03313485,-0.015661255,0.010227401,0.018272208,0.0048953486,-0.004750614,-0.022259805,0.02492644,-0.018936297,0.014277794,-0.013275142,-0.0073142196,-0.01670762,-0.005020275,0.029738074,-0.038565487
engineering management mit,0.551504,-0.33236817,0.17908774,0.12545902,-0.010792964,0.008266136,0.07115432,0.074534394,-0.2310355,0.21687338,0.53984404,-0.027320696,0.07819078,0.06920797,-0.09399712,-0.07221452,-0.054011554,-0.0381014,-0.029273799,0.01944192,0.06448147,-0.08089202,0.1653976,-0.011206988,0.052944265,-0.09471659,0.045915786,-0.018637586,-0.081951424,-0.0044582775,-0.09074274,0.057283003,-0.014458201,0.083819695,0.007049004,0.06750024,0.0019674061,0.0069044796,0.116725475,-0.02411473,0.029821722,0.019455932,-0.03605386,-0.0054012258,0.03647011,0.015370497,0.02669989,-0.036397688,-0.005521306,-0.024838313
stanford product management course,0.6199599,-0.40915433,0.1303102,-0.03526624,0.17982721,-0.19042386,-0.28335327,0.3387357,0.08666918,0.06493,0.13366683,0.03133829,0.13054818,-0.034740057,-0.045567516,-0.06437845,0.027580881,0.035049044,-0.0391534,-0.035042148,0.08938309,0.045943122,0.0062058936,-0.047769044,-0.027142162,0.12773892,0.01162565,-0.008480041,-0.05785046,0.09848752,0.01797703,-0.016585609,-0.014129299,-0.10188355,-0.04968781,-0.027232317,-0.018394692,0.1294607,0.011647317,-0.019589601,0.02749389,0.11704049,-0.050501723,0.021989752,-0.032486442,-0.006795136,-0.026184982,0.045713697,-0.021735402,-0.100094005
system design masterclass,0.65834206,0.08695089,0.38272443,-0.019830741,-0.042144224,0.17765342,-0.0935319,0.016343474,7.347386e-05,0.042407725,0.12756114,0.25091094,-0.03161583,-0.01195255,-0.0047582984,0.0047784913,-0.08240606,0.09500358,0.074375734,0.10494206,-0.06104613,-0.013505652,-0.059717156,0.076188385,0.006370185,-0.14258446,-0.015421199,0.044212412,-0.10947287,-0.25213104,0.19174683,0.08217062,0.012041738,-0.048343357,0.0013796578,-0.042502753,-0.10861663,0.12154766,-0.07095212,0.053005733,0.057807438,-0.058797378,0.00769948,-0.09267781,0.12676084,0.028464912,-0.13924557,0.065495215,-0.023966447,0.07088632
cmu software architecture,0.44047162,-0.05432073,0.3901321,0.05739566,-0.07798006,0.19056524,-0.2095564,-0.19811836,0.03992256,-0.17911918,0.07361491,0.017595947,0.1777877,-0.006823521,-0.14070626,0.04377313,0.0639075,-0.12740526,0.065409064,-0.044420436,0.058591068,0.03475902,0.09400337,0.123056695,-0.3141222,-0.05924299,-0.09292305,0.010169999,-0.11311527,0.10314836,0.13706656,0.08867823,-0.23822738,-0.24224609,-0.068794325,0.09667987,-0.08702705,-0.06458702,-0.0041504866,-0.08916111,-0.07009601,-0.08853847,-0.035075497,-0.020830488,-0.1605669,-0.01880465,-0.11160223,-0.01880208,-0.045094833,-0.09156463
pmm course,0.5384892,-0.3066456,-0.15902124,-0.0548557,0.32259738,0.06979431,0.009012521,-0.060414072,0.04078218,-0.302205,0.17194825,0.322702,-0.005216821,-0.32843953,0.021615181,-0.017986754,0.0121594975,-0.23836628,-0.024801549,-0.024591433,0.120782055,-0.04016655,0.030104712,-0.02815209,-0.040482253,-0.06361646,0.09319269,-0.023455344,-0.004877396,-0.030633995,0.084106915,0.08152897,0.015122094,0.076581225,-0.0049703307,0.10676391,-0.016323885,0.036380034,0.06783242,-0.010742526,0.0070885895,0.03220645,-0.024920776,0.011933549,0.034357388,0.0018050211,0.012336883,0.013029433,-0.08230685,0.0005075768
institute of project management certification,0.6430645,-0.56401306,-0.06840588,-0.06912731,-0.27234516,0.14912887,0.26679862,-0.067765586,0.04924521,-0.020267174,-0.057126332,0.049886208,-0.028191816,0.02283875,0.049455997,0.08650726,-0.009086272,0.007505815,-0.00024119133,0.013557032,0.073622815,0.011141423,-0.08742719,-0.025956323,0.023161141,0.1279079,0.0366687,-0.0550881,0.008288958,0.01976938,-0.037187777,-0.06142442,-0.01958161,0.009225767,-0.033847854,0.039121646,-0.012665812,-0.047953546,0.06038562,0.0213034,-0.040612936,-0.049300842,-0.021111017,-0.0056088325,0.022017473,-0.06586356,-0.079180226,0.011610212,-0.006053156,0.01670345
system dynamics modeling tools for learning in a complex world,0.6061103,0.28930926,0.21742699,0.1142462,0.24206735,0.0096450625,0.1764824,0.07326902,0.35283294,-0.055839732,0.016545571,-0.17719178,-0.22495845,0.1628771,0.05008244,0.054809608,-0.07846098,-0.001567184,0.014019885,0.01415823,0.09485794,-0.07513528,0.014045904,0.07115669,-0.0080901785,-0.09425544,-0.11969893,-0.012173486,0.07374662,0.018949665,0.020114357,0.00334864,0.09969423,0.08217805,-0.056313418,0.16851296,0.032283276,0.019980716,-0.0007199565,0.04532073,0.08791654,-0.119392015,-0.10798565,0.015181601,0.0651648,0.02398584,0.03367432,0.044396203,-0.033047218,-0.026904378
best product management certification,0.557205,-0.49300006,0.110604264,-0.31953996,-0.25682923,-0.2822714,-0.11962295,0.15738796,0.20283611,0.0025803542,-0.019961394,0.10104156,0.0031608096,0.03205346,-0.02027741,-0.043962933,-0.06517277,0.117332205,-0.12838,-0.12199815,0.109922945,-0.09186773,-0.008985297,0.05136107,0.047910962,0.0030632825,-0.007972731,0.056769464,-0.03489675,0.008227035,-0.009650792,-0.017859215,0.021094741,0.0433475,-0.013980061,0.023879208,0.002035695,-0.0053574555,0.02224934,0.00911999,-0.059481677,0.021661136,0.0020235875,0.040141907,-0.02467183,-0.014955558,-0.04019671,-0.018387277,0.004415373,0.015443165
