Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,Bid,t_Clicks_OptCost
machine learning in civil engineering,USA,Phrase match,existing searches,0.4099999961676995,0.6961718048300003,0.2692637886251663,0.6961715,2.826894973662064e-07,1.9794714979665609,0.06374502
machine learning in civil engineering,USA,Broad match,existing searches,0.4099999961676938,0.9331314710299996,0.2692636994044809,0.9331313,1.9346881197090937e-07,1.97947215386558,0.06374502
machine learning master degree,USA,Exact match,existing searches,0.4099999961676938,0.9417742240999996,0.2692637193774043,0.941774,2.1344173539716849e-07,1.9794720070361231,0.06374502
machine learning master degree,USA,Phrase match,existing searches,0.4099999961676938,1.1529810866,0.2692636688830199,1.1529809,1.629473509456858e-07,1.9794723782418668,0.06374496
machine learning master degree,USA,Broad match,existing searches,0.4099999961676992,1.1687692014300004,0.2692635861956254,1.1687691,8.025995645866146e-08,1.979472986112477,0.06374502
machine learning mit online course,USA,Exact match,new,0.4099999961676938,0.7249779080600003,0.4019929742068509,0.7249776,2.9556457792345725e-07,1.32589380714833,0.0
machine learning mit online course,USA,Phrase match,new,0.4099999961676938,0.8654224026599999,0.4019930112758751,0.86542207,3.326336022180243e-07,1.3258936848835436,0.0
machine learning mit online course,USA,Broad match,new,0.4099999961676938,0.8432912601900006,0.4777357353639507,0.843291,2.755594158410091e-07,1.1156795599808953,0.0
machine learning mit online course,A,Broad match,new,0.4099999961676938,1.2843554974900004,0.4777353764878032,1.2843556,-1.429213765113957e-07,1.115680398082493,0.0
machine learning on aws course,USA,Exact match,new,0.4099999961676951,0.4053884277399998,0.2692638764437656,0.40538812,3.109034519277465e-07,1.9794708523752464,0.0
machine learning on aws course,USA,Phrase match,new,0.5100000197725532,0.6596637178399997,0.3933152664640383,0.65966344,2.790430025934043e-07,1.6856707131273754,0.0
machine learning on aws course,USA,Broad match,new,0.510000019772553,0.6628773648399999,0.469058005895107,0.6628771,2.820152928961761e-07,1.413471292189355,0.0
machine learning online,USA,Phrase match,existing searches,0.4099999961676938,1.1837223939300006,0.2734394244552081,1.183722,3.747344439197775e-07,1.9492434058473245,0.1387235
machine learning online,USA,Broad match,existing searches,0.4099999961676938,1.1615912514600004,0.3491821485432829,1.161591,1.984509672148249e-07,1.526423951629743,0.1387235
machine learning online course mit,USA,Exact match,new,0.4099999961676938,0.6981523490600007,0.2734392738990204,0.6981521,2.2417825629172938e-07,1.9492444791044752,0.0
machine learning online course mit,USA,Phrase match,new,0.4099999961676938,0.8385968436600002,0.2734393109680446,0.8385966,2.612472804752741e-07,1.9492442148535505,0.0
machine learning online course mit,USA,Broad match,new,0.4099999961676938,0.7919537454900004,0.3491820722874857,0.7919535,2.414044596443788e-07,1.5264242849763971,0.0
machine learning online course python,USA,Broad match,new,0.4099999961676938,0.6029785987399997,0.2850895937942447,0.60297835,2.5000800507601895e-07,1.8695876896954695,0.18234527
machine learning online course with certificate free,USA,Broad match,new,0.4099999961676964,0.66969608044,0.2850895700392278,0.66969585,2.262529882335329e-07,1.869587845478407,0.06374502
machine learning online master,USA,Broad match,existing searches,0.4099999961676939,1.19621836003,0.2850895410412,1.1962181,2.2705728275340686e-07,1.8695880356444752,0.1823452
machine learning phd programs,USA,Broad match,existing,0.510000019772553,0.7688995242699999,0.4091411769971269,0.7688992,3.219231980988724e-07,1.620467611132122,0.0
machine learning python course online,USA,Exact match,new,0.4099999961676938,0.807979927720001,0.3619619769467619,0.8079796,3.439797666704436e-07,1.472530345629084,0.18234526
machine learning python course online,USA,Phrase match,new,0.4099999961676938,0.9050497808200004,0.3619619407397391,0.90504956,2.183657766829939e-07,1.4725304929261722,0.18234533
machine learning python course online,USA,Broad match,new,0.4099999961676936,0.88291863835,0.437704694630136,0.8829185,1.612915893067779e-07,1.2177159659399837,0.18234527
machine learning python course online,A,Broad match,new,0.4099999961676938,1.2115171516500003,0.4377042615972049,1.2115173,-1.8233437470982494e-07,1.2177171706600665,0.11816543
machine learning qualifications,USA,Exact match,existing searches,0.4099999961676992,0.7375830764000006,0.2692637199585028,0.73758286,2.140228338998185e-07,1.979472002764248,0.06374502
machine learning qualifications,USA,Phrase match,existing searches,0.4099999961676979,0.7638905616,0.2692636819079224,0.7638904,1.7597225343557454e-07,1.979472282490263,0.06374501
machine learning qualifications,USA,Broad match,existing searches,0.4099999961676938,0.77967867643,0.2692635992205273,0.7796786,9.32848583934387e-08,1.979472890360773,0.06374502
machine learning que es y como funciona,USA,Exact match,existing searches,0.4099999961676938,0.7841964432300003,0.2692635723651321,0.7841964,6.642946315249533e-08,1.9794730877863893,0.06374496
machine learning que es y como funciona,USA,Phrase match,existing searches,0.4099999961676952,0.9246409378300012,0.2692637286434474,0.9246407,2.2270777844113362e-07,1.9794719389175128,0.06374502
machine learning que es y como funciona,USA,Broad match,existing searches,0.4099999961676948,0.9523665405300004,0.3450064755466324,0.95236635,1.8844870153245097e-07,1.5448985245088855,0.06374502
machine learning simulation,USA,Exact match,existing searches,0.4099999961676992,1.4390914597,0.2692638792480346,1.4390911,3.733123656868287e-07,1.9794708317599172,0.06374502
machine learning simulation,USA,Phrase match,existing searches,0.4099999961676939,1.6502983222,0.2692637095443604,1.6502981,2.0360869146252014e-07,1.9794720793230096,0.06374502
machine learning simulation,USA,Broad match,existing searches,0.4099999961677021,1.706724768830051,0.3450063526160618,1.7067248,5.913486145203706e-09,1.5448990749777831,0.06374502
machine learning stanford free online course,USA,Exact match,new,0.4099999961676938,0.6646689258300004,0.273439236708754,0.66466874,1.8698798986971362e-07,1.9492447442197611,0.0
machine learning stanford free online course,USA,Phrase match,new,0.4099999961676963,0.8758757883299998,0.2734393054236582,0.87587553,2.557028940808337e-07,1.9492442543773725,0.0
machine learning stanford free online course,USA,Broad match,new,0.409999996167694,0.8537446458600003,0.3491820295117337,0.85374445,1.986287075927962e-07,1.5264244719675402,0.0
machine learning tools online,USA,Broad match,existing searches,0.4099999961676939,1.1481258616400003,0.3091509685468911,1.1481259,-2.5277113957500322e-08,1.724076743227664,0.18234521
machine learning training,USA,Phrase match,existing,0.510000019772553,0.6237002838300014,0.2615555751965785,0.6237002,8.231861836627274e-08,2.5348342324801334,0.2573238
machine learning training,USA,Broad match,existing,0.5100000197725529,0.8118208759300001,0.3372983448974378,0.8118208,7.08572156504772e-08,1.9656189712579732,0.25732374
machine learning udemy courses,USA,Broad match,new,0.4099999961676938,0.7460007271700002,0.2850896618299581,0.7460004,3.180437184724383e-07,1.8695872435244956,0.0
master in ml,USA,Exact match,existing searches,0.4099999961676992,0.51952300561,0.2692636956029046,0.5195228,2.194695580826079e-07,1.9794721818126135,0.13872343
master in ml,USA,Phrase match,existing searches,0.4099999961676992,0.7307298681099992,0.2692638239224534,0.7307296,2.881844620716834e-07,1.979471238481372,0.1387235
master in ml,USA,Broad match,existing searches,0.4099999961676992,0.90691297234,0.2692637938350561,0.9069127,2.878993872190705e-07,1.9794714596664664,0.1387235
masters in machine learning online,USA,Broad match,existing searches,0.4099999961676938,1.3085208510400004,0.3091508721352762,1.3085208,5.712520545486655e-08,1.724077280897255,0.18234521
matlab neural network,USA,Exact match,existing searches,0.4099999961676938,1.12308151186,0.2692638105202782,1.1230812,3.045846093119309e-07,1.9794713370063584,0.0
matlab neural network,USA,Phrase match,existing searches,0.4099999961675671,1.263526006460001,0.2692636687753693,1.2635258,1.628397003905491e-07,1.9794723790326407,0.0
matlab neural network,USA,Broad match,existing searches,0.4099999961676992,1.2473334661600004,0.2692636839029203,1.2473333,1.7796725138019553e-07,1.979472267824188,0.0
mckinsey ai strategy,USA,Broad match,existing searches,0.5100000197725532,0.96240123636,0.3773295534300072,0.9624009,3.231214744658928e-07,1.7570848073719794,0.06374502
mind luster certificate,USA,Exact match,existing searches,0.4099999961676992,0.4830909568299998,0.2692636150350322,0.4830909,4.9494718490361584e-08,1.9794727741015568,0.06374505
mind luster certificate,USA,Broad match,existing searches,0.4099999961676992,0.6078864126300003,0.3450063853358414,0.60788625,1.5784255524842197e-07,1.544898928462347,0.06374502
mind luster come,USA,Exact match,existing searches,0.4099999961676104,0.5716920693299996,0.269263823785566,0.57169175,3.178498970690669e-07,1.97947123948726,0.06374502
mind luster come,USA,Phrase match,existing searches,0.4099999961676992,0.6687619224300009,0.2692638173808676,0.6687616,3.114451986307998e-07,1.979471286571313,0.06374502
mind luster come,USA,Broad match,existing searches,0.4099999961677012,0.8568825145300003,0.3450065870817276,0.8568822,2.999837966921604e-07,1.544898025067999,0.06374502
