Location report
All time
Location,Campaign,Ad group,Clicks,Conversions
"Louisiana, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,46,1.00
New Zealand,Course - System Thinking - Run 17 - Search - Prospecting - A, --,43,0.00
"Texas, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,962,39.00
Japan,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,8,0.00
"New Jersey, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,396,18.00
"Connecticut, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,86,5.00
"Delaware, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,14,0.00
Australia,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,17,1.00
"Florida, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,481,26.00
Japan,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,358,1.00
"Rhode Island, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,37,2.00
South Africa,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,411,11.00
"Oregon, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,168,8.00
"Wyoming, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,9,0.00
Sweden,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,3,0.00
Denmark,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,5,0.00
Canada,Course - System Thinking - Run 17 - Search - Prospecting - A, --,273,11.00
"Arizona, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,124,1.00
Mexico,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,"6,272",25.19
Denmark,Course - System Thinking - Run 17 - Search - Prospecting - A, --,15,0.00
"Indiana, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,73,4.00
"Oklahoma, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,39,1.00
Norway,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,81,1.00
Denmark,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,73,2.00
New Zealand,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,7,0.00
Netherlands,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,203,5.00
"Pennsylvania, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,362,10.00
"Kentucky, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,52,2.00
"South Dakota, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,4,0.00
South Africa,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,"23,948",723.86
"Washington, District of Columbia, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,51,4.96
Norway,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,4,0.00
"Colorado, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,218,7.00
Australia,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,415,15.00
"Vermont, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,11,0.00
Switzerland,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,4,0.00
"Michigan, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,301,9.00
United Kingdom,Course - System Thinking - Run 17 - Search - Prospecting - A, --,200,13.42
"Mississippi, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,30,1.00
United States,Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,"1,445",74.00
"Washington, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,449,19.00
Netherlands,Course - System Thinking - Run 17 - Search - Prospecting - A, --,83,4.00
Sweden,Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A, --,103,4.00
South Africa,Course - System Thinking - Run 17 - Search - Prospecting - A, --,"4,200",343.49
Mexico,Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad, --,84,0.00
"Idaho, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,42,0.00
"Arkansas, United States",Course - System Thinking - Run 12 - YouTube - Lead Gen - US, --,34,0.00
Ireland,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,9,0.00
Denmark,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,0,0.00
Germany,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,9,3.00
Australia,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,10,2.00
United Kingdom,Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,ST - Webinar,12,1.00
