Keyword,Region,Match type,Optimal Cost,Gurobi Pred,Actual Model Pred,Diff
adobe generative ai content creation course,A,Broad match,2.9400000745704458,4.00222552264,4.002225,6.004598240849646e-07
adobe generative ai content creation course,B,Exact match,1.7,2.7159007813400002,2.7159004,3.601974221112414e-07
adobe generative ai content creation course,B,Phrase match,8.739995506756879,8.428498626980002,8.428498,3.5885256011169986e-07
adobe generative ai content creation course,B,Broad match,11.219999776465604,13.916359107100002,13.916359,1.5934609542966882e-07
adobe generative ai course,USA,Exact match,0.0,0.9342803384999997,0.93428016,1.8141076629785147e-07
adobe generative ai course,USA,Phrase match,0.0,0.9632474173999999,0.9632473,1.1820566392373166e-07
adobe generative ai course,USA,Broad match,0.0,1.4272536808000003,1.4272536,7.686475855805952e-08
adobe generative ai course,A,Exact match,0.0,0.941123756400001,0.9411236,1.5162552591263534e-07
adobe generative ai course,A,Phrase match,0.0,0.9700908353000001,0.97009075,8.842042242829251e-08
adobe generative ai course,A,Broad match,0.0,1.4340970987000004,1.434097,4.7079516951598066e-08
adobe generative ai course,B,Exact match,0.0,1.1820939434,1.1820939,8.468112788762028e-08
adobe generative ai course,B,Phrase match,0.0,1.2110610223000005,1.2110609,1.4068531539734863e-07
adobe generative ai course,B,Broad match,7.919999921756261,9.33755817838,9.337558,3.857164259102319e-07
advanced generative ai course,USA,Exact match,0.0,0.9342803385000003,0.93428016,1.8141076685296298e-07
advanced generative ai course,USA,Phrase match,0.0,0.9632474173999999,0.9632473,1.1820566392373166e-07
advanced generative ai course,USA,Broad match,0.0,1.4272536808000003,1.4272536,7.686475855805952e-08
advanced generative ai course,A,Exact match,0.0,0.941123756400001,0.9411236,1.5162552591263534e-07
advanced generative ai course,A,Phrase match,0.0,0.9700908353000001,0.97009075,8.842042242829251e-08
advanced generative ai course,A,Broad match,-4.5924732449564114e-07,1.4340970987000004,1.434097,4.7079516951598066e-08
advanced generative ai course,B,Exact match,0.0,1.1820939434,1.1820939,8.468112788762028e-08
advanced generative ai course,B,Phrase match,0.0,1.2110610223000005,1.2110609,1.4068531539734863e-07
advanced generative ai course,B,Broad match,7.919999921756267,9.33755817838,9.337558,3.857164259102319e-07
advanced generative ai courses,USA,Phrase match,0.0,0.34116135379999957,0.34116104,3.113481410466079e-07
advanced generative ai courses,USA,Broad match,0.0,0.3146415372,0.31464145,9.132483214102649e-08
advanced generative ai courses,A,Exact match,0.0,0.08374571279999987,0.08374553,1.8106219545899194e-07
advanced generative ai courses,A,Phrase match,0.0,0.6297261626999999,0.6297259,2.892296935286254e-07
advanced generative ai courses,A,Broad match,2.940000074570377,3.14451774604,3.1445172,5.627361669979791e-07
advanced generative ai courses,B,Exact match,1.7,1.83170571374,1.8317057,2.430976309142352e-08
advanced generative ai courses,B,Phrase match,8.880000131796423,8.21532291268,8.215323,-5.355011527541365e-07
