Campaign,Age,Clicks
Program - SysEng - Run 24 - Search - Remarketing - A,65+,2
Program - SysEng - Run 24 - Search - Remarketing - A,Unknown,0
Program - SysEng - Run 24 - Search - Remarketing - B,18 - 24,59
Program - SysEng - Run 24 - Search - Remarketing - B,25 - 34,95
Program - SysEng - Run 24 - Search - Remarketing - B,35 - 44,30
Program - SysEng - Run 24 - Search - Remarketing - B,45 - 54,14
Program - SysEng - Run 24 - Search - Remarketing - B,55 - 64,4
Program - SysEng - Run 24 - Search - Remarketing - B,65+,3
Program - SysEng - Run 24 - Search - Remarketing - B,Unknown,1
Program - SysEng - Run 24 - Search - Remarketing - C,18 - 24,104
Program - SysEng - Run 24 - Search - Remarketing - C,25 - 34,107
Program - SysEng - Run 24 - Search - Remarketing - C,35 - 44,33
Program - SysEng - Run 24 - Search - Remarketing - C,45 - 54,19
Program - SysEng - Run 24 - Search - Remarketing - C,55 - 64,12
Program - SysEng - Run 24 - Search - Remarketing - C,65+,7
Program - SysEng - Run 24 - Search - Remarketing - C,Unknown,1
Program - SysEng - Run 24 - Search - Remarketing - US + CA,18 - 24,35
Program - SysEng - Run 24 - Search - Remarketing - US + CA,25 - 34,136
Program - SysEng - Run 24 - Search - Remarketing - US + CA,35 - 44,111
Program - SysEng - Run 24 - Search - Remarketing - US + CA,45 - 54,64
Program - SysEng - Run 24 - Search - Remarketing - US + CA,55 - 64,30
Program - SysEng - Run 24 - Search - Remarketing - US + CA,65+,32
Program - SysEng - Run 24 - Search - Remarketing - US + CA,Unknown,2
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),18 - 24,784
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),25 - 34,1694
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),35 - 44,1171
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),45 - 54,597
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),55 - 64,216
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),65+,98
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Unknown,1265
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),18 - 24,688
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),25 - 34,2516
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),35 - 44,1649
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),45 - 54,725
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),55 - 64,214
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),65+,93
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Unknown,2852
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),18 - 24,1531
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),25 - 34,1507
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),35 - 44,759
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),45 - 54,408
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),55 - 64,101
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),65+,56
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Unknown,1603
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),18 - 24,2317
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),25 - 34,3118
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),35 - 44,1638
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),45 - 54,783
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),55 - 64,191
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),65+,127
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Unknown,3073
Program - SysEng - Run 25 - Search - Lead Gen - C (broad),18 - 24,2504
Program - SysEng - Run 25 - Search - Lead Gen - C (broad),25 - 34,1973
Program - SysEng - Run 25 - Search - Lead Gen - C (broad),35 - 44,1055
Program - SysEng - Run 25 - Search - Lead Gen - C (broad),45 - 54,472
Program - SysEng - Run 25 - Search - Lead Gen - C (broad),55 - 64,117
Program - SysEng - Run 25 - Search - Lead Gen - C (broad),65+,80
Program - SysEng - Run 25 - Search - Lead Gen - C (broad),Unknown,2197
Program - SysEng - Run 25 - Search - Lead Gen - C (exact + phrase),18 - 24,5914
Program - SysEng - Run 25 - Search - Lead Gen - C (exact + phrase),25 - 34,3767
Program - SysEng - Run 25 - Search - Lead Gen - C (exact + phrase),35 - 44,1768
Program - SysEng - Run 25 - Search - Lead Gen - C (exact + phrase),45 - 54,928
Program - SysEng - Run 25 - Search - Lead Gen - C (exact + phrase),55 - 64,236
Program - SysEng - Run 25 - Search - Lead Gen - C (exact + phrase),65+,101
Program - SysEng - Run 25 - Search - Lead Gen - C (exact + phrase),Unknown,8966
Program - SysEng - Run 25 - Search - Lead Gen - USA (broad),18 - 24,733
Program - SysEng - Run 25 - Search - Lead Gen - USA (broad),25 - 34,2039
Program - SysEng - Run 25 - Search - Lead Gen - USA (broad),35 - 44,1825
Program - SysEng - Run 25 - Search - Lead Gen - USA (broad),45 - 54,1303
Program - SysEng - Run 25 - Search - Lead Gen - USA (broad),55 - 64,533
Program - SysEng - Run 25 - Search - Lead Gen - USA (broad),65+,222
Program - SysEng - Run 25 - Search - Lead Gen - USA (broad),Unknown,2215
Program - SysEng - Run 25 - Search - Lead Gen - USA (exact),18 - 24,1627
Program - SysEng - Run 25 - Search - Lead Gen - USA (exact),25 - 34,4033
Program - SysEng - Run 25 - Search - Lead Gen - USA (exact),35 - 44,3259
Program - SysEng - Run 25 - Search - Lead Gen - USA (exact),45 - 54,2297
Program - SysEng - Run 25 - Search - Lead Gen - USA (exact),55 - 64,1020
Program - SysEng - Run 25 - Search - Lead Gen - USA (exact),65+,475
Program - SysEng - Run 25 - Search - Lead Gen - USA (exact),Unknown,5944
Program - SysEng - Run 25 - Search - Lead Gen - USA (phrase),18 - 24,152
Program - SysEng - Run 25 - Search - Lead Gen - USA (phrase),25 - 34,361
Program - SysEng - Run 25 - Search - Lead Gen - USA (phrase),35 - 44,256
Program - SysEng - Run 25 - Search - Lead Gen - USA (phrase),45 - 54,196
Program - SysEng - Run 25 - Search - Lead Gen - USA (phrase),55 - 64,89
Program - SysEng - Run 25 - Search - Lead Gen - USA (phrase),65+,42
Program - SysEng - Run 25 - Search - Lead Gen - USA (phrase),Unknown,402
Program - SysEng - Run 25 - Search - Lead Gen - USA (v2 test),18 - 24,66
Program - SysEng - Run 25 - Search - Lead Gen - USA (v2 test),25 - 34,147
Program - SysEng - Run 25 - Search - Lead Gen - USA (v2 test),35 - 44,134
Program - SysEng - Run 25 - Search - Lead Gen - USA (v2 test),45 - 54,102
Program - SysEng - Run 25 - Search - Lead Gen - USA (v2 test),55 - 64,39
Program - SysEng - Run 25 - Search - Lead Gen - USA (v2 test),65+,16
Program - SysEng - Run 25 - Search - Lead Gen - USA (v2 test),Unknown,212
Program - SysEng - Run 27 - Search - Prospecting - A,18 - 24,1056
Program - SysEng - Run 27 - Search - Prospecting - A,25 - 34,2358
Program - SysEng - Run 27 - Search - Prospecting - A,35 - 44,1442
Program - SysEng - Run 27 - Search - Prospecting - A,45 - 54,612
Program - SysEng - Run 27 - Search - Prospecting - A,55 - 64,217
Program - SysEng - Run 27 - Search - Prospecting - A,65+,112
Program - SysEng - Run 27 - Search - Prospecting - A,Unknown,2484
Program - SysEng - Run 27 - Search - Prospecting - B,18 - 24,2891
Program - SysEng - Run 27 - Search - Prospecting - B,25 - 34,2464
Program - SysEng - Run 27 - Search - Prospecting - B,35 - 44,1022
Program - SysEng - Run 27 - Search - Prospecting - B,45 - 54,435
Program - SysEng - Run 27 - Search - Prospecting - B,55 - 64,153
Program - SysEng - Run 27 - Search - Prospecting - B,65+,76
Program - SysEng - Run 27 - Search - Prospecting - B,Unknown,1787
Program - SysEng - Run 27 - Search - Prospecting - C,18 - 24,5383
Program - SysEng - Run 27 - Search - Prospecting - C,25 - 34,2668
Program - SysEng - Run 27 - Search - Prospecting - C,35 - 44,1098
Program - SysEng - Run 27 - Search - Prospecting - C,45 - 54,540
Program - SysEng - Run 27 - Search - Prospecting - C,55 - 64,145
Program - SysEng - Run 27 - Search - Prospecting - C,65+,79
Program - SysEng - Run 27 - Search - Prospecting - C,Unknown,2834
Program - SysEng - Run 27 - Search - Prospecting - USA,18 - 24,1645
Program - SysEng - Run 27 - Search - Prospecting - USA,25 - 34,3482
Program - SysEng - Run 27 - Search - Prospecting - USA,35 - 44,2592
Program - SysEng - Run 27 - Search - Prospecting - USA,45 - 54,1692
Program - SysEng - Run 27 - Search - Prospecting - USA,55 - 64,696
Program - SysEng - Run 27 - Search - Prospecting - USA,65+,270
Program - SysEng - Run 27 - Search - Prospecting - USA,Unknown,6357
Program - SysEng - Run 27 - Search - Prospecting - USA - TEST: Brand Excluded + Targeting,18 - 24,753
Program - SysEng - Run 27 - Search - Prospecting - USA - TEST: Brand Excluded + Targeting,25 - 34,1452
Program - SysEng - Run 27 - Search - Prospecting - USA - TEST: Brand Excluded + Targeting,35 - 44,823
Program - SysEng - Run 27 - Search - Prospecting - USA - TEST: Brand Excluded + Targeting,45 - 54,504
Program - SysEng - Run 27 - Search - Prospecting - USA - TEST: Brand Excluded + Targeting,55 - 64,203
Program - SysEng - Run 27 - Search - Prospecting - USA - TEST: Brand Excluded + Targeting,65+,109
Program - SysEng - Run 27 - Search - Prospecting - USA - TEST: Brand Excluded + Targeting,Unknown,946
Sys Eng -  FL18 - Early Bird sale Remarketing,18 - 24,0
Sys Eng -  FL18 - Early Bird sale Remarketing,25 - 34,0
Sys Eng -  FL18 - Early Bird sale Remarketing,35 - 44,0
Sys Eng -  FL18 - Early Bird sale Remarketing,45 - 54,0
Sys Eng -  FL18 - Early Bird sale Remarketing,55 - 64,0
Sys Eng -  FL18 - Early Bird sale Remarketing,65+,0
Sys Eng -  FL18 - Early Bird sale Remarketing,Unknown,0
Sys Eng -  FL18 - Early Bird sale Remarketing #2,18 - 24,0
Sys Eng -  FL18 - Early Bird sale Remarketing #2,25 - 34,0
Sys Eng -  FL18 - Early Bird sale Remarketing #2,35 - 44,0
Sys Eng -  FL18 - Early Bird sale Remarketing #2,45 - 54,0
Sys Eng -  FL18 - Early Bird sale Remarketing #2,55 - 64,0
Sys Eng -  FL18 - Early Bird sale Remarketing #2,65+,0
Sys Eng -  FL18 - Early Bird sale Remarketing #2,Unknown,0
Syseng - FL18 - A,18 - 24,0
Syseng - FL18 - A,25 - 34,0
Syseng - FL18 - A,35 - 44,0
Syseng - FL18 - A,45 - 54,0
Syseng - FL18 - A,55 - 64,0
Syseng - FL18 - A,65+,0
Syseng - FL18 - A,Unknown,0
Syseng - FL18 - Other A,18 - 24,0
Syseng - FL18 - Other A,25 - 34,0
Syseng - FL18 - Other A,35 - 44,0
Syseng - FL18 - Other A,45 - 54,0
Syseng - FL18 - Other A,55 - 64,0
Syseng - FL18 - Other A,65+,0
Syseng - FL18 - Other A,Unknown,0
Syseng - FL18 - Other B,18 - 24,0
Syseng - FL18 - Other B,25 - 34,0
Syseng - FL18 - Other B,35 - 44,0
Syseng - FL18 - Other B,45 - 54,0
Syseng - FL18 - Other B,55 - 64,0
Syseng - FL18 - Other B,65+,0
Syseng - FL18 - Other B,Unknown,0
Syseng - FL18 - US,18 - 24,0
Syseng - FL18 - US,25 - 34,0
Syseng - FL18 - US,35 - 44,0
Syseng - FL18 - US,45 - 54,0
Syseng - FL18 - US,55 - 64,0
Syseng - FL18 - US,65+,0
Syseng - FL18 - US,Unknown,0
Sysengx - Run 4 - Other (SEM),18 - 24,0
Sysengx - Run 4 - Other (SEM),25 - 34,0
Sysengx - Run 4 - Other (SEM),35 - 44,0
Sysengx - Run 4 - Other (SEM),45 - 54,0
Sysengx - Run 4 - Other (SEM),55 - 64,0
Sysengx - Run 4 - Other (SEM),65+,0
Sysengx - Run 4 - Other (SEM),Unknown,0
Sysengx - Run 4 - Other A - Remarketing,18 - 24,0
Sysengx - Run 4 - Other A - Remarketing,25 - 34,0
Sysengx - Run 4 - Other A - Remarketing,35 - 44,0
Sysengx - Run 4 - Other A - Remarketing,45 - 54,0
Sysengx - Run 4 - Other A - Remarketing,55 - 64,0
Sysengx - Run 4 - Other A - Remarketing,65+,0
Sysengx - Run 4 - Other A - Remarketing,Unknown,0
Sysengx - Run 4 - Other B - Remarketing,18 - 24,0
Sysengx - Run 4 - Other B - Remarketing,25 - 34,0
Sysengx - Run 4 - Other B - Remarketing,35 - 44,0
Sysengx - Run 4 - Other B - Remarketing,45 - 54,0
Sysengx - Run 4 - Other B - Remarketing,55 - 64,0
Sysengx - Run 4 - Other B - Remarketing,65+,0
Sysengx - Run 4 - Other B - Remarketing,Unknown,0
Sysengx - Run 4 - US (SEM),18 - 24,0
Sysengx - Run 4 - US (SEM),25 - 34,0
Sysengx - Run 4 - US (SEM),35 - 44,0
Sysengx - Run 4 - US (SEM),45 - 54,0
Sysengx - Run 4 - US (SEM),55 - 64,0
Sysengx - Run 4 - US (SEM),65+,0
Sysengx - Run 4 - US (SEM),Unknown,0
Sysengx - Run 4 - US - Remarketing,18 - 24,0
Sysengx - Run 4 - US - Remarketing,25 - 34,0
Sysengx - Run 4 - US - Remarketing,35 - 44,0
Sysengx - Run 4 - US - Remarketing,45 - 54,0
Sysengx - Run 4 - US - Remarketing,55 - 64,0
Sysengx - Run 4 - US - Remarketing,65+,0
Sysengx - Run 4 - US - Remarketing,Unknown,0
Sysengx3 - Run 2 - Other - Text,18 - 24,0
Sysengx3 - Run 2 - Other - Text,25 - 34,0
Sysengx3 - Run 2 - Other - Text,35 - 44,0
Sysengx3 - Run 2 - Other - Text,45 - 54,0
Sysengx3 - Run 2 - Other - Text,55 - 64,0
Sysengx3 - Run 2 - Other - Text,65+,0
Sysengx3 - Run 2 - Other - Text,Unknown,0
Sysengx3 - Run 2 - Text - US,18 - 24,0
Sysengx3 - Run 2 - Text - US,25 - 34,0
Sysengx3 - Run 2 - Text - US,35 - 44,0
Sysengx3 - Run 2 - Text - US,45 - 54,0
Sysengx3 - Run 2 - Text - US,55 - 64,0
Sysengx3 - Run 2 - Text - US,65+,0
Sysengx3 - Run 2 - Text - US,Unknown,0
System Engineering - 2T 2019 - US,18 - 24,0
System Engineering - 2T 2019 - US,25 - 34,0
System Engineering - 2T 2019 - US,35 - 44,0
System Engineering - 2T 2019 - US,45 - 54,0
System Engineering - 2T 2019 - US,55 - 64,0
System Engineering - 2T 2019 - US,65+,0
System Engineering - 2T 2019 - US,Unknown,0
System Engineering - FL18 - Other A - Revamped,18 - 24,0
System Engineering - FL18 - Other A - Revamped,25 - 34,0
System Engineering - FL18 - Other A - Revamped,35 - 44,0
System Engineering - FL18 - Other A - Revamped,45 - 54,0
System Engineering - FL18 - Other A - Revamped,55 - 64,0
System Engineering - FL18 - Other A - Revamped,65+,0
System Engineering - FL18 - Other A - Revamped,Unknown,0
System Engineering - FL18 - Other B - Revamped,18 - 24,0
System Engineering - FL18 - Other B - Revamped,25 - 34,0
System Engineering - FL18 - Other B - Revamped,35 - 44,0
System Engineering - FL18 - Other B - Revamped,45 - 54,0
System Engineering - FL18 - Other B - Revamped,55 - 64,0
System Engineering - FL18 - Other B - Revamped,65+,0
System Engineering - FL18 - Other B - Revamped,Unknown,0
System Engineering - FL18 - US - Revamped,18 - 24,0
System Engineering - FL18 - US - Revamped,25 - 34,0
System Engineering - FL18 - US - Revamped,35 - 44,0
System Engineering - FL18 - US - Revamped,45 - 54,0
System Engineering - FL18 - US - Revamped,55 - 64,0
System Engineering - FL18 - US - Revamped,65+,0
System Engineering - FL18 - US - Revamped,Unknown,0
System Engineering - SP19 - Other A - BMM,18 - 24,0
System Engineering - SP19 - Other A - BMM,25 - 34,0
System Engineering - SP19 - Other A - BMM,35 - 44,0
System Engineering - SP19 - Other A - BMM,45 - 54,0
System Engineering - SP19 - Other A - BMM,55 - 64,0
System Engineering - SP19 - Other A - BMM,65+,0
System Engineering - SP19 - Other A - BMM,Unknown,0
System Engineering - SP19 - Other A - Broad,18 - 24,0
System Engineering - SP19 - Other A - Broad,25 - 34,0
System Engineering - SP19 - Other A - Broad,35 - 44,0
System Engineering - SP19 - Other A - Broad,45 - 54,0
System Engineering - SP19 - Other A - Broad,55 - 64,0
System Engineering - SP19 - Other A - Broad,65+,0
System Engineering - SP19 - Other A - Broad,Unknown,0
System Engineering - SP19 - Other A - Exact,18 - 24,0
System Engineering - SP19 - Other A - Exact,25 - 34,0
System Engineering - SP19 - Other A - Exact,35 - 44,0
System Engineering - SP19 - Other A - Exact,45 - 54,0
System Engineering - SP19 - Other A - Exact,55 - 64,0
System Engineering - SP19 - Other A - Exact,65+,0
System Engineering - SP19 - Other A - Exact,Unknown,0
System Engineering - SP19 - Other A - Phrase,18 - 24,0
System Engineering - SP19 - Other A - Phrase,25 - 34,0
System Engineering - SP19 - Other A - Phrase,35 - 44,0
System Engineering - SP19 - Other A - Phrase,45 - 54,0
System Engineering - SP19 - Other A - Phrase,55 - 64,0
System Engineering - SP19 - Other A - Phrase,65+,0
System Engineering - SP19 - Other A - Phrase,Unknown,0
System Engineering - SP19 - Other B - BMM,18 - 24,0
System Engineering - SP19 - Other B - BMM,25 - 34,0
System Engineering - SP19 - Other B - BMM,35 - 44,0
System Engineering - SP19 - Other B - BMM,45 - 54,0
System Engineering - SP19 - Other B - BMM,55 - 64,0
System Engineering - SP19 - Other B - BMM,65+,0
System Engineering - SP19 - Other B - BMM,Unknown,0
System Engineering - SP19 - Other B - Broad,18 - 24,0
System Engineering - SP19 - Other B - Broad,25 - 34,0
System Engineering - SP19 - Other B - Broad,35 - 44,0
System Engineering - SP19 - Other B - Broad,45 - 54,0
System Engineering - SP19 - Other B - Broad,55 - 64,0
System Engineering - SP19 - Other B - Broad,65+,0
System Engineering - SP19 - Other B - Broad,Unknown,0
System Engineering - SP19 - Other B - Exact,18 - 24,0
System Engineering - SP19 - Other B - Exact,25 - 34,0
System Engineering - SP19 - Other B - Exact,35 - 44,0
System Engineering - SP19 - Other B - Exact,45 - 54,0
System Engineering - SP19 - Other B - Exact,55 - 64,0
System Engineering - SP19 - Other B - Exact,65+,0
System Engineering - SP19 - Other B - Exact,Unknown,0
System Engineering - SP19 - Other B - Phrase,18 - 24,0
System Engineering - SP19 - Other B - Phrase,25 - 34,0
System Engineering - SP19 - Other B - Phrase,35 - 44,0
System Engineering - SP19 - Other B - Phrase,45 - 54,0
System Engineering - SP19 - Other B - Phrase,55 - 64,0
System Engineering - SP19 - Other B - Phrase,65+,0
System Engineering - SP19 - Other B - Phrase,Unknown,0
System Engineering - SP19 - US - BMM,18 - 24,0
System Engineering - SP19 - US - BMM,25 - 34,0
System Engineering - SP19 - US - BMM,35 - 44,0
System Engineering - SP19 - US - BMM,45 - 54,0
System Engineering - SP19 - US - BMM,55 - 64,0
System Engineering - SP19 - US - BMM,65+,0
System Engineering - SP19 - US - BMM,Unknown,0
System Engineering - SP19 - US - BMM #2,18 - 24,0
System Engineering - SP19 - US - BMM #2,25 - 34,0
System Engineering - SP19 - US - BMM #2,35 - 44,0
System Engineering - SP19 - US - BMM #2,45 - 54,0
System Engineering - SP19 - US - BMM #2,55 - 64,0
System Engineering - SP19 - US - BMM #2,65+,0
System Engineering - SP19 - US - BMM #2,Unknown,0
System Engineering - SP19 - US - Broad,18 - 24,0
System Engineering - SP19 - US - Broad,25 - 34,0
System Engineering - SP19 - US - Broad,35 - 44,0
System Engineering - SP19 - US - Broad,45 - 54,0
System Engineering - SP19 - US - Broad,55 - 64,0
System Engineering - SP19 - US - Broad,65+,0
System Engineering - SP19 - US - Broad,Unknown,0
System Engineering - SP19 - US - Broad #2,18 - 24,0
System Engineering - SP19 - US - Broad #2,25 - 34,0
System Engineering - SP19 - US - Broad #2,35 - 44,0
System Engineering - SP19 - US - Broad #2,45 - 54,0
System Engineering - SP19 - US - Broad #2,55 - 64,0
System Engineering - SP19 - US - Broad #2,65+,0
System Engineering - SP19 - US - Broad #2,Unknown,0
System Engineering - SP19 - US - Exact,18 - 24,0
System Engineering - SP19 - US - Exact,25 - 34,0
System Engineering - SP19 - US - Exact,35 - 44,0
System Engineering - SP19 - US - Exact,45 - 54,0
System Engineering - SP19 - US - Exact,55 - 64,0
System Engineering - SP19 - US - Exact,65+,0
System Engineering - SP19 - US - Exact,Unknown,0
System Engineering - SP19 - US - Phrase,18 - 24,0
System Engineering - SP19 - US - Phrase,25 - 34,0
System Engineering - SP19 - US - Phrase,35 - 44,0
System Engineering - SP19 - US - Phrase,45 - 54,0
System Engineering - SP19 - US - Phrase,55 - 64,0
System Engineering - SP19 - US - Phrase,65+,0
System Engineering - SP19 - US - Phrase,Unknown,0
Systems Engineering Program - Run 3 - Other - Text,18 - 24,0
Systems Engineering Program - Run 3 - Other - Text,25 - 34,0
Systems Engineering Program - Run 3 - Other - Text,35 - 44,0
Systems Engineering Program - Run 3 - Other - Text,45 - 54,0
Systems Engineering Program - Run 3 - Other - Text,55 - 64,0
Systems Engineering Program - Run 3 - Other - Text,65+,0
Systems Engineering Program - Run 3 - Other - Text,Unknown,0
Systems Engineering Program - Run 3 - US - Text,18 - 24,0
Systems Engineering Program - Run 3 - US - Text,25 - 34,0
Systems Engineering Program - Run 3 - US - Text,35 - 44,0
Systems Engineering Program - Run 3 - US - Text,45 - 54,0
Systems Engineering Program - Run 3 - US - Text,55 - 64,0
Systems Engineering Program - Run 3 - US - Text,65+,0
Systems Engineering Program - Run 3 - US - Text,Unknown,0
Systems Engineering Program - xPRO - WW - Remarketing Search - Run 15 - 2T2022,18 - 24,0
Systems Engineering Program - xPRO - WW - Remarketing Search - Run 15 - 2T2022,25 - 34,0
Systems Engineering Program - xPRO - WW - Remarketing Search - Run 15 - 2T2022,35 - 44,0
Systems Engineering Program - xPRO - WW - Remarketing Search - Run 15 - 2T2022,45 - 54,0
Systems Engineering Program - xPRO - WW - Remarketing Search - Run 15 - 2T2022,55 - 64,0
Systems Engineering Program - xPRO - WW - Remarketing Search - Run 15 - 2T2022,65+,0
Systems Engineering Program - xPRO - WW - Remarketing Search - Run 15 - 2T2022,Unknown,0
