Device report
1 June 2022 - 2 February 2026
Campaign,Targeted location,Clicks
Syseng - FL18 - Other B,Luxembourg,0
Sysengx - Run 4 - Other (SEM),Spain,0
System Engineering - SP19 - US - Phrase,"New Jersey, United States",0
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Japan,250
Program - SysEng - Run 26 - Search - Prospecting - A,Canada,453
System Engineering - SP19 - Other B - Broad,Turkiye,0
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Germany,"1,621"
Sysengx - Run 4 - Other A - Remarketing,Netherlands,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Alabama, United States",971
Program - SysEng - Run 21 - Search - Lead Gen - US,"South Dakota, United States",52
Program - SysEng - Run 21 - Search - Lead Gen - US,"West Virginia, United States",107
Syseng - FL18 - Other B,Greenland,0
Sysengx - Run 4 - Other (SEM),Netherlands,0
System Engineering - SP19 - Other A - BMM,Germany,0
Syseng - FL18 - US,"Georgia, United States",0
Syseng - FL18 - Other B,Somalia,0
Syseng - FL18 - Other B,Grenada,0
System Engineering - SP19 - Other B - BMM,Mexico,0
Systems Engineering Program - Run 3 - Other - Text,Canada,0
Syseng - FL18 - Other B,Malawi,0
System Engineering - SP19 - Other B - BMM,Poland,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"New Hampshire, United States",562
Syseng - FL18 - Other B,Sweden,0
Syseng - FL18 - Other B,Ethiopia,0
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Israel,259
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Denmark,326
Sysengx - Run 4 - Other (SEM),France,0
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Netherlands,330
System Engineering - SP19 - Other B - Broad,China,0
Syseng - FL18 - Other B,Andorra,0
System Engineering - FL18 - Other B - Revamped,Singapore,0
Program - SysEng - Run 25 - Search - Lead Gen - USA (exact),United States,"17,217"
Syseng - FL18 - Other B,Tajikistan,0
Program - SysEng - Run 22 - Search - Lead Gen - A,Italy,760
Syseng - FL18 - Other A,Canada,0
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Australia,737
