Campaign,Hour of the day,Clicks
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],1,33
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],2,23
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],3,23
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],4,10
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],5,19
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],6,9
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],7,17
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],8,13
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],9,16
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],10,21
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],11,26
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],12,22
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],13,15
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],14,6
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],15,7
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],16,3
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],17,4
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],18,2
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],19,3
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],20,6
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],21,12
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],22,13
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],23,11
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],0,868
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],1,939
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],2,849
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],3,745
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],4,864
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],5,883
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],6,829
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],7,1085
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],8,1301
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],9,1456
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],10,1386
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],11,1277
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],12,901
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],13,609
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],14,330
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],15,211
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],16,117
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],17,128
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],18,178
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],19,394
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],20,644
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],21,534
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],22,386
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],23,290
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],0,20
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],1,12
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],2,11
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],3,4
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],4,8
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],5,6
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],6,10
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],7,15
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],8,25
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],9,41
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],10,53
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],11,57
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],12,42
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],13,59
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],14,39
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],15,18
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],16,23
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],17,11
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],18,9
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],19,14
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],20,8
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],21,12
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],22,8
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],23,1
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],0,234
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],1,223
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],2,265
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],3,309
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],4,381
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],5,342
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],6,339
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],7,365
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],8,435
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],9,436
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],10,544
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],11,469
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],12,407
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],13,407
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],14,431
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],15,418
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],16,405
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],17,324
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],18,244
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],19,207
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],20,146
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],21,152
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],22,117
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],23,123
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],0,257
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],1,354
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],2,413
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],3,506
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],4,507
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],5,491
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],6,575
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],7,634
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],8,677
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],9,639
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],10,654
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],11,642
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],12,600
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],13,618
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],14,587
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],15,575
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],16,529
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],17,434
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],18,328
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],19,259
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],20,185
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],21,146
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],22,135
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],23,119
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],0,271
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],1,230
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],2,195
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],3,126
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],4,126
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],5,162
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],6,163
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],7,226
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],8,266
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],9,406
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],10,445
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],11,482
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],12,414
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],13,460
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],14,463
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],15,485
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],16,415
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],17,359
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],18,322
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],19,314
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],20,292
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],21,265
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],22,180
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],23,120
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],0,695
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],1,552
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],2,428
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],3,229
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],4,204
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],5,189
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],6,270
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],7,450
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],8,770
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],9,1190
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],10,1438
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],11,1426
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],12,1408
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],13,1397
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],14,1381
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],15,1255
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],16,1252
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],17,1003
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],18,877
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],19,855
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],20,819
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],21,710
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],22,546
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],23,403
Course - Generative AI - Run 5 - Search - Prospecting - A,0,163
Course - Generative AI - Run 5 - Search - Prospecting - A,1,200
Course - Generative AI - Run 5 - Search - Prospecting - A,2,214
Course - Generative AI - Run 5 - Search - Prospecting - A,3,199
Course - Generative AI - Run 5 - Search - Prospecting - A,4,225
Course - Generative AI - Run 5 - Search - Prospecting - A,5,208
Course - Generative AI - Run 5 - Search - Prospecting - A,6,217
Course - Generative AI - Run 5 - Search - Prospecting - A,7,225
Course - Generative AI - Run 5 - Search - Prospecting - A,8,265
Course - Generative AI - Run 5 - Search - Prospecting - A,9,241
Course - Generative AI - Run 5 - Search - Prospecting - A,10,259
Course - Generative AI - Run 5 - Search - Prospecting - A,11,256
Course - Generative AI - Run 5 - Search - Prospecting - A,12,261
Course - Generative AI - Run 5 - Search - Prospecting - A,13,245
Course - Generative AI - Run 5 - Search - Prospecting - A,14,231
Course - Generative AI - Run 5 - Search - Prospecting - A,15,213
Course - Generative AI - Run 5 - Search - Prospecting - A,16,209
Course - Generative AI - Run 5 - Search - Prospecting - A,17,170
Course - Generative AI - Run 5 - Search - Prospecting - A,18,136
Course - Generative AI - Run 5 - Search - Prospecting - A,19,104
Course - Generative AI - Run 5 - Search - Prospecting - A,20,121
Course - Generative AI - Run 5 - Search - Prospecting - A,21,94
Course - Generative AI - Run 5 - Search - Prospecting - A,22,90
Course - Generative AI - Run 5 - Search - Prospecting - A,23,81
Course - Generative AI - Run 5 - Search - Prospecting - B,0,162
Course - Generative AI - Run 5 - Search - Prospecting - B,1,169
Course - Generative AI - Run 5 - Search - Prospecting - B,2,209
Course - Generative AI - Run 5 - Search - Prospecting - B,3,231
Course - Generative AI - Run 5 - Search - Prospecting - B,4,230
Course - Generative AI - Run 5 - Search - Prospecting - B,5,242
Course - Generative AI - Run 5 - Search - Prospecting - B,6,290
Course - Generative AI - Run 5 - Search - Prospecting - B,7,258
Course - Generative AI - Run 5 - Search - Prospecting - B,8,287
Course - Generative AI - Run 5 - Search - Prospecting - B,9,273
Course - Generative AI - Run 5 - Search - Prospecting - B,10,298
Course - Generative AI - Run 5 - Search - Prospecting - B,11,327
Course - Generative AI - Run 5 - Search - Prospecting - B,12,315
Course - Generative AI - Run 5 - Search - Prospecting - B,13,295
Course - Generative AI - Run 5 - Search - Prospecting - B,14,271
Course - Generative AI - Run 5 - Search - Prospecting - B,15,275
Course - Generative AI - Run 5 - Search - Prospecting - B,16,251
Course - Generative AI - Run 5 - Search - Prospecting - B,17,193
Course - Generative AI - Run 5 - Search - Prospecting - B,18,158
Course - Generative AI - Run 5 - Search - Prospecting - B,19,131
Course - Generative AI - Run 5 - Search - Prospecting - B,20,70
Course - Generative AI - Run 5 - Search - Prospecting - B,21,67
Course - Generative AI - Run 5 - Search - Prospecting - B,22,61
Course - Generative AI - Run 5 - Search - Prospecting - B,23,55
Course - Generative AI - Run 5 - Search - Prospecting - USA,0,1014
Course - Generative AI - Run 5 - Search - Prospecting - USA,1,1199
Course - Generative AI - Run 5 - Search - Prospecting - USA,2,1202
Course - Generative AI - Run 5 - Search - Prospecting - USA,3,1066
Course - Generative AI - Run 5 - Search - Prospecting - USA,4,1164
Course - Generative AI - Run 5 - Search - Prospecting - USA,5,1245
Course - Generative AI - Run 5 - Search - Prospecting - USA,6,1281
Course - Generative AI - Run 5 - Search - Prospecting - USA,7,1345
Course - Generative AI - Run 5 - Search - Prospecting - USA,8,1435
Course - Generative AI - Run 5 - Search - Prospecting - USA,9,1560
Course - Generative AI - Run 5 - Search - Prospecting - USA,10,1476
Course - Generative AI - Run 5 - Search - Prospecting - USA,11,1481
Course - Generative AI - Run 5 - Search - Prospecting - USA,12,1365
Course - Generative AI - Run 5 - Search - Prospecting - USA,13,1175
Course - Generative AI - Run 5 - Search - Prospecting - USA,14,1043
Course - Generative AI - Run 5 - Search - Prospecting - USA,15,875
Course - Generative AI - Run 5 - Search - Prospecting - USA,16,754
Course - Generative AI - Run 5 - Search - Prospecting - USA,17,646
Course - Generative AI - Run 5 - Search - Prospecting - USA,18,535
Course - Generative AI - Run 5 - Search - Prospecting - USA,19,454
Course - Generative AI - Run 5 - Search - Prospecting - USA,20,491
Course - Generative AI - Run 5 - Search - Prospecting - USA,21,481
Course - Generative AI - Run 5 - Search - Prospecting - USA,22,446
Course - Generative AI - Run 5 - Search - Prospecting - USA,23,376
