Location,Region,Click_prop,Conv_rate,Purch_rate
India,C,0.954694124772865,0.022839741149600305,0.0
Indonesia,B,0.11643370668641427,0.0376361468133033,0.0
Ireland,A,0.0004998889135747612,0.07407407407407407,0.0004920002529564283
Israel,A,0.029178701029400875,0.03426395939086294,0.0004920002529564283
Italy,A,0.10808709175738725,0.020041109969167522,0.0004920002529564283
Japan,A,0.05204399022439458,0.022056207755247245,0.0004920002529564283
"Kansas, United States",USA,0.0026090709353421217,0.022556390977443608,0.000792137089407724
Luxembourg,A,0.005017403539954084,0.033210332103321034,0.0004920002529564283
"Maryland, United States",USA,0.013673101067168864,0.021520803443328552,0.000792137089407724
"Massachusetts, United States",USA,0.04309871311989956,0.027309968138370506,0.000792137089407724
Mexico,A,0.08088943197807895,0.02242847333485924,0.0004920002529564283
Mexico,B,0.03827640470239748,0.014913341394598953,0.0
"Michigan, United States",USA,0.01386927181418707,0.03536067892503536,0.000792137089407724
"Missouri, United States",USA,0.005198524795982423,0.026415094339622643,0.000792137089407724
"Montana, United States",USA,0.0007454488386691776,0.02631578947368421,0.000792137089407724
Morocco,B,0.07161590916103551,0.04717578629900905,0.0
"Nebraska, United States",USA,0.0015105147520401757,0.0,0.000792137089407724
Netherlands,A,0.03693623639191291,0.029072681704260653,0.0004920002529564283
"New Hampshire, United States",USA,0.0027267733835530444,0.02158273381294964,0.000792137089407724
"New Mexico, United States",USA,0.0023148148148148147,0.01694915254237288,0.000792137089407724
"New York, United States",USA,0.04351067168863779,0.029756537421100092,0.000792137089407724
New Zealand,A,0.010997556098644745,0.025252525252525252,0.0004920002529564283
Nicaragua,B,0.00708136628714246,0.010893246187363835,0.0
"North Dakota, United States",USA,0.0006669805398618958,0.029411764705882353,0.000792137089407724
Norway,A,0.0144782640894616,0.017902813299232736,0.0004920002529564283
"Ohio, United States",USA,0.012064500941619585,0.014634146341463415,0.000792137089407724
"Oregon, United States",USA,0.007493722536095418,0.034031413612565446,0.000792137089407724
Panama,B,0.003039279212564411,0.01015228426395939,0.0
"Pennsylvania, United States",USA,0.01690991839296924,0.03248259860788863,0.000792137089407724
Peru,B,0.04673084636983554,0.025090789039286892,0.0
Poland,B,0.009596099848807431,0.01929260450160772,0.0
Portugal,B,9.256687957048968e-05,0.0,0.0
Qatar,B,0.0015582091394365763,0.04950495049504951,0.0
Russia,B,0.0003239840784967139,0.047619047619047616,0.0
Saudi Arabia,B,0.025594742201240396,0.009041591320072333,0.0
Singapore,B,0.00618655311796106,0.034912718204488775,0.0
Slovakia,A,0.016459305339554173,0.00562429696287964,0.0004920002529564283
Slovakia,B,0.00041655095806720355,0.0,0.0
South Africa,B,0.02468450121879725,0.02203125,0.0
"South Carolina, United States",USA,0.003707627118644068,0.015873015873015872,0.000792137089407724
"South Dakota, United States",USA,0.0007454488386691776,0.0,0.000792137089407724
South Korea,A,0.17086943642153596,0.02274894354751327,0.0004920002529564283
Spain,A,0.06468932829741539,0.014310246136233544,0.0004920002529564283
Sweden,A,0.021180478412204697,0.012237762237762238,0.0004920002529564283
Switzerland,A,0.015052210619862253,0.02500615006150061,0.0004920002529564283
Taiwan,B,0.012990218766392052,0.03681710213776722,0.0
"Tennessee, United States",USA,0.005826271186440678,0.04713804713804714,0.000792137089407724
"Texas, United States",USA,0.046315913370998114,0.026683608640406607,0.000792137089407724
Thailand,B,0.04913758523866827,0.016323390894819465,0.0
United Arab Emirates,B,0.0024530223086179767,0.03773584905660377,0.0
United Kingdom,A,0.09307190994593793,0.024268947682514422,0.0004920002529564283
United States,USA,0.5661487758945386,0.032681912681912687,0.000792137089407724
"Vermont, United States",USA,0.0008239171374764595,0.047619047619047616,0.000792137089407724
"Virginia, United States",USA,0.02155916509730069,0.023657870791628753,0.000792137089407724
"Washington, United States",USA,0.020931418706842436,0.02436738519212746,0.000792137089407724
"West Virginia, United States",USA,0.0008827683615819209,0.0,0.000792137089407724
"Wisconsin, United States",USA,0.004766949152542373,0.00823045267489712,0.000792137089407724
"Wyoming, United States",USA,0.00039234149403640927,0.0,0.000792137089407724
