Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid
mit technology review,USA,Broad match,existing searches,1.0799999609317512,1.673590758280001,1.0019207982580285,1.6735908,-2.102450347152285e-08,0.12243366,1.4013083186338837
mit university bachelor programs,USA,Broad match,existing searches,1.0799999609317394,1.9997773682900069,0.868074349147856,1.9997776,-1.871756913907064e-07,0.1224339,1.6173729250144253
mit university certificate,USA,Exact match,existing searches,1.0799999609317377,3.9971899456,1.602138227841821,3.9971898,1.853918698557777e-07,0.12243366,0.8763288490422786
mit university certificate,USA,Phrase match,existing searches,1.0799999609317013,3.9411139965,1.6021383285465092,3.9411137,2.860965579998265e-07,0.1224339,0.8763287939593503
mit university certificate,USA,Broad match,existing searches,1.0799999609316444,3.217715907500001,1.7107875828005996,3.2177162,-3.095410141540356e-07,0.12243366,0.8206746198804861
mit university certificate,A,Broad match,existing searches,1.0799999609317417,3.0507963527700044,1.7107878555318452,3.0507965,-1.560190581173515e-07,0.12243366,0.8206744890498374
mit university certificate programs,USA,Exact match,existing searches,1.079999960931738,2.8721348912200035,1.1910791069945397,2.8721347,2.057036461167172e-07,0.1224336,1.178762972976652
mit university certificate programs,USA,Phrase match,existing searches,1.0799999609317383,3.1206543830000024,1.1910791781507593,3.1206543,3.8441286598356335e-08,0.12243366,1.1787629025562147
mit university certificate programs,USA,Broad match,existing searches,1.0799999609316018,3.3292804900000004,1.2997285071203617,3.3292809,-3.632714840051676e-07,0.12243384,1.0802255559676393
mit university certificate programs,A,Broad match,existing searches,1.0799999609316444,3.16236093527,1.299728541433025,3.1623611,-2.097495310771081e-07,0.12243378,1.0802255274498684
mit university exam,USA,Broad match,existing searches,1.0799999609316728,1.1921354252000012,1.0019206869502224,1.1921356,-1.4723347052658653e-07,0.1224339,1.4013084743113289
mit university official website,USA,Phrase match,existing searches,1.0799999609315591,2.8566522892799995,0.8932715948906562,2.8566523,2.9453339323026746e-08,0.12243366,1.5717503581683776
mit university official website,USA,Broad match,existing searches,1.079999960931275,2.133254200279999,1.0019207299354551,2.1332543,-8.934707640406715e-08,0.1224339,1.4013084141907162
mit university online courses,USA,Broad match,existing searches,1.079999960931616,1.77120220389,0.752646443506394,1.7712022,-2.7216333631230327e-09,0.12243366,1.8654176357629642
mit university open course,USA,Broad match,existing searches,1.07999996093174,1.2711853173800003,0.8680744257994186,1.2711854,-8.072180635032566e-08,0.12243366,1.617372782199296
mit university research,USA,Broad match,existing searches,1.079999960931739,1.1966375428000016,1.0019206571140808,1.1966377,-2.068719344716641e-07,0.12243378,1.401308516040905
mit university website,USA,Broad match,existing searches,1.0799999609317386,1.8253329418,1.0019206426438112,1.8253331,-1.7663872053930168e-07,0.1224339,1.4013085362793456
mit xpro programs,USA,Broad match,existing searches,1.0799999609317377,1.9774755329800031,0.8680746645641706,1.9774755,9.031333680908917e-09,0.12243378,1.6173723373393893
