Campaign,Targeted location,Clicks
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Qatar,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Illinois, United States",0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Greece,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Saudi Arabia,0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Denmark,0
Program - MLx - Run 14 - Search - Prospecting - B,Singapore,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,United Kingdom,0
Program - MLx - Run 14 - Search - Prospecting - B,Austria,0
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Sweden,0
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,South Korea,0
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),United States,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),United Arab Emirates,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,Norway,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Slovakia,0
Program - MLx - Run 14 - Search - Prospecting - A,Denmark,0
Program - MLx - Run 14 - Search - Prospecting - A,Luxembourg,0
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Bosnia and Herzegovina,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,Finland,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),South Africa,0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Germany,0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Australia,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Texas, United States",0
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Japan,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Austria,0
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),United States,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Nebraska, United States",0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Austria,0
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Taiwan,0
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Belgium,0
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Spain,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Costa Rica,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Mexico,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Hong Kong,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Peru,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Montana, United States",0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Argentina,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Croatia,0
Program - MLx - Run 14 - Search - Prospecting - A,Israel,0
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Norway,0
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),United States,0
Program - MLx - Run 14 - Search - Prospecting - A,Australia,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,Denmark,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Chile,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Morocco,0
Program - MLx - Run 14 - Search - Prospecting - B,Brazil,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,Netherlands,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Hong Kong,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Iceland,0
Program - MLx - Run 14 - Search - Prospecting - B,Taiwan,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,France,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,Luxembourg,0
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Ireland,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Connecticut, United States",0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Sweden,0
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Sweden,0
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Italy,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"South Carolina, United States",0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Netherlands,0
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Australia,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,Japan,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Hong Kong,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Portugal,0
