Campaign,Hour of the day,Clicks
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),11,170
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),12,124
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),13,123
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),14,137
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),15,121
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),16,108
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),17,89
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),18,65
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),19,58
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),20,47
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),21,38
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),22,50
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),23,37
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),0,20
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),1,14
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),2,14
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),3,10
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),4,3
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),5,6
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),6,3
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),7,12
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),8,7
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),9,29
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),10,37
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),11,26
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),12,25
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),13,17
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),14,27
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),15,22
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),16,21
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),17,19
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),18,22
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),19,6
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),20,11
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),21,9
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),22,10
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),23,12
Program - MLx - Run 15 - Search - Prospecting - A,0,304
Program - MLx - Run 15 - Search - Prospecting - A,1,266
Program - MLx - Run 15 - Search - Prospecting - A,2,283
Program - MLx - Run 15 - Search - Prospecting - A,3,249
Program - MLx - Run 15 - Search - Prospecting - A,4,214
Program - MLx - Run 15 - Search - Prospecting - A,5,217
Program - MLx - Run 15 - Search - Prospecting - A,6,204
Program - MLx - Run 15 - Search - Prospecting - A,7,198
Program - MLx - Run 15 - Search - Prospecting - A,8,255
Program - MLx - Run 15 - Search - Prospecting - A,9,299
Program - MLx - Run 15 - Search - Prospecting - A,10,352
Program - MLx - Run 15 - Search - Prospecting - A,11,288
Program - MLx - Run 15 - Search - Prospecting - A,12,285
Program - MLx - Run 15 - Search - Prospecting - A,13,269
Program - MLx - Run 15 - Search - Prospecting - A,14,286
Program - MLx - Run 15 - Search - Prospecting - A,15,238
Program - MLx - Run 15 - Search - Prospecting - A,16,283
Program - MLx - Run 15 - Search - Prospecting - A,17,277
Program - MLx - Run 15 - Search - Prospecting - A,18,272
Program - MLx - Run 15 - Search - Prospecting - A,19,228
Program - MLx - Run 15 - Search - Prospecting - A,20,255
Program - MLx - Run 15 - Search - Prospecting - A,21,267
Program - MLx - Run 15 - Search - Prospecting - A,22,192
Program - MLx - Run 15 - Search - Prospecting - A,23,182
Program - MLx - Run 15 - Search - Prospecting - B,0,312
Program - MLx - Run 15 - Search - Prospecting - B,1,368
Program - MLx - Run 15 - Search - Prospecting - B,2,376
Program - MLx - Run 15 - Search - Prospecting - B,3,359
Program - MLx - Run 15 - Search - Prospecting - B,4,413
Program - MLx - Run 15 - Search - Prospecting - B,5,431
Program - MLx - Run 15 - Search - Prospecting - B,6,496
Program - MLx - Run 15 - Search - Prospecting - B,7,519
Program - MLx - Run 15 - Search - Prospecting - B,8,534
Program - MLx - Run 15 - Search - Prospecting - B,9,537
Program - MLx - Run 15 - Search - Prospecting - B,10,518
Program - MLx - Run 15 - Search - Prospecting - B,11,520
Program - MLx - Run 15 - Search - Prospecting - B,12,473
Program - MLx - Run 15 - Search - Prospecting - B,13,468
Program - MLx - Run 15 - Search - Prospecting - B,14,454
Program - MLx - Run 15 - Search - Prospecting - B,15,415
Program - MLx - Run 15 - Search - Prospecting - B,16,465
Program - MLx - Run 15 - Search - Prospecting - B,17,492
Program - MLx - Run 15 - Search - Prospecting - B,18,418
Program - MLx - Run 15 - Search - Prospecting - B,19,414
Program - MLx - Run 15 - Search - Prospecting - B,20,391
Program - MLx - Run 15 - Search - Prospecting - B,21,315
Program - MLx - Run 15 - Search - Prospecting - B,22,194
Program - MLx - Run 15 - Search - Prospecting - B,23,165
Program - MLx - Run 15 - Search - Prospecting - USA,0,428
Program - MLx - Run 15 - Search - Prospecting - USA,1,386
Program - MLx - Run 15 - Search - Prospecting - USA,2,304
Program - MLx - Run 15 - Search - Prospecting - USA,3,197
Program - MLx - Run 15 - Search - Prospecting - USA,4,178
Program - MLx - Run 15 - Search - Prospecting - USA,5,126
Program - MLx - Run 15 - Search - Prospecting - USA,6,170
Program - MLx - Run 15 - Search - Prospecting - USA,7,205
Program - MLx - Run 15 - Search - Prospecting - USA,8,292
Program - MLx - Run 15 - Search - Prospecting - USA,9,420
Program - MLx - Run 15 - Search - Prospecting - USA,10,607
Program - MLx - Run 15 - Search - Prospecting - USA,11,599
Program - MLx - Run 15 - Search - Prospecting - USA,12,644
Program - MLx - Run 15 - Search - Prospecting - USA,13,659
Program - MLx - Run 15 - Search - Prospecting - USA,14,643
Program - MLx - Run 15 - Search - Prospecting - USA,15,636
Program - MLx - Run 15 - Search - Prospecting - USA,16,635
Program - MLx - Run 15 - Search - Prospecting - USA,17,564
Program - MLx - Run 15 - Search - Prospecting - USA,18,541
Program - MLx - Run 15 - Search - Prospecting - USA,19,535
Program - MLx - Run 15 - Search - Prospecting - USA,20,552
Program - MLx - Run 15 - Search - Prospecting - USA,21,490
Program - MLx - Run 15 - Search - Prospecting - USA,22,335
Program - MLx - Run 15 - Search - Prospecting - USA,23,226
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,0,131
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,1,143
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,2,141
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,3,161
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,4,163
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,5,151
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,6,131
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,7,139
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,8,165
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,9,152
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,10,147
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,11,131
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,12,95
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,13,83
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,14,84
