Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Conv,Act_Conv,N_Opt,N_Obs,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Conv_Region_A,Act_Conv_Region_A,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Conv_Region_USA,Act_Conv_Region_USA,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Conv_Region_B,Act_Conv_Region_B,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Conv_Origin_new,Act_Conv_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Conv_Origin_existing,Act_Conv_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Conv_Origin_existing searches,Act_Conv_Origin_existing searches
2025-12-25,350,358.86514,167.16289,543.2956346241587,281,350.0000000000009,351.03999999999996,14.135255441318709,7.659531130374296,91,36,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,115.93091996075444,48.02,87.740814,15.6061125,2.712250418379162,0.48241721048568653,118.33056143999211,289.27000000000004,75.66093,141.93591,3.6211570214421727,6.7931005038278,115.73851859925446,13.75,195.46341,9.620872,7.801848001497374,0.38401341606080913,172.02500420655574,0.0,184.59776,0.0,7.224360323567769,0.0,72.352223723791,351.03999999999996,85.66049,167.16289,3.3448222124488005,7.659531130374296,105.6227720696543,0.0,88.60692,0.0,3.566072846342045,0.0
2025-12-25,400,402.0939,167.16289,615.8834399794164,281,400.00000000000693,351.03999999999996,15.87954686295581,7.659531130374296,86,36,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,133.25704088267523,48.02,100.80696,15.6061125,3.116151591560868,0.48241721048568653,136.06630250348172,289.27000000000004,92.83489,141.93591,4.443109145254459,6.7931005038278,130.6766566138501,13.75,208.4521,9.620872,8.32028612614048,0.38401341606080913,187.40389273687333,0.0,198.86491,0.0,7.791133928639956,0.0,103.01963240926301,351.03999999999996,111.49855,167.16289,4.396561827803817,7.659531130374296,109.5764748538707,0.0,91.730484,0.0,3.691851289084727,0.0
2025-12-25,450,442.3052,167.16289,688.6973482226316,281,449.89028605090664,351.03999999999996,17.450339235231517,7.659531130374296,97,36,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,149.75185670041446,48.02,110.62096,15.6061125,3.419522502238734,0.48241721048568653,150.27685870098887,289.27000000000004,99.64678,141.93591,4.769128838396156,6.7931005038278,149.8615706495034,13.75,232.03748,9.620872,9.261687894596628,0.38401341606080913,237.5150057629697,0.0,240.87209,0.0,9.37325121924285,0.0,83.25277982292421,351.03999999999996,98.70825,167.16289,3.895438112950899,7.659531130374296,129.1225004650127,0.0,102.72489,0.0,4.1816496881388225,0.0
2025-12-25,500,481.84985,167.16289,753.9886911289,281,499.99999999999704,351.03999999999996,19.050216661124956,7.659531130374296,107,36,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,166.4718573156205,48.02,119.25877,15.6061125,3.6865353170214683,0.48241721048568653,170.14056321370308,289.27000000000004,112.13543,141.93591,5.366839338066614,6.7931005038278,163.38757947067347,13.75,250.45564,9.620872,9.996842006036875,0.38401341606080913,267.35241500704353,0.0,265.38632,0.0,10.441798851892552,0.0,103.39648432903394,351.03999999999996,113.30777,167.16289,4.419198167159852,7.659531130374296,129.25110066391963,0.0,103.15577,0.0,4.189219816937093,0.0
2025-12-25,550,523.8574,167.16289,826.9214684130886,281,549.8218691031233,351.03999999999996,20.71804272289105,7.659531130374296,136,36,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,183.23148839679382,48.02,126.940384,15.6061125,3.923990021501976,0.48241721048568653,185.0270461095652,289.27000000000004,119.71996,141.93591,5.729836939348173,6.7931005038278,181.56333459676424,13.75,277.19708,9.620872,11.0642157620409,0.38401341606080913,282.9088979451152,0.0,272.69266,0.0,10.778075760311568,0.0,114.34704043252437,351.03999999999996,119.54726,167.16289,4.717822553824502,7.659531130374296,152.5659307254837,0.0,131.6175,0.0,5.222144473407485,0.0
2025-12-26,300,324.3551,191.73,505.58529702496384,295,299.99999999999807,352.57000000000005,12.903328043648017,8.846733757499694,21,39,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,96.47791712378168,33.720000000000006,72.1934,12.847291,2.2316473510342174,0.3971363572850376,109.3410119871281,299.72,76.36087,164.81357,3.6546565546307614,7.888032762528384,94.18107088908829,19.13,175.80087,14.069147,7.017024137983038,0.5615646376862717,186.22523816752147,0.0,207.91995,0.0,8.294954786760798,0.0,70.68422623255718,352.57000000000005,75.2035,191.73,2.9736354872710526,8.846733757499694,43.09053559991942,0.0,41.231674,0.0,1.6347376914693303,0.0
2025-12-26,350,389.6175,191.73,585.6848855181858,295,350.0000000000002,352.57000000000005,15.463309762037841,8.846733757499694,26,39,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,112.77476281466127,33.720000000000006,91.57141,12.847291,2.8306616265939137,0.3971363572850376,125.27160695513417,299.72,92.660385,164.81357,4.434756444539539,7.888032762528384,111.95363023020478,19.13,205.3857,14.069147,8.197891690904388,0.5615646376862717,204.52267888100752,0.0,238.9563,0.0,9.519614412071935,0.0,102.27791670981934,352.57000000000005,109.429535,191.73,4.308957671636085,8.846733757499694,43.199404409173354,0.0,41.231674,0.0,1.6347376914693303,0.0
2025-12-26,400,435.12244,191.73,661.2845385431742,295,400.00000000000017,352.57000000000005,17.246928058904327,8.846733757499694,31,39,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,130.51577390949836,33.720000000000006,102.75917,12.847291,3.176498663093404,0.3971363572850376,138.96845218100322,299.72,101.22127,164.81357,4.844483526651348,7.888032762528384,130.5157739094986,19.13,231.14204,14.069147,9.225945869159574,0.5615646376862717,244.03053480603842,0.0,270.9431,0.0,10.768043719317255,0.0,102.27791670981937,352.57000000000005,109.429535,191.73,4.308957671636085,8.846733757499694,53.691548484142366,0.0,54.74984,0.0,2.169927030604992,0.0
2025-12-26,450,474.6781,191.73,736.2828162308479,295,449.9999999999983,352.57000000000005,18.802887523602568,8.846733757499694,34,39,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,150.57898983790966,33.720000000000006,113.26715,12.847291,3.5013220861529732,0.3971363572850376,152.38529751073509,299.72,110.24637,164.81357,5.276428244946766,7.888032762528384,147.03571265135352,19.13,251.16455,14.069147,10.025137192502829,0.5615646376862717,274.2269053018923,0.0,301.33984,0.0,11.804245393278078,0.0,120.47160722918049,352.57000000000005,118.46596,191.73,4.824930058303486,8.846733757499694,55.301487468925444,0.0,54.872272,0.0,2.173711708536539,0.0
2025-12-26,500,544.90717,191.73,811.4499906402784,295,499.80077082438754,352.57000000000005,21.586435581036753,8.846733757499694,38,39,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,166.47583516699046,33.720000000000006,129.87927,12.847291,4.014837149802874,0.3971363572850376,176.31898790550966,299.72,126.59851,164.81357,6.059047272876624,7.888032762528384,157.00594775188742,19.13,288.42944,14.069147,11.512551158357251,0.5615646376862717,314.8817826869306,0.0,351.08383,0.0,13.914201348939322,0.0,131.39160718773257,352.57000000000005,145.26318,191.73,5.810955077138684,8.846733757499694,53.527380949724375,0.0,48.560234,0.0,1.8612785287390035,0.0
