Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid
lean project management,USA,Broad match,existing searches,0.6400000125806202,0.9999829206800004,0.0507512364720842,0.9999832,-2.708101728421397e-07,0.0,16.393689576655916
levels of problem solving,USA,Broad match,existing searches,1.3000000318054628,1.362641716880001,0.2918291339103354,1.3626417,2.4718440849724743e-08,0.16605842,5.791060058679251
lms,USA,Broad match,existing searches,0.9599999988674808,0.9450014485800003,0.1391772283994889,0.9450016,-1.5359285110427836e-07,0.012436897,8.96698413152412
lms,A,Phrase match,existing searches,0.9599999988674808,1.311700403570001,0.139177381872003,1.3117005,-5.972498184902976e-08,0.01983118,8.96697424352666
lms,A,Broad match,existing searches,5.589999984304767,3.181705704350001,2.1919321924634043,3.1817057,-8.922093730490133e-09,1.4729903,3.3153397740051327
lms learning program,USA,Broad match,existing,0.6400000125806202,0.95830930358,0.0507513392550489,0.9583095,-1.680272081472367e-07,0.0,16.393656375718923
lms learning program,A,Phrase match,existing,0.6400000125806202,1.6397935056800008,0.0507517957800984,1.6397933,2.288931966187846e-07,0.0,16.39350891069481
lms learning program,A,Broad match,existing,19.18000059351549,13.100089196050002,11.447523597562148,13.100089,1.2286884931711486e-07,7.6226883,2.1781130704006637
metadata certification,A,Phrase match,existing searches,0.6400000125805851,0.7783301295800016,0.0507513703865811,0.77833027,-1.3689567590624568e-07,0.0,16.393646319641952
mit model based systems engineering certification,USA,Broad match,existing searches,0.6400000125806202,0.7094282647499999,0.0507512828240355,0.7094285,-2.2445822156491602e-07,0.0,16.393674604039294
mit opencourseware physics,USA,Broad match,existing searches,0.6400000125806202,1.1608908184800002,0.0507515677246901,1.1608908,8.377882831922532e-10,0.0,16.39358257597326
mit systems engineering,USA,Broad match,existing searches,0.6400000125806202,1.1882621385500003,0.0507513620302249,1.1882623,-2.0485667695524517e-07,0.0,16.393649018903375
online learning software,USA,Broad match,existing searches,1.3000000318054628,1.1520631384400006,0.2918289374855634,1.1520631,7.107603172684662e-09,0.11987102,5.791063956536884
performance,A,Broad match,existing searches,0.640000012580586,1.1741300059700008,0.0507514907264705,1.1741301,-7.616043129488048e-08,0.0,16.393607447688524
pmi,A,Phrase match,existing searches,1.7399999811876623,1.23822744423,0.366080718575398,1.2382274,7.682887703808208e-08,0.2226454,6.178965077282756
