Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49
applied data science program mit,0.55360425,0.119809665,-0.22407755,0.5859253,0.14722237,-0.15026063,-0.23409882,-0.18388285,-0.025387203,0.09647721,-0.06446578,0.08886165,-0.1581746,-0.08412689,-0.04381604,0.06883277,-0.051742524,-0.055634618,0.09033116,-0.032389592,0.01974363,0.024865014,-0.04729466,0.052807,-0.053147953,0.03798869,-0.05235781,-0.016398082,0.06274105,0.01598236,0.03696167,0.051806543,-0.0012914786,-0.050736226,-0.06452094,0.06296495,-0.041347105,0.024260825,-0.077398285,0.08410125,-0.06384691,-0.14777951,-0.0059944815,-0.023646886,-0.007773732,-0.022947859,0.042872287,-0.019337427,0.0060007097,0.008767608
ai certificate programs,0.763623,-0.37354124,-0.017954426,-0.085806504,-0.17655133,-0.023736635,0.025398714,-0.037696935,0.18535018,0.04284896,-0.16638239,-0.06627877,-0.22556469,-0.06344301,-0.08055142,-0.01958709,0.11735746,-0.03235371,0.041468676,-0.049079128,0.106440514,-0.05198109,0.016723104,0.069760665,-0.008784591,-0.014756919,-0.020852752,-0.048511602,0.09602731,-0.029771898,0.011167592,-0.031234879,0.09730785,0.0972782,-0.012421722,0.12450506,0.043599226,0.05790574,0.04938696,0.03742561,0.026215214,0.031699657,-0.033201624,0.068228066,-0.023127696,0.022084976,0.0070520802,0.018964866,0.011509455,-0.026574936
mit machine learning program,0.7461148,0.25028026,-0.2036595,0.2251805,-0.015222955,-0.30898026,0.092600614,0.17089154,-0.09575483,0.010154505,-0.07175877,0.07331163,-0.13532872,-0.017734008,-0.045667715,0.035140373,-0.02413025,0.0656023,0.05902936,0.05879307,0.07989824,-0.13956274,0.0022284146,0.08634803,0.007214065,0.06341345,0.0969431,-0.105443105,0.037836093,-0.057237588,-0.015987433,-0.011811383,-0.0049779513,0.01315778,-0.063374884,-0.093050756,-0.03115902,-0.086773954,0.0045863544,-0.0938379,0.054610107,0.024628459,-0.013778408,0.03324157,-0.00898593,-0.006113764,0.031115754,-0.043119278,0.018799467,0.0063757715
mit artificial intelligence certificate,0.7037013,-0.41057247,-0.12916894,0.1966176,-0.23543583,-0.24456842,0.12726185,0.09578936,0.076426856,-0.09772445,-0.11316625,-0.13894376,-0.049398586,0.1066227,0.058843754,0.10907207,-0.022221329,-0.037340175,-0.06656897,-0.030682573,-0.0051188744,-0.078891695,-0.056140464,-0.0031004404,-0.035493705,0.026333328,0.078265,0.01205123,0.012261776,0.046288356,-0.09904203,-0.045737542,0.038342282,0.021299306,0.021484204,-0.03252545,0.018642494,-0.04598175,0.051915634,0.06969102,0.0027455932,0.029573476,0.0396462,-0.07501214,-0.032141864,0.0020187548,0.011651353,-0.016544942,-0.039028622,-0.0026741675
ai certification programs,0.8214149,-0.39446604,0.06553842,-0.16044119,-0.14232649,0.0006119196,-0.07816781,-0.15046903,0.0931383,0.117858686,-0.047375787,0.10957881,-0.13056722,-0.052169297,-0.06081189,-0.054610435,0.023016952,0.038508896,0.014504455,0.05070912,0.030903984,-0.023287782,0.020701496,0.024174383,-0.013032288,0.04721886,0.047323,-0.04077824,0.046059687,-0.04032897,0.034181435,-0.02099225,0.03454812,0.0063107773,-0.012979891,0.009874786,0.007871256,0.048870116,-0.033715572,0.017092092,0.020436393,0.029716872,-0.014106492,-0.019411145,0.01761472,-0.018206095,0.018266913,0.010989831,-0.0045688543,-0.0051062354
machine learning modeling simulation,0.5841614,0.53950286,-0.040710274,-0.14749026,-0.14757903,0.050823566,0.31352976,-0.18366724,-0.1379111,0.029977156,-0.25445473,-0.011532914,-0.1012621,0.08489995,-0.02063421,0.0066058445,-0.104342684,-0.030722218,-0.0073396913,0.12732649,-0.038638107,0.013000726,-0.07729628,-0.07596272,0.035125032,-0.030157845,-0.123769365,0.0026222742,0.007521298,-0.031716168,0.023220658,-0.03690986,-0.045894194,0.01997323,-0.0042061587,-0.019791797,0.00010514416,0.018719457,0.05355275,0.019486036,0.008428759,-0.0100106485,0.020704549,-0.0072787614,0.07880991,0.055880003,0.015778767,-0.04024762,-0.011781926,-0.06863284
mit data science course,0.65975153,0.055606205,-0.11301275,0.58094543,0.23756962,-0.06667257,-0.14582483,-0.24015932,-0.074433975,-0.024871806,0.113078274,-0.07793639,-0.054848175,0.036339533,-0.01549444,-0.021841882,-0.07242837,-0.033359118,0.0171047,-0.026888669,-0.023792833,0.03785781,0.0452816,-0.04090895,0.037473973,-0.007092998,-0.031148342,-0.0111339595,-0.039633,-0.060473103,-0.0377656,0.019727869,-0.020018885,0.005424272,0.0010580557,0.021445796,-0.0077767107,0.021751799,0.06571888,-0.041530367,-0.022337357,0.06401328,-0.042982906,-0.0032196846,0.043599643,-0.002645304,-0.007926688,0.021033429,0.04948423,-0.00025969945
mit data science certificate,0.58572686,-0.28409234,-0.41273403,0.56032753,-0.07052339,-0.06102262,0.037623342,-0.05082713,0.021775555,-0.098226584,-0.010897792,-0.10585374,-0.04472947,0.024404945,0.030255778,-0.01504594,-0.088612944,-0.058420822,0.014269758,-0.046187047,-0.012392836,0.030836824,-0.0005444231,-0.018454975,-0.013909887,-0.069408275,-0.02627584,-0.008220823,-0.035690732,-0.0344514,-0.01998179,-0.028483074,0.023228405,-0.0043477765,0.013927598,-0.00974512,0.06105933,-0.05375794,-0.011999673,0.051130407,0.08005044,-0.0026558263,0.043643937,-0.067688875,-0.010935254,-0.047057558,-0.0527999,0.0153466845,-0.017453354,-0.027259434
machine learning degree online,0.73878336,0.016538847,-0.05738647,0.058142267,0.40602174,0.11445382,0.16225758,0.12593977,0.18758163,-0.048221637,-0.14469315,0.20572282,0.13652366,0.043808054,0.022370465,-0.0028861484,-0.067925066,-0.006594083,-0.04205856,-0.08409402,-0.088040516,0.08476197,0.012069351,-0.010630828,-0.04214204,-0.1265124,-0.029245438,-0.030553572,-0.00862215,0.032198153,0.1265057,-0.016834948,-0.0052000172,0.027250962,-0.0028980752,-0.089760005,0.03272414,0.039914977,-0.083463736,0.018865488,0.061253954,0.0337132,-0.017236367,-0.02919137,-0.07481026,0.058987543,0.04426613,-0.038086012,0.046792027,-0.008827969
professional machine learning certificate,0.75161785,-0.1976043,-0.44655862,-0.084640935,-0.06605164,0.22747059,0.1367454,0.13255137,-0.012998792,-0.055712894,-0.10704885,-0.12433394,0.019911388,-0.0014985447,0.03011657,-0.05784605,0.0019734812,-0.056467522,0.013010602,-0.09042882,0.00419962,0.0062631043,0.00925701,0.039060634,0.07956984,-0.051682267,-0.034699336,-0.052970715,0.09031741,0.020621616,0.050412223,0.0033320573,0.017984353,-0.08718789,0.042119537,-0.0066695455,0.036085002,-0.020503907,0.0006273689,-0.07034006,-0.062932216,-0.004877867,-0.0030712006,0.017328342,0.027597494,-0.048820056,0.0069303573,-0.02853363,0.010372813,-0.0069537186
mit ai online course,0.74805975,-0.1781901,0.38384005,0.12665245,0.16423137,-0.27227977,0.18503498,0.09354556,0.09878512,-0.13811906,0.0027859036,0.09997412,0.033424824,0.03135069,0.054958157,0.062518984,-0.08511087,0.004881456,0.029194899,0.02914675,-0.013848366,0.02007165,0.0545608,-0.030351155,-0.007081511,-0.049581695,-0.0051617227,0.05472114,-0.00904155,-0.021400956,0.025836868,-0.0039874283,-0.036508176,0.039726555,0.03045833,0.06597046,-0.016443582,-0.05561751,0.018166557,-0.022312464,-0.095939904,-0.0204753,-0.024621965,0.061991367,-0.021557545,-0.035271257,-0.018429015,-0.061507814,-0.013720053,-0.025033334
online machine learning course for engineers,0.7884936,0.15261942,0.1350787,0.008483606,0.27522913,0.22974728,0.020863524,0.18288557,0.11876458,-0.26934657,0.035854872,0.14261444,0.006613015,0.07235904,0.0895829,0.062373925,-0.05614087,0.033458725,-0.016841901,0.008915846,0.01724045,0.11392741,0.02661628,0.009377001,0.009394226,-0.036524493,-0.017563706,-0.00046336383,-0.022308134,-0.0055199633,0.059994884,-0.025273195,-0.025576953,0.00093354087,-0.020952618,0.02397945,0.019063365,0.0069977716,0.07237421,-0.010483698,-0.002112914,-0.008021075,0.013600693,0.00735333,-0.01153163,-0.104173526,0.0014255046,0.058038328,0.037571,0.008270601
professional certificate in machine learning and artificial intelligence,0.80745625,-0.2683607,-0.28211734,-0.092671044,-0.042339966,0.1272794,0.07007714,0.044457875,0.07911496,-0.039165854,-0.12888984,-0.14613147,0.049008112,0.0891738,0.042049788,0.013846962,-0.014969888,-0.069722794,-0.09521029,-0.13663067,0.0087584285,-0.016670108,-0.08912852,-0.024256933,0.09277618,0.041821603,-0.027937045,0.029287998,0.12230142,0.07918909,-0.034491282,-0.009958217,-0.0069986354,-0.048423897,0.0692456,0.0008054878,0.00781962,0.018299168,-0.0050657215,-0.10625152,-0.044217896,-0.048775233,0.02730101,-0.020730754,0.025423527,0.028780518,0.050749153,0.007985607,0.011121335,0.0003789997
advanced machine learning techniques,0.5826689,0.341971,-0.17794523,-0.24861468,0.08936318,-0.12000771,0.030982196,-0.07905619,-0.00066547183,0.11823997,0.09622039,-0.034106106,-0.022123823,-0.3559315,0.1368658,0.23716384,-0.082719564,0.013229111,-0.14713448,-0.13220453,0.21872652,-0.053361315,0.09399267,-0.0010521142,-0.21049945,0.06653573,-0.08928746,0.104139335,0.055019584,-0.004698273,0.067866,0.030169161,-0.04136944,-0.054153368,0.012988088,-0.03966184,0.039697297,-0.03344784,0.02550628,-0.012698272,-0.004496773,0.03295857,0.005126487,-0.011669386,-0.006754085,0.010667476,-0.019747373,0.01346739,-0.0028863726,-0.015332416
scientific computing machine learning,0.57577413,0.37602207,-0.27231687,-0.1106308,0.082311556,-0.097650416,0.06707873,-0.06319073,0.35057414,0.13917226,0.16060874,-0.21334045,0.08048169,0.21017236,-0.13034052,0.09503548,0.06147764,0.020786826,0.0031962593,0.14283505,-0.033028547,0.026714873,0.09904128,0.048248015,0.036264066,0.046167698,-0.12179044,-0.019618455,0.00062496145,0.05018849,-0.022503722,-0.1290728,-0.04277556,-0.025770666,-0.17488213,0.034310166,0.057464976,-0.07431489,-0.042015705,-0.0030697074,-0.030168384,0.035346415,0.0072006523,-0.002326086,-0.013762578,0.000973032,0.022888431,0.020901388,-0.014174184,0.017423684
