Match type,Region,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Cost,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49,Clicks
Phrase,USA,Saturday,1,Dec,0,51,8.999742789830492,8.255840264702947,8.491968843013213,0.0,-0.14436653937431349,35.0,0.453332,2.455562,3.85,0.8422776,-0.04985057,0.2649209,-0.1867974,0.24853526,0.019234536,-0.150059,-0.0691541,-0.14345494,-0.0025332647,-0.039840106,-0.09780824,0.05794658,0.0933873,0.013367359,0.02308125,-0.017391983,0.005116375,-0.038348414,0.020323846,0.070423506,0.0059979125,0.012132453,0.019392492,0.03050973,0.0120262895,0.039352916,0.006491458,-0.07988582,0.0036185666,0.06787559,0.024045527,0.052840006,0.013884922,0.07435617,0.05250271,0.024872702,-0.04806146,-0.051491193,-0.021183627,0.04800757,-0.013041768,0.06696878,0.034091838,-0.009348017,-0.0022032368,0.0062122946,0.015798384,-0.034548204,0.0080854185,1
Broad,A,Tuesday,0,Jul,0,69,4.2626798770413155,4.640323322910606,4.754669991800081,-0.686080013336853,-0.08434116253007427,43.0,3.599217,13.1,1.89,0.48090306,-0.08820285,0.19467038,0.1734449,-0.01948053,0.035979997,-0.35519367,0.37847093,0.1296583,0.48078942,-0.19859469,-0.04945459,0.10828642,-0.14781153,0.01621927,-0.06443818,-0.17731687,0.15141015,0.008922615,0.1050927,-0.05891793,0.037216555,-0.066409186,-0.00028680314,-0.028515888,-0.039413083,-0.02000339,-0.0032135656,0.011157078,0.031146958,0.0014615321,-0.04240802,-0.0046423236,-0.0391692,0.02136089,-0.021846551,-0.016705804,0.025363147,0.05252758,0.0016816685,-0.034783896,0.03149659,0.015909916,0.0061132954,0.025540164,0.00045690214,0.016285278,0.0103827985,-0.03890496,0.049159255,1
Broad,A,Friday,0,Oct,0,101,10.609081944147828,10.94352616532961,11.044110240002302,-0.20066702243502554,-0.07470528041656076,59.0,0.468036,5.53,0.66,0.7264276,-0.0135916,0.37298343,-0.21945202,0.018788368,-0.15092926,-0.021784296,-0.07523839,-0.081968985,0.06971412,0.08545768,-0.12950718,-0.15305132,-0.048875682,-0.117786385,-0.05645082,-0.060943373,-0.036140505,0.019642333,-0.17940384,0.043292314,0.023880204,-0.009785538,0.030756554,0.028198319,-0.13229787,-0.007090437,-0.099196,0.0328495,0.16206399,-0.100433275,-0.037045013,-0.23178153,0.0070173945,0.039399024,-0.028696813,-0.072970144,-0.0037600643,-0.022402931,0.042137433,0.044777706,0.014617592,0.006434366,0.030128844,-0.007911651,-0.043604717,-0.0013193933,0.006926542,-0.0015651267,-0.005424997,1
Phrase,A,Thursday,0,Mar,0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.7884936,0.15261942,0.1350787,0.008483606,0.27522913,0.22974728,0.020863524,0.18288557,0.11876458,-0.26934657,0.035854872,0.14261444,0.006613015,0.07235904,0.0895829,0.062373925,-0.05614087,0.033458725,-0.016841901,0.008915846,0.01724045,0.11392741,0.02661628,0.009377001,0.009394226,-0.036524493,-0.017563706,-0.00046336383,-0.022308134,-0.0055199633,0.059994884,-0.025273195,-0.025576953,0.00093354087,-0.020952618,0.02397945,0.019063365,0.0069977716,0.07237421,-0.010483698,-0.002112914,-0.008021075,0.013600693,0.00735333,-0.01153163,-0.104173526,0.0014255046,0.058038328,0.037571,0.008270601,2
Broad,USA,Tuesday,0,Dec,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.45564032,0.39967892,-0.23868324,-0.19192688,0.05959275,-0.106073976,0.05540392,-0.06572329,0.3868865,0.08367836,0.19078028,-0.26051453,0.22957659,0.098811224,-0.07064229,-0.004070669,0.00015801289,-0.21944284,0.16543877,0.18152589,0.058137543,-0.03043836,0.011398113,0.058252525,-0.10481276,-0.07640702,0.13110569,-0.018937696,0.019612635,0.0025842318,0.03418247,0.14051212,-0.002679584,-0.010392278,0.09279552,-0.015460011,-0.046811324,0.041860666,0.041148983,0.014861507,0.016729666,-0.024367845,0.0037200092,-0.002757076,0.012245361,-0.0021982817,-0.002249363,-0.013229208,0.006255763,-0.012403593,1
Broad,B,Wednesday,0,Feb,0,51,8.999742789830492,8.18378823819379,8.217913627157424,0.20062020316221485,-0.029250333397400043,35.0,0.453332,2.455562,1.67,0.8422776,-0.04985057,0.2649209,-0.1867974,0.24853526,0.019234536,-0.150059,-0.0691541,-0.14345494,-0.0025332647,-0.039840106,-0.09780824,0.05794658,0.0933873,0.013367359,0.02308125,-0.017391983,0.005116375,-0.038348414,0.020323846,0.070423506,0.0059979125,0.012132453,0.019392492,0.03050973,0.0120262895,0.039352916,0.006491458,-0.07988582,0.0036185666,0.06787559,0.024045527,0.052840006,0.013884922,0.07435617,0.05250271,0.024872702,-0.04806146,-0.051491193,-0.021183627,0.04800757,-0.013041768,0.06696878,0.034091838,-0.009348017,-0.0022032368,0.0062122946,0.015798384,-0.034548204,0.0080854185,2
Exact,USA,Monday,0,Jan,0,28,7.550135342488429,7.627970427066036,7.627970427066036,-0.23350525373282416,0.01334315735616103,23.0,0.84256,3.8,2.15,0.58911026,0.20883048,-0.06742632,0.11114917,-0.10091291,-0.46026203,0.030598696,0.21943137,-0.12177875,-0.103350885,0.15735897,-0.012861162,0.027781295,0.108350016,-0.07111979,-0.24607122,0.08876549,0.11094099,-0.19595201,-0.0025435789,-0.02430758,-0.05743899,-0.15989108,0.12575865,-0.068000264,-0.12398544,0.070777826,0.13669658,0.097066015,-0.10121138,0.074267834,-0.018806027,-0.09099528,-0.018764373,-0.045320675,0.03745377,0.0602052,0.031469278,0.0013880363,-0.008929383,0.013005738,-0.035716765,-0.009047867,-0.0018672615,0.013594388,0.011635922,-0.0120002525,0.02867387,-0.008058552,0.0035680917,1
Exact,A,Thursday,0,Jun,0,81,5.968707559985366,6.3818160174060985,6.3474912261893754,0.0,0.0294212496143336,56.0,0.553822,5.52,0.86,0.61798954,-0.22380513,-0.29543534,-0.01963779,-0.192999,0.16603734,0.15766816,-0.061627988,-0.22577348,-0.03251699,0.15267983,0.10766978,0.33710796,-0.12046272,-0.2167967,0.11675302,0.08147665,0.13899212,0.20825797,-0.07631158,-0.046601206,0.021875413,-0.10094031,-0.011720003,-0.0522126,0.011072945,0.0020748372,0.0048210183,0.03547169,-0.011018051,0.011068683,-0.021566939,0.029301902,-0.037311036,-0.0056193117,0.008229918,-0.017201515,0.016965376,-0.031209527,0.009366242,0.030290537,0.058191027,0.0017941742,-0.009932529,0.055133026,-0.06553922,0.030190015,0.022990646,-0.013820173,-0.028264003,1
Broad,B,Wednesday,0,Dec,0,61,10.609081944147828,10.675970679556194,10.843192926182072,0.0,-0.09746665290617178,59.0,0.468036,5.53,3.53,0.7264276,-0.0135916,0.37298343,-0.21945202,0.018788368,-0.15092926,-0.021784296,-0.07523839,-0.081968985,0.06971412,0.08545768,-0.12950718,-0.15305132,-0.048875682,-0.117786385,-0.05645082,-0.060943373,-0.036140505,0.019642333,-0.17940384,0.043292314,0.023880204,-0.009785538,0.030756554,0.028198319,-0.13229787,-0.007090437,-0.099196,0.0328495,0.16206399,-0.100433275,-0.037045013,-0.23178153,0.0070173945,0.039399024,-0.028696813,-0.072970144,-0.0037600643,-0.022402931,0.042137433,0.044777706,0.014617592,0.006434366,0.030128844,-0.007911651,-0.043604717,-0.0013193933,0.006926542,-0.0015651267,-0.005424997,7
Exact,B,Thursday,0,Jul,0,81,10.809748150372926,10.541827553561605,10.541644725972676,0.0,-0.01137261473855666,66.0,0.527687,5.498622,1.44,0.7557319,-0.15936254,0.3859555,0.053041577,0.3125912,0.014231652,0.15231602,0.028169086,0.1370806,-0.12119023,0.02616198,-0.043045,-0.050391898,0.07776287,-0.015263765,0.10850171,-0.017088184,0.04905531,-0.011303119,-0.034591135,-0.040281165,-0.006206679,-0.05037119,-0.037611604,-0.04952378,0.02371219,0.08423765,0.12937942,0.03356076,0.05556525,-0.040388267,-0.048092317,0.029394913,0.036997885,-0.020720506,0.0037327695,-0.06857226,0.019874485,0.003577804,0.052809533,-0.07598825,0.04757842,-0.018029328,-0.048942327,0.06968591,0.025683705,-0.03661839,0.0002540525,0.01791037,0.0051530376,2
