Location report
All time
Location,Campaign,Bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Poland,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,545,"51,031",1.07%,USD,0.31,167.49,1.83%,10.00,16.75
Costa Rica,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,331,"13,945",2.37%,USD,0.42,138.18,2.42%,8.00,17.27
Bahrain,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,128,"20,489",0.62%,USD,0.34,43.60,3.91%,5.00,8.72
China,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,"8,987","1,517,794",0.59%,USD,0.15,1374.75,0.66%,59.00,23.30
Ecuador,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,"1,157","44,354",2.61%,USD,0.33,377.41,3.54%,41.00,9.21
Singapore,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,355,"19,363",1.83%,USD,0.56,197.52,3.66%,13.00,15.19
Argentina,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,"2,605","250,481",1.04%,USD,0.30,775.60,2.11%,55.00,14.10
Panama,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,197,"9,003",2.19%,USD,0.38,75.51,1.02%,2.00,37.75
Thailand,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,"2,358","235,363",1.00%,USD,0.24,569.22,1.10%,26.00,21.89
Ghana,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,"8,562","889,476",0.96%,USD,0.33,2824.67,1.52%,130.04,21.72
Mexico,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,"2,481","109,393",2.27%,USD,0.31,762.81,1.49%,37.00,20.62
Croatia,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,320,"18,829",1.70%,USD,0.28,89.35,1.56%,5.00,17.87
Hong Kong,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,307,"30,503",1.01%,USD,0.52,158.27,1.30%,4.00,39.57
Chile,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,913,"35,777",2.55%,USD,0.44,402.85,2.85%,26.00,15.49
