Match type,Region,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Cost,llm_relevance_score,Clicks
Exact match,A,Sunday,1,Feb,0,1,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,21.0,0.0,0.0,5.13,5,2
Exact match,A,Wednesday,0,Aug,0,54,2.3978952727983707,2.613437661106721,2.721208855260897,0.0,-0.12932543298501084,63.0,2.97,11.89,12.62,4,2
Phrase match,USA,Wednesday,0,Jul,0,68,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,21.0,0.0,0.0,31.34,5,5
Exact match,C,Tuesday,0,Jan,0,90,3.713572066704308,4.384071780184503,4.546800990748419,-0.579033873792524,-0.1281295693521855,82.0,2.83,8.0,10.15,4,3
Phrase match,A,Tuesday,0,Aug,0,55,5.968707559985366,6.313166434972653,6.346303621619128,0.2059487473003374,0.006087839277766371,33.0,2.37,7.22,1.31,4,1
Broad match,B,Friday,0,Mar,0,24,2.3978952727983707,2.828980049415072,2.9367512435692475,0.0,-0.018475061855001324,45.0,0.0,0.0,0.68,4,1
Exact match,B,Friday,0,Sep,0,10,5.351858133476067,5.351858133476067,5.492676056367267,0.0,-0.0724206460583314,46.0,2.69,10.75,0.07,4,1
Exact match,A,Wednesday,0,Mar,0,26,3.713572066704308,4.577083071448678,4.5357197998694225,-0.19867069479548416,0.009919928538160878,82.0,2.83,8.0,1.69,4,1
Exact match,B,Friday,0,Oct,0,101,2.3978952727983707,3.267538980717051,3.156030709220237,0.0,0.019115703685168444,53.0,3.32,14.88,0.89,5,1
Exact match,B,Sunday,1,Aug,0,50,5.968707559985366,5.771441123130015,5.870074341557692,0.0,-0.05072565519137573,33.0,2.37,7.22,0.43,4,1
Phrase match,A,Monday,0,Feb,0,63,3.713572066704308,4.0691755293477705,4.0691755293477705,1.0768723020317035,-0.047353867003209565,49.0,4.48,21.42,2.44,5,1
Phrase match,A,Wednesday,0,Nov,0,82,6.175867270105761,6.58063913728495,6.514364763991998,0.0,0.04544528454373747,25.0,2.59,12.46,1.46,4,1
Phrase match,B,Thursday,0,Jun,0,109,4.709530201312334,4.937159176790362,4.724009341653606,0.4030982430978982,0.15767697961085814,53.0,2.72,8.25,0.77,5,1
Exact match,USA,Thursday,0,Jun,0,95,3.9318256327243257,4.124836923988501,4.3752881099206995,0.0,-0.161891116981847,75.0,2.4,9.08,14.38,5,1
Broad match,USA,Thursday,0,Nov,1,130,5.968707559985366,7.450019383680012,6.610730253405014,1.0113358354675173,0.6044078560590708,33.0,2.37,7.22,3.01,4,1
Broad match,USA,Monday,0,Nov,0,68,6.3818160174060985,6.58063913728495,6.547501950638473,0.0,0.01704198170390161,73.0,4.2,46.65,9.56,5,1
Phrase match,A,Tuesday,0,Jul,0,76,5.771441123130016,6.313166434972653,6.244315025402531,-0.2059487473003374,0.035409296350348236,27.0,6.37,37.94,31.41,4,11
Broad match,B,Wednesday,0,Feb,0,54,4.2626798770413155,4.494356528290166,4.71383720551061,0.44685032427101845,-0.09050009908937265,8.0,1.65,10.94,7.11,3,3
Broad match,USA,Sunday,1,Feb,0,64,3.713572066704308,4.235121672094164,4.472325936703249,0.33085424431698973,-0.13617245776898862,82.0,2.83,8.0,3.66,4,1
Phrase match,USA,Wednesday,0,Sep,0,12,4.2626798770413155,3.6931283013045935,3.6282175068443063,0.2795848622191617,0.07161410166419821,54.0,2.53,9.11,15.63,5,3
Phrase match,B,Wednesday,0,Jul,0,68,3.044522437723423,3.5271821585581997,3.573779635594727,0.2795848622191617,0.007988138920547503,61.0,3.04,7.02,1.42,4,1
Phrase match,USA,Tuesday,0,Jul,0,76,3.4339872044851463,4.152395128935653,4.060877160546151,-0.33085424431698973,0.009254470106944683,44.0,1.66,5.35,1.51,4,1
Phrase match,A,Friday,0,Jul,0,73,3.9318256327243257,4.709530201312334,4.829145045845251,0.0,-0.061516205759786106,77.0,2.84,9.17,5.27,4,4
Exact match,USA,Saturday,1,Jul,0,86,2.3978952727983707,3.044522437723423,2.828980049415072,0.0,0.1478004948400118,21.0,0.0,0.0,15.41,5,1
Phrase match,B,Saturday,1,Aug,0,37,3.9318256327243257,4.1248369239885,4.047098058072575,0.579033873792524,0.054161681298221125,32.0,4.39,14.7,18.75,4,17
Phrase match,A,Thursday,0,Jan,0,25,5.351858133476067,5.351858133476067,5.351858133476067,0.0,-2.3952390736185767e-16,46.0,2.69,10.75,1.07,4,1
Broad match,C,Thursday,0,Mar,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83,4,13
Phrase match,A,Monday,0,Jul,0,70,2.3978952727983707,2.3978952727983707,2.505666466952546,0.0,-0.018475061855001446,14.0,0.0,0.0,2.58,4,1
Exact match,USA,Sunday,1,Aug,0,36,5.351858133476067,5.421654271036249,5.4576436268716995,0.6297775666273555,0.017619489198942982,46.0,2.69,10.75,20.81,4,3
Phrase match,A,Wednesday,0,Jan,0,33,4.948759890378168,4.656826301137289,4.723049866069118,0.0,-0.05908071247130106,68.0,5.32,17.99,2.45,4,1
Phrase match,USA,Wednesday,0,Aug,0,54,2.3978952727983707,2.613437661106721,2.505666466952546,0.0,0.018475061855001324,63.0,2.97,11.89,16.52,4,1
Broad match,A,Monday,0,Jan,0,28,3.9318256327243257,4.345406420199827,4.428132963358338,-0.2481796294755343,-0.04254507933866292,61.0,2.59,7.15,7.28,4,1
Phrase match,USA,Tuesday,0,Dec,0,97,5.771441123130016,6.55508706223531,6.500401121896932,-0.4047718671791882,0.009374732629436583,76.0,4.02,14.77,13.93,5,6
Broad match,A,Thursday,0,Jul,0,60,2.3978952727983707,3.1247477810820397,3.491911112566514,-0.6466271649250523,-0.28895165196035644,1.0,0.0,0.0,13.71,3,5
Broad match,A,Tuesday,0,Dec,0,60,3.9318256327243257,5.013061112419666,5.013061112419666,0.0,3.592858610427865e-16,77.0,2.84,9.17,2.36,4,2
Broad match,A,Monday,0,Jul,0,70,3.9318256327243257,4.643306636380506,4.546800990748419,0.19867069479548416,0.09407173595867388,61.0,2.59,7.15,1.82,4,1
Broad match,B,Monday,0,Sep,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,4,5
Broad match,B,Thursday,0,Jun,0,88,5.968707559985366,5.9029520810335825,5.9029520810335825,-0.19726643685535006,3.592858610427865e-16,33.0,2.37,7.22,0.78,4,2
Broad match,A,Wednesday,0,Jan,0,19,6.78105762593618,6.823623343729193,6.790220262287321,0.0,0.02863121266446092,9.0,4.09,16.17,3.39,3,1
Broad match,A,Tuesday,0,Jul,0,69,4.948759890378168,5.147427193452298,5.179577804473047,-0.21019457697340638,-0.005511533317842834,3.0,3.07,8.06,3.88,3,2
Broad match,A,Sunday,1,Dec,1,43,4.948759890378168,5.077362334461163,5.109512945481911,0.0,-0.005511533317842715,59.0,4.24,23.27,0.78,5,1
Broad match,C,Tuesday,0,Dec,0,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93,4,6
Broad match,B,Wednesday,0,Mar,0,33,10.407318772389159,10.007892611890918,10.007892611890918,0.0,4.790478147237153e-16,8.0,2.64,9.19,4.64,5,5
Phrase match,A,Tuesday,0,Aug,0,55,5.351858133476067,5.281793274484932,5.35226941628827,0.21019457697340638,-0.03624487292743162,46.0,2.69,10.75,6.03,4,2
Phrase match,C,Monday,0,Sep,0,21,3.9318256327243257,4.494356528290166,4.641814979645556,0.2481796294755343,-0.1008586540605613,77.0,2.84,9.17,7.22,4,11
Phrase match,A,Sunday,1,Jun,0,92,5.351858133476067,5.493632982707151,5.520839640945507,-0.21266227384662706,-0.06265037054612699,46.0,2.69,10.75,1.24,4,1
Broad match,A,Friday,0,Dec,0,122,3.713572066704308,4.643306636380506,4.748440644711473,-0.19867069479548416,-0.09011486428368755,82.0,2.83,8.0,2.35,4,2
Phrase match,A,Friday,0,Dec,0,108,3.9318256327243257,5.551955542013708,5.1706144865073265,-0.8549902060103598,0.11422933557311486,77.0,2.84,9.17,1.13,4,2
Broad match,USA,Thursday,0,Aug,0,39,2.3978952727983707,2.613437661106721,2.721208855260896,-0.6466271649250523,-0.018475061855001387,46.0,2.58,5.22,11.62,5,8
Phrase match,USA,Thursday,0,Jul,0,60,4.948759890378168,5.6973356055304825,5.6654147923944755,0.6168494265092992,0.01586474510126252,71.0,2.97,9.15,6.86,5,1
Broad match,USA,Saturday,1,Dec,0,107,3.044522437723423,3.3973605696376254,3.285852298140812,0.2795848622191617,0.0955785184258406,78.0,2.95,8.71,30.28,5,3
Phrase match,USA,Sunday,1,Aug,0,43,3.713572066704308,3.1247477810820397,3.2144566983233056,1.533930359925955,0.004567025133114442,65.0,3.9,11.4,17.03,5,1
Phrase match,A,Tuesday,0,Dec,0,125,5.968707559985366,8.120752541377092,6.946096832253553,-1.0113358354675173,0.604108650406391,33.0,2.37,7.22,1.64,4,1
Exact match,USA,Monday,0,Mar,0,14,3.4339872044851463,5.001460398831859,5.074443796142078,-0.6308040499858105,-0.09661444965003947,82.0,4.15,11.06,7.22,4,1
Broad match,C,Sunday,1,Dec,0,57,2.3978952727983707,2.613437661106721,2.505666466952546,0.0,0.018475061855001324,32.0,2.95,8.48,0.8,3,2
Broad match,USA,Sunday,1,Dec,1,43,3.9318256327243257,4.411629985131655,4.461244745824252,0.0,-0.05105046688596562,75.0,2.4,9.08,15.57,5,3
Broad match,USA,Wednesday,0,Sep,0,19,6.175867270105761,6.372844132037366,6.274153873934886,1.4096761530113486,0.11897408316390112,13.0,4.9,10.81,8.18,3,1
Exact match,C,Tuesday,0,Mar,0,13,3.713572066704308,4.152395128935652,4.397850882658079,0.0,-0.1186810419417333,82.0,2.83,8.0,2.74,4,3
Broad match,USA,Monday,0,Feb,0,0,3.044522437723423,3.786323255377647,3.7482706753574253,0.0,0.05445213295532304,50.0,3.75,9.14,74.5,4,13
Broad match,USA,Saturday,1,Dec,0,58,4.2626798770413155,4.428132963358338,4.5357197998694225,-0.2481796294755343,-0.0695120661757306,78.0,3.78,19.19,39.36,5,3
Broad match,B,Monday,0,Nov,0,154,3.9318256327243257,4.774689403943238,4.408399892386614,0.6423279321637327,0.23171026377870754,75.0,2.4,9.08,8.25,5,11
Broad match,B,Monday,0,Dec,0,49,2.3978952727983707,2.3978952727983707,2.786119649721184,0.0,-0.17740312145963388,24.0,0.0,0.0,0.19,3,1
Broad match,B,Tuesday,0,Dec,0,55,10.407318772389159,10.007892611890918,9.973864253966857,0.0,0.017500298360945146,8.0,2.64,9.19,7.27,5,7
Broad match,B,Sunday,1,Oct,0,104,3.4339872044851463,5.077362334461163,5.077362334461163,0.0,1.1976195368092883e-16,82.0,4.15,11.06,5.59,4,3
Broad match,A,Monday,0,Apr,0,7,4.709530201312334,4.577083071448678,4.5026080174035075,-0.19867069479548416,0.024119763253199568,15.0,4.08,18.8,2.75,2,2
Broad match,A,Sunday,1,Jul,0,57,6.3818160174060985,6.448090390699048,6.481227577345524,-0.19882311987885082,-0.028403302839835855,73.0,4.2,46.65,11.85,5,6
Broad match,USA,Monday,0,Jan,0,26,7.3783837129967145,7.083510578780076,6.974849820151142,-0.26213369919728446,0.048200587533837776,12.0,1.27,8.12,17.81,3,3
Phrase match,B,Monday,0,Aug,0,35,5.771441123130016,6.241737989125359,6.174276011262161,0.4047718671791882,0.05782455245416977,76.0,4.02,14.77,0.79,5,2
Broad match,USA,Monday,0,Jun,0,91,6.580639137284949,6.448090390699048,6.421580641381868,0.0,-4.864753555590496e-16,2.0,1.7,5.0,4.58,3,2
Broad match,C,Sunday,1,Jul,0,71,3.044522437723423,3.1743440266439973,3.3973605696376254,0.38946476676172326,-0.07646281474067233,78.0,2.95,8.71,0.24,5,2
Broad match,USA,Tuesday,0,Jul,0,83,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,0.0,0.0,0.0,8.24,4,1
Phrase match,A,Sunday,1,Aug,0,36,5.968707559985366,6.244516852539206,6.040896559696016,0.2059487473003374,0.1514216140384076,50.0,4.64,49.99,1.42,4,1
Phrase match,C,Thursday,0,Jul,0,67,5.968707559985366,5.837196602081799,5.9029520810335825,0.0,-0.045089471281223016,33.0,2.37,7.22,1.26,4,3
Broad match,USA,Monday,0,Mar,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.24,4,2
Broad match,USA,Wednesday,0,Nov,0,75,5.968707559985366,5.9029520810335825,5.837196602081799,0.19726643685535006,0.03381710346091699,22.0,2.37,9.89,3.15,4,1
Broad match,USA,Sunday,1,Jan,1,36,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,63.0,2.97,11.89,14.06,4,2
Broad match,A,Thursday,0,Oct,0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53,4,2
Broad match,C,Thursday,0,Oct,0,102,2.3978952727983707,2.613437661106721,2.505666466952546,0.6466271649250523,0.09237530927500741,50.0,2.96,10.95,0.91,5,1
Exact match,USA,Thursday,0,Jul,0,88,2.3978952727983707,3.044522437723423,2.828980049415072,0.0,0.07390024742000602,53.0,3.32,14.88,17.82,5,1
Exact match,USA,Friday,0,Jul,0,73,5.771441123130016,5.968707559985366,6.003234178338765,0.0,-0.029594244302913988,14.0,2.48,9.22,31.38,5,2
Phrase match,C,Tuesday,0,Jan,0,76,5.968707559985366,7.829123935741748,7.135649108284421,-0.8748858169060325,0.3638429295904927,33.0,2.37,7.22,0.26,4,1
Broad match,B,Saturday,1,Jan,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12,5,16
Broad match,A,Monday,0,Aug,0,28,3.044522437723423,3.3973605696376254,3.591841912507636,0.38946476676172326,-0.10352362183024243,78.0,2.95,8.71,0.87,5,1
Broad match,USA,Friday,0,Nov,0,71,4.2626798770413155,4.933317882731054,4.861295656866,0.43213335519032636,0.03439280056252253,8.0,1.65,10.94,9.49,3,2
Broad match,A,Tuesday,0,Mar,0,20,2.3978952727983707,3.1743440266439973,2.893890843875359,0.38946476676172326,0.20343831866311513,30.0,3.38,9.12,0.91,5,1
Broad match,USA,Sunday,1,Sep,0,1,10.407318772389159,10.007892611890918,10.007892611890918,0.0,4.790478147237153e-16,8.0,2.64,9.19,530.48,4,97
Broad match,A,Monday,0,Jan,0,14,4.51085950651685,4.428132963358338,4.5357197998694225,-0.2481796294755343,-0.0695120661757306,84.0,1.21,32.23,1.98,5,1
Broad match,A,Monday,0,Feb,0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.61,4,5
Phrase match,B,Tuesday,0,Apr,0,6,4.948759890378168,4.789273431000946,4.723049866069117,0.0,-0.00463531363089742,68.0,5.32,17.99,2.94,4,1
Broad match,A,Wednesday,0,Jan,0,12,3.044522437723423,2.8289800494150725,2.9367512435692475,-0.6466271649250523,-0.09237530927500746,49.0,2.51,15.17,32.06,4,13
Exact match,A,Saturday,1,Oct,0,163,2.3978952727983707,2.3978952727983707,2.678348455567009,0.0,-0.18118318913387402,45.0,0.0,0.0,3.28,4,1
Phrase match,USA,Wednesday,0,Jul,0,61,3.9318256327243257,3.9318256327243257,3.9142168181038186,0.0,0.009055961804832143,32.0,4.39,14.7,73.86,4,17
Exact match,USA,Wednesday,0,Aug,0,26,3.713572066704308,4.853574653042442,4.71532886224556,-0.43213335519032636,0.08245044639813875,82.0,2.83,8.0,10.04,4,1
Exact match,A,Wednesday,0,Aug,0,47,3.044522437723423,3.7863232553776474,4.024501566209482,0.21825356602001778,-0.11002007036951368,53.0,4.25,18.02,0.08,5,1
Exact match,USA,Thursday,0,Aug,0,25,3.713572066704308,3.8733910662370765,3.523867546440537,1.707676352017514,0.2995915883970337,49.0,4.48,21.42,6.91,5,1
Exact match,A,Saturday,1,Nov,0,142,3.713572066704308,4.709530201312334,4.781552427177387,0.0,-0.037040001873456206,82.0,2.83,8.0,1.85,4,1
Broad match,C,Tuesday,0,Dec,0,48,5.771441123130016,5.9029520810335825,6.039409675569671,-0.19726643685535006,-0.08145055929600893,76.0,4.02,14.77,3.04,5,7
Broad match,USA,Tuesday,0,Aug,0,41,3.9318256327243257,4.51085950651685,4.510859506516851,0.0,0.0,75.0,2.4,9.08,19.98,5,4
Broad match,A,Thursday,0,Dec,0,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,4,2
Broad match,USA,Wednesday,0,Dec,0,59,5.771441123130016,6.037760796692164,5.902991913419094,0.20715971012039525,0.0698750412984386,71.0,4.48,23.06,32.11,5,8
Phrase match,B,Tuesday,0,Dec,0,118,3.9318256327243257,3.96935919215665,4.143603703704662,0.21825356602001778,-0.07542976996894742,32.0,4.39,14.7,5.81,4,6
Broad match,A,Monday,0,Mar,0,21,2.3978952727983707,2.7432592500272954,2.5705772614128333,-1.0360919316867756,0.08880787985886637,45.0,0.0,0.0,3.08,4,1
Phrase match,A,Saturday,1,Jun,0,100,3.9318256327243257,4.789273431000946,4.7960332633793366,0.0,0.007876125907997663,77.0,2.84,9.17,18.0,4,7
Exact match,A,Friday,0,Sep,0,3,5.351858133476067,5.491719130027383,5.457232344059496,0.41958298965394913,0.02956010225818862,46.0,2.69,10.75,0.35,4,1
Phrase match,USA,Wednesday,0,Aug,0,40,6.580639137284949,6.175463615832409,6.175665442969084,0.2059487473003374,0.02350240075375095,50.0,2.28,8.31,3.4,5,2
Broad match,A,Tuesday,0,Dec,0,60,3.713572066704308,4.428132963358338,4.428132963358338,-0.2481796294755343,1.1976195368092883e-16,72.0,3.28,16.4,0.63,5,1
Broad match,USA,Friday,0,Aug,0,38,4.709530201312334,4.345406420199827,4.345406420199827,-0.2481796294755343,0.014181693112887517,18.0,2.13,5.94,5.24,4,1
Broad match,C,Thursday,0,Dec,0,60,3.713572066704308,2.613437661106721,3.0053991153721733,0.0,-0.25450657803047344,49.0,4.48,21.42,3.96,5,8
Broad match,USA,Thursday,0,Dec,0,37,5.771441123130016,5.9029520810335825,5.970356438862873,-0.19726643685535006,-0.034099768411347244,14.0,2.48,9.22,12.24,5,1
Broad match,USA,Monday,0,Mar,0,21,3.4339872044851463,4.345406420199827,4.428132963358338,-0.2481796294755343,-0.04254507933866292,75.0,3.43,9.31,33.02,4,5
Phrase match,A,Thursday,0,Jul,0,60,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,21.0,0.0,0.0,9.48,5,6
Exact match,USA,Sunday,1,Jun,0,106,5.351858133476067,5.422745558091609,5.422199914563929,0.0,0.00013960542148012768,46.0,2.69,10.75,47.0,4,1
Phrase match,B,Monday,0,Jul,0,56,5.771441123130016,6.037760796692164,6.141138824615685,0.20715971012039525,-0.05309664505666482,76.0,4.02,14.77,5.19,5,7
Phrase match,B,Thursday,0,Aug,0,32,5.351858133476067,5.351858133476067,5.387301845783838,0.0,-0.018228194901139725,46.0,2.69,10.75,1.21,4,1
Broad match,B,Wednesday,0,Jul,0,68,3.713572066704308,4.853574653042442,4.715328862245561,0.43213335519032636,0.0844385587181019,82.0,2.83,8.0,0.59,4,1
Broad match,A,Saturday,1,Sep,0,16,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,0.0,0.0,0.0,3.62,3,1
Exact match,B,Wednesday,0,Aug,0,40,2.3978952727983707,2.613437661106721,2.786119649721184,-0.6466271649250523,-0.12575800356886938,45.0,0.0,0.0,5.22,4,1
Broad match,A,Monday,0,Nov,0,154,2.3978952727983707,2.613437661106721,2.613437661106721,-0.6466271649250523,0.0,46.0,2.58,5.22,10.05,5,4
Exact match,USA,Wednesday,0,Jul,0,89,3.044522437723423,3.3041656155645724,3.066572832489822,0.38946476676172326,0.1591406978627313,47.0,3.79,12.29,69.03,5,1
Broad match,USA,Sunday,1,Mar,0,15,6.78105762593618,7.309218634835311,7.468594530950674,-0.2074952344842096,-0.09382161711557005,16.0,3.31,15.37,7.92,3,1
Phrase match,C,Tuesday,0,Jul,0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,5,10
Phrase match,A,Friday,0,Aug,0,45,4.948759890378168,4.2626798770413155,4.337154931086485,0.0,-0.012767152122028868,17.0,5.22,34.91,52.23,4,18
Phrase match,A,Tuesday,0,Dec,0,41,5.771441123130016,5.97200531774038,5.973452369481212,-0.19726643685535006,0.01102430180759157,23.0,4.71,15.24,4.0,3,3
Phrase match,A,Thursday,0,Aug,0,53,3.9318256327243257,3.8590744440509863,4.00573478649332,0.21825356602001778,-0.07542531897034298,32.0,4.39,14.7,17.63,4,9
Phrase match,A,Thursday,0,Dec,0,123,3.9318256327243257,3.96935919215665,4.143603703704662,0.21825356602001778,-0.07542976996894742,32.0,4.39,14.7,13.97,4,7
Phrase match,A,Friday,0,Mar,0,17,6.175867270105761,6.244516852539207,6.379440808265603,-0.2059487473003374,-0.08075078408093794,25.0,2.59,12.46,7.09,4,4
Phrase match,A,Thursday,0,Aug,0,46,5.14166355650266,5.702467551194242,5.735345290670135,-0.20692071580732208,-0.005636183910152712,27.0,4.31,18.99,5.21,4,3
Broad match,B,Friday,0,Mar,0,10,5.968707559985366,6.175867270105761,6.072287415045564,0.0,0.05326963974524453,22.0,2.37,9.89,1.61,4,2
Exact match,USA,Thursday,0,Aug,0,32,5.351858133476067,5.281793274484932,5.35226941628827,0.21019457697340638,-0.03624487292743162,46.0,2.69,10.75,43.96,4,2
Phrase match,A,Thursday,0,Jan,0,25,3.044522437723423,2.8289800494150725,2.9367512435692475,-0.6466271649250523,-0.09237530927500746,49.0,2.51,15.17,1.34,4,1
Broad match,C,Thursday,0,Oct,0,95,2.3978952727983707,2.613437661106721,2.505666466952546,-0.6466271649250523,0.055425185565004455,46.0,2.58,5.22,0.88,5,1
Broad match,USA,Thursday,0,Jan,0,25,6.3818160174060985,6.3818160174060985,6.448090390699048,0.0,-0.022722642271868373,73.0,4.2,46.65,13.07,5,4
Broad match,C,Tuesday,0,Aug,0,48,3.9318256327243257,4.042110380829989,4.235121672094164,0.0,-0.1323505997240056,75.0,2.4,9.08,32.82,5,55
Broad match,A,Thursday,0,Jun,0,109,4.948759890378168,5.422745558091609,5.320118805267522,0.0,0.06366152826674625,71.0,2.97,9.15,30.14,5,12
Phrase match,USA,Thursday,0,Dec,0,46,5.968707559985366,6.866189061522206,6.9748498201511415,-0.12769715337904053,-0.06317965605939764,56.0,6.54,35.41,3.35,4,1
Exact match,A,Saturday,1,Dec,0,63,3.713572066704308,4.494356528290166,4.5755914147137275,0.2481796294755343,-0.02810767364264113,82.0,2.83,8.0,1.29,4,1
Exact match,C,Monday,0,Nov,0,70,5.771441123130016,5.837196602081799,5.9029520810335825,0.0,-0.045089471281223016,14.0,2.48,9.22,1.54,5,2
Broad match,A,Wednesday,0,Jun,0,96,4.948759890378168,4.948759890378168,4.853068014751836,0.0,0.07176890671975045,59.0,4.24,23.27,4.99,5,3
Broad match,USA,Monday,0,Aug,0,35,3.713572066704308,4.853574653042442,4.71532886224556,-0.43213335519032636,0.08245044639813875,82.0,2.83,8.0,15.42,4,3
Exact match,USA,Saturday,1,Aug,0,44,3.9318256327243257,3.6931283013045935,3.9641249866993786,0.2795848622191617,-0.1707473130794327,75.0,2.4,9.08,1.21,5,1
Broad match,USA,Sunday,1,Mar,0,22,4.948759890378168,4.51085950651685,4.543971288982764,0.0,-0.028381527827926085,36.0,3.26,10.76,31.79,3,7
Broad match,A,Thursday,0,Jul,0,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,4,1
Phrase match,B,Wednesday,0,Dec,0,124,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,21.0,0.0,0.0,1.58,5,2
Exact match,C,Monday,0,Sep,0,14,4.709530201312334,4.152395128935653,4.331627317726251,-0.33085424431698973,-0.11108251105327882,53.0,2.72,8.25,1.68,5,2
Phrase match,A,Saturday,1,Apr,0,2,2.3978952727983707,2.613437661106721,2.505666466952546,0.6466271649250523,0.09237530927500741,21.0,0.0,0.0,2.37,5,2
Phrase match,USA,Friday,0,Jan,0,94,5.771441123130016,5.837196602081799,5.9029520810335825,0.0,-0.045089471281223016,14.0,2.48,9.22,10.62,5,1
Exact match,C,Wednesday,0,Jul,0,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,5,1
Broad match,B,Thursday,0,Dec,0,46,6.78105762593618,6.866189061522206,6.790220262287321,-0.12769715337904053,0.0317726879848529,9.0,4.09,16.17,5.02,3,6
Phrase match,A,Saturday,1,Dec,0,100,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,21.0,0.0,0.0,0.67,5,1
Broad match,A,Monday,0,Apr,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45,4,5
