Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49
aerospace industry,0.49462312,0.2514296,-0.68810195,0.052451197,-0.08207861,-0.08247146,-0.19020726,-0.03793605,0.038468774,0.04879286,0.035925206,-0.07545374,0.2513438,0.14575177,-0.01596345,-0.1001496,-0.00076793105,-0.037921987,0.049536604,-0.09031394,-0.015814899,0.02740697,0.07431587,0.07321399,-0.0767354,-0.056818053,0.00019895135,-0.032832198,-0.05814386,-0.037099067,0.013909798,0.0068956306,0.054126486,0.017436018,-0.044611398,-0.058238566,0.012811565,0.0105041275,0.0038405214,-0.02435759,-0.04026274,-0.0023303167,0.013253278,0.032995794,-0.01605277,-0.03808976,-0.02757413,0.053754956,0.022840438,0.04239687
embedded computing,0.45567307,0.30096984,-0.03991513,0.19452742,-0.13135715,0.25564238,-0.31822783,0.34327036,0.24709728,-0.040711083,-0.20210028,0.32998332,0.011392148,-0.16014408,-0.046416078,-0.03501346,0.06695252,-0.11962275,-0.12946376,-0.083330646,-0.13341877,-0.022005256,-0.09428891,-0.021727728,-0.040393025,0.023451157,0.064487696,0.070592806,0.038396038,0.021627078,-0.084038645,-0.030859878,-0.012146745,0.040781144,-0.04519553,-0.019293038,0.010024568,-0.07740218,0.007355628,-0.03766068,-0.02221543,0.06598595,0.005726372,-0.056673825,0.009448299,0.048020545,-0.018391553,0.0012635421,0.07003552,0.009109925
it architecture,0.55811334,0.31925255,0.16474496,0.20865622,-0.41950867,0.20171666,-0.17477503,-0.0010205165,0.047636427,-0.0057507167,-0.15942383,-0.14105108,0.017954802,0.097468026,-0.05684961,0.14484596,0.16426069,-0.016672812,0.08520645,0.01991175,0.028610032,-0.0390335,0.14671738,-0.0509822,0.06569369,-0.045175444,0.07435803,0.006062506,0.10895617,-0.11088432,0.012077027,-0.19180024,-0.0002595925,-0.0006726815,0.0040978235,-0.069590956,-0.05893278,0.090258926,-0.12342924,-0.036680344,-0.056335356,-0.030361207,-0.00083277805,-0.07179138,0.017845277,-0.052568603,-0.013563625,-0.06230678,0.035270464,-0.043910153
cloud application architecture,0.30288205,0.22541256,0.127663,0.11255981,-0.31354922,0.27025884,-0.27808514,-0.13091353,0.039853342,-0.0801055,-0.26050857,-0.1079964,-0.1497597,0.2025,0.010049457,0.26459426,-0.010019171,0.09198397,-0.07406993,-0.36101827,-0.020590264,0.085192785,-0.23013534,0.15173718,-0.20623286,0.10659943,0.08729979,0.010888069,-0.01281684,0.034218118,0.016223585,0.029480416,-0.019217053,0.0012307274,0.05867949,-0.13319436,0.0009635182,0.03893767,0.05826136,0.053038355,0.010020819,-0.06634349,0.0627444,-0.08940526,-0.014021357,-0.017265424,0.0048580267,-0.044301618,-0.0320433,-0.014529799
information systems masters degree,0.6905133,-0.10829747,0.2929454,0.17537722,-0.38015422,-0.15154049,-0.036552917,-0.18519193,-0.04730309,0.08830852,0.23362438,0.06718573,-0.1733192,-0.0838387,0.045760173,-0.1044522,-0.016201869,0.015418095,-0.14739493,-0.0231995,0.14513311,-0.056638237,-0.04901144,0.036218785,-0.006404134,0.045660798,-0.02530081,-0.03332694,-0.0024570704,-0.031350538,-0.024605758,-0.0014519667,0.0475712,0.032369513,0.001780755,-0.041422118,-0.0033590018,-0.009564902,-0.047761783,-0.008171979,-0.019655665,-0.04682788,-0.04448624,0.03957369,-0.018048342,0.033423703,-0.029403323,0.017612712,-0.0019932215,-0.011101989
geographic information system course,0.5928703,-0.20520853,0.17312156,0.20313016,-0.073754646,-0.11674845,0.23427203,-0.08870334,0.14420602,0.05216833,-0.2796464,0.06682563,-0.119124874,0.06406965,0.12819636,-0.053928655,-0.021538671,0.09324762,-0.0029244465,-0.040493038,0.025972288,0.03488662,0.0388204,0.13935363,0.22955468,0.14130467,-0.18883161,0.0032906013,-0.07070771,0.030638058,0.07153223,-0.048641615,0.15581411,0.08446883,0.12434021,0.025472606,-0.07282039,-0.036760088,-0.0035919447,-0.076158196,0.030231874,0.15185818,0.04208291,0.04572315,0.13416338,-0.10163873,0.17569824,-0.031395532,0.03739426,0.06877242
propulsion engineer,0.5592582,0.1877621,-0.43758538,-0.25348923,-0.03632856,-0.03692712,0.09535986,0.2809126,-0.10157864,0.26343134,0.15618697,-0.15911584,-0.20185106,0.047781177,0.007138313,-0.042074587,0.14274508,0.13563074,0.060991768,-0.014296333,-0.09647798,0.037895475,-0.08270754,-0.09248587,0.078174815,-0.017037377,-0.011375042,-0.022009782,0.01812117,-0.05143152,0.06564103,0.0074434113,-0.015179149,-0.045718066,0.021798227,0.04474527,0.0018135475,-0.006532156,-0.008394346,0.027357733,0.068932645,0.107089214,0.05355208,-0.048047528,0.11531645,-0.043640025,-0.05926891,0.02340189,0.0032972165,-0.041884363
jet propulsion,0.32593006,0.21150486,-0.48687303,-0.11254421,-0.05359207,-0.018156134,0.07273623,0.16870938,-0.030127618,0.6207722,0.004749243,-0.14644025,-0.13708712,-0.0019018659,-0.031248316,0.07488038,0.07879242,0.100176565,0.104468755,-0.050479263,-0.09501874,0.03129348,-0.020782454,-0.07416243,-0.011553422,0.04061258,-0.00915004,-0.0029395265,0.11512782,-0.107035525,-0.07682337,-0.02891219,0.012107595,-0.066637665,-0.05647756,-0.014010707,0.0861536,-0.02118123,0.09874748,-0.06647927,0.01564425,-0.044550672,-0.060064435,0.048947778,-0.0060396926,0.060006693,0.041174788,0.044901863,-0.06422029,0.023774628
information technology program,0.65312564,-0.09341861,0.16015363,0.31803274,-0.33801904,-0.16720544,-0.08699159,0.20900051,-0.02537011,0.07684764,-0.075378746,-0.09395306,0.21711545,-0.047752947,0.06800279,0.08561498,-0.26041582,0.17529874,0.061678506,0.13021298,-0.02951337,0.010518206,-0.00691122,-0.023211287,0.03248721,0.05023285,-0.10095364,0.0034130649,0.003299252,0.07873934,-0.010810739,0.003072077,0.023141427,-0.02364448,-0.014232348,0.0051287925,-0.016056778,0.10441463,0.016117524,0.004320582,0.036706418,0.013128766,0.016987009,-0.047972437,0.045152564,0.009406109,-0.0076710493,0.030276451,-0.016808102,0.027575888
aerospace companies,0.41627523,0.17446171,-0.67785746,0.008414441,-0.0770486,-0.07257926,-0.2385945,-0.06258552,0.066287294,0.06810715,-0.00030664375,-0.02061522,0.24074514,0.16859585,0.017415212,-0.18201166,-0.031237744,-0.019679636,0.048164997,-0.1658607,0.0077237547,0.033182144,0.13236693,-0.026766332,-0.1292789,-0.13718021,0.002016228,-0.014229229,-0.01091717,-0.013873702,0.11600287,0.019788139,0.038698953,-0.060371056,-0.041503996,0.009610786,0.012633011,-0.030591967,-0.051281627,0.03867011,-0.045750007,-0.05924478,0.05175493,0.10203905,0.040991995,0.028001972,-0.019352857,-0.0034965933,-0.02433478,-0.02434047
