day,lambda,budget,n_candidates,n_new_candidates,n_masked,n_real_new,actual_cost,actual_revenue,actual_clicks,actual_profit,profit_old,profit_new,profit_new_raw,profit_total,observed_clicks_total,replay_clicks_total,replay_revenue_total,replay_cost_total,n_old,n_new,profit_improvement,profit_improvement_pct,cost_change,cost_change_pct
2025-12-07,0.0,355.98,637,7,7,6,355.98,2926.8,304.0,2570.82,53.939015244896446,-0.13510182601471607,-0.13510182601471607,53.80391341888173,304.0,11.868848606274067,56.31578948728485,2.5118760684031107,28.0,6.0,-2517.0160865811185,-0.9790713027676455,-353.4681239315969,-0.9929437719298749
2025-12-07,10.0,355.98,637,7,7,6,355.98,2926.8,304.0,2570.82,53.93901523190309,-362.45493896540705,-362.45493896540705,-308.51592373350394,304.0,45.86884860468753,56.31578947429161,364.83171320779553,28.0,6.0,-2879.335923733504,-1.1200068163984658,8.851713207795513,0.02486575989604897
2025-12-07,100.0,355.98,637,7,7,6,355.98,2926.8,304.0,2570.82,96.99198820609409,-362.46263546566206,-362.46263546566206,-265.47064725956795,304.0,48.27745447904299,99.55903271875214,365.02967997832013,28.0,6.0,-2836.2906472595682,-1.1032630239610584,9.049679978320114,0.025421877572672943
2025-12-08,0.0,355.0,637,6,6,4,355.0,1600.0,310.0,1245.0,159.6854439301304,0.0,0.0,159.6854439301304,310.0,10.146566232774937,161.53846153846013,1.8530176083297398,31.0,4.0,-1085.3145560698697,-0.8717385992529074,-353.14698239167024,-0.994780232089212
2025-12-08,10.0,355.0,637,6,6,4,355.0,1600.0,310.0,1245.0,159.68544393012735,-254.09720473942596,-254.09720473942596,-94.41176080929861,310.0,20.146566232774706,161.5384615384571,255.95022234775573,31.0,4.0,-1339.4117608092986,-1.0758327396058622,-99.04977765224427,-0.27901345817533596
2025-12-08,100.0,355.0,637,6,6,4,355.0,1600.0,310.0,1245.0,160.05009509292245,-475.8001613097849,-475.8001613097849,-315.7500662168625,310.0,81.49540344207745,961.5384615384615,1277.288527755324,31.0,4.0,-1560.7500662168625,-1.2536145110175603,922.2885277553239,2.5979958528318985
2025-12-09,0.0,362.77,637,7,7,6,362.77,4000.0,323.0,3637.23,410.2685032509336,-0.39828026133550626,-0.39828026133550626,409.87022298959806,323.0,21.77627054639081,414.08662900218496,4.216406012586878,28.0,6.0,-3227.359777010402,-0.8873125364660475,-358.5535939874131,-0.9883771921256254
2025-12-09,10.0,362.77,637,7,7,6,362.77,4000.0,323.0,3637.23,410.22822646364995,-1.4582740230140097,-1.4582740230140097,408.76995244063596,323.0,24.799099471694667,414.08662900186323,5.316676561227283,28.0,6.0,-3228.4600475593643,-0.887615038795832,-357.4533234387727,-0.9853442220656965
2025-12-09,100.0,362.77,637,7,7,6,362.77,4000.0,323.0,3637.23,410.6285032509362,-60.912924337253514,-60.912924337253514,349.7155789136827,323.0,120.57627054621736,1614.0866290018885,1264.3710500882057,28.0,6.0,-3287.5144210863173,-0.9038511232686185,901.6010500882057,2.4853241725837467
2025-12-10,0.0,347.52,637,6,6,5,347.52,4600.0,285.0,4252.48,131.08036145160403,-0.058075343463083774,-0.058075343463083774,131.02228610814095,285.0,18.529353578636268,135.19668737059442,4.17440126245347,31.0,5.0,-4121.4577138918585,-0.9691892058026984,-343.34559873754654,-0.9879880258331796
