Region,Targeted location,Clicks,Conversions,ConversionRate,AvgConversionRate,BidAdjustment,BidAdjustmentPct,GoogleAdsFormat
USA,"New Mexico, United States",430,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"North Dakota, United States",94,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Oklahoma, United States",411,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Oregon, United States",828,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Ottawa, Ontario, Canada",288,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Quebec City, Quebec, Canada",57,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Rhode Island, United States",292,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"South Carolina, United States",527,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"South Dakota, United States",52,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Tennessee, United States",687,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Utah, United States",877,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Vancouver, British Columbia, Canada",309,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Vermont, United States",113,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Washington, District of Columbia, United States",738,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"West Virginia, United States",107,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Winnipeg, Manitoba, Canada",91,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Wisconsin, United States",594,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Wyoming, United States",71,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
