Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Conv,Act_Conv,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_C,Act_Cost_Region_C,Opt_Clicks_Region_C,Act_Clicks_Region_C,Opt_Conv_Region_C,Act_Conv_Region_C,Opt_Purch_Region_C,Act_Purch_Region_C,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Conv_Region_USA,Act_Conv_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Conv_Region_A,Act_Conv_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Conv_Region_B,Act_Conv_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Conv_Origin_new,Act_Conv_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Conv_Origin_existing,Act_Conv_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Conv_Origin_existing searches,Act_Conv_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches
2025-12-11,847,133.48268,129.13498,452.8743547672722,262,838.6299979443271,733.25,2.743853237114061,2.7612443366879895,0.08915328014702227,0.07165574790297048,115,105,0.45535494300718654,0.9739130434782609,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",6.162009239196777,0.8601198196411133,-0.0004353249016436,0.0,36.02,0.0,27.270775,0.0,0.5803783628399688,0.0,0.005079197333963357,658.9000004034823,587.6199999999999,74.52566,66.11119,1.7465433284560317,1.5493463774950806,0.05705446786134672,0.050612619601616955,179.72999754084483,67.17,58.957027,19.793814,0.9973099086580292,0.3348297462967126,0.03209881228567554,0.010776627285795707,0.0,42.44,0.0,15.959212,0.0,0.2966898500562267,0.0,0.005187303681594455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.9999997051467,733.25,102.03559,129.13498,2.244214357452558,2.761244336687989,0.07312816084393539,0.07165574790297047,272.6299982391804,0.0,31.447098,0.0,0.4996389678004853,0.0,0.01602512216678862,0.0
2025-12-12,847,310.0135,116.50652,444.86124661846674,235,847.0900026234992,742.6499999999999,6.020583511849256,2.53717156292257,0.19509779475212333,0.06988715444329492,114,110,2.0714017734973047,0.7982456140350878,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.234637260437012,0.9037667512893676,-0.0003110686046088,0.0,31.66,0.0,22.034447,0.0,0.4689384949900477,0.0,0.00410392824069321,423.2200014462854,631.39,119.07244,70.6284,2.790518130870741,1.6552095219857565,0.09115807459240946,0.05407085924367826,422.98000119455264,60.2,190.86345,18.059134,3.2286229015472174,0.30548607506472175,0.10391449995463044,0.009832189667687955,0.889999982661184,19.4,0.07759225,5.7845364,0.0014424794312950925,0.10753747088204443,2.5220205083400256e-05,0.0018801772912355084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.6500032193449,742.6499999999999,77.35782,116.50652,1.5409752505893706,2.5371715629225706,0.04999929005307136,0.06988715444329494,641.4399994041542,0.0,232.65567,0.0,4.479608261259884,0.0,0.14509850469905194,0.0
2025-12-13,847,291.62814,130.97546,433.38358069170283,266,847.1699990143887,577.23,5.680914353782086,2.6671361510620293,0.18398879626551162,0.06921844152775888,137,106,0.29982759974764,0.5255474452554745,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.29169511795044,0.9023619294166564,-0.0002279284945151,0.0,35.629999999999995,0.0,25.437872,0.0,0.5413704066902584,0.0,0.004737818124184649,438.53999488830647,386.17,114.55765,48.01753,2.6847118442761104,1.125313062279695,0.08770169233169661,0.03676069004400128,407.0500041217135,110.81000000000002,176.53316,41.12817,2.986213428478537,0.6957191239733828,0.09611245557028131,0.022391994073362453,1.5800000043685998,44.62,0.53732157,16.39189,0.009989081027439117,0.30473355811869324,0.0001746483635337048,0.005327939286210509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.7000000117159,577.23,73.36756,130.97546,1.5293161695597923,2.6671361510620293,0.049720722719584984,0.0692184415277589,634.4699990026728,0.0,218.26057,0.0,4.151598094823086,0.0,0.13426807062551568,0.0
2025-12-14,847,251.60033,144.56898,480.5930535147628,293,847.4599999998763,767.8199999999998,4.678436867383281,3.09680285300005,0.1283056913621904,0.07986875706804944,41,103,0.1746791898976019,0.7073170731707317,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.258957862854004,0.9030151963233948,-0.0003572614883208,0.0,40.400000000000006,0.0,31.221401,0.0,0.6644558443220836,0.0,0.005815003744286173,338.01000798781416,615.81,43.397,74.22351,1.0170288978475313,1.7394625536159003,0.03322336275367339,0.056823159634423526,333.07999591833266,65.53,124.92163,20.572958,2.1131591208272997,0.3480096563364645,0.06801285875166922,0.01120082788245613,176.36999609372947,46.07999999999999,83.281685,18.55112,1.5482488487084498,0.34487479872560095,0.027069469856847786,0.006029765806883594,1.309999995984434,0.0,0.25327748,0.0,0.005935675755248334,0.0,0.00019390118532734498,0.0,150.29000137138974,767.8199999999998,43.247547,144.56898,0.8787193151844505,3.0968028530000495,0.020851464035759715,0.07986875706804943,695.8599986325022,0.0,208.0995,0.0,3.79378190491785,0.0,0.10726032653290145,0.0
2025-12-15,847,157.6974,143.66783,411.53095032576016,310,847.4599999999825,846.0999999999999,2.6479889720498635,3.123995471209703,0.08494954948583044,0.08419640907154712,322,116,0.30122598607246165,0.968944099378882,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.212094306945801,0.9039974808692932,-0.0003615911352102,0.0,40.28,0.0,28.205372,0.0,0.6002685159015617,0.0,0.005253266559956231,422.13000105080266,704.14,-3.232534,84.474754,-0.07575593308098207,1.9797050442462312,-0.0024747250061618116,0.06467117991383749,422.0699923228793,68.53,160.04988,19.141731,2.707384071216149,0.3237991989609239,0.08713822286608197,0.010421604774472052,3.2600066263006227,33.15,0.88006383,11.845976,0.01636083391469547,0.22022271210098712,0.0002860516259102611,0.00385035782328136,10.390000098782885,0.0,0.97077054,0.0,0.02275045981878482,0.0,0.0007431910548186524,0.0,127.0900000528501,846.0999999999999,7.483467,143.66783,0.13136347139559829,3.1239954712097036,0.004236251207349379,0.08419640907154712,709.9799998483496,0.0,149.24315,0.0,2.4938750583645812,0.0,0.07997010778851629,0.0
2025-12-16,847,276.34238,137.50842,553.3898001403738,293,847.4599999999999,761.4499999999999,5.253053426263069,2.9633634352603297,0.14492420985337068,0.07670739394612956,176,116,1.3263649539884736,0.9375,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.423097133636475,0.8990849256515503,-0.0004304253497354,0.0,40.089999999999996,0.0,32.203556,0.0,0.6853580449759761,0.0,0.005997929932843088,341.6900014431371,617.99,65.341896,72.9568,1.5313177756901184,1.7097768315328705,0.050023677852788107,0.05585341382340815,340.4999931101116,70.10999999999999,119.94929,19.788567,2.029047692663032,0.334740986718848,0.06530569930174673,0.010773770523816614,165.2700054467512,33.26,91.0512,12.5595045,1.692687957909918,0.23348757203263457,0.02959483269883583,0.0040822796660617226,7.349999805349757,0.0,1.9732382,0.0,0.037124061651117556,0.0,0.0012013369256898122,0.0,106.68999997361402,761.4499999999999,36.12132,137.50842,0.7097645204523155,2.9633634352603293,0.019793199242706935,0.07670739394612956,733.420000221036,0.0,238.24783,0.0,4.5061647589954665,0.0,0.12392966987375857,0.0
2025-12-17,847,314.8015,137.81479,423.72089375704667,275,846.4294042923777,748.7800000000001,6.181661574690869,2.937793057110589,0.19618877330755524,0.07806026804073443,88,107,0.08896863117348064,0.7272727272727273,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.474918842315674,0.8977987766265869,-0.0002319130338739,0.0,33.76,0.0,27.82649,0.0,0.5922051773074023,0.0,0.0051827000286853355,416.3894093716243,599.62,127.420456,71.18333,2.986157747634997,1.6682144247178645,0.09754904929382144,0.05449569142097382,403.4999950242073,76.22,171.98148,26.292875,2.9092177372610366,0.44476708196523784,0.09363431891713006,0.01431500374247776,26.539999896546068,39.18,15.399584,12.512105,0.28628608979483566,0.23260637312008353,0.005005405096603723,0.004066872848597536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.18999986362684,748.7800000000001,58.727566,137.81479,1.1232871176097026,2.9377930571105884,0.03637828551902213,0.07806026804073445,695.239404428751,0.0,256.07394,0.0,5.058374675538285,0.0,0.15981049486272372,0.0
2025-12-18,847,261.77698,122.20337,407.49371458885975,252,847.4600000000003,497.81999999999994,4.902055733432325,2.570809511896648,0.1470184811671254,0.056272232677953844,48,98,0.09124013643531691,0.8958333333333334,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.3933424949646,0.8995668888092041,-0.0004711014740027,0.0,38.35000000000001,0.0,45.996117,0.0,0.978892195503768,0.0,0.008566802189714352,403.670305326702,351.89000000000004,61.91799,42.674053,1.4510769804978452,1.000086228217498,0.04740244550436788,0.03266989523635351,361.5896919720782,68.42,157.94627,18.850927,2.6717997079342517,0.318879995384363,0.08599292611591944,0.010263278269512809,82.20000270121997,39.160000000000004,41.91274,14.682282,0.7791790450002284,0.2729510927910185,0.013623109546838062,0.004772256982373181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.56000516846223,497.81999999999994,59.0822,122.20337,1.213022156219141,2.570809511896648,0.039310805129753976,0.05627223267795385,591.899994831538,0.0,202.6948,0.0,3.6890336424738415,0.0,0.10770767744837345,0.0
2025-12-19,847,304.44745,119.68795,420.96543410328354,250,846.8600004129115,879.69,5.817042621492518,2.685253526029856,0.18534326012268265,0.08280685256314325,150,108,0.6912399852137665,0.94,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.183595657348633,0.9042649269104004,-0.0005037299014576,0.0,12.809999999999999,0.0,5.390459,0.0,0.11472009221564154,0.0,0.0010039760677542425,420.5800073696679,802.39,99.49141,95.82813,2.3316275282100722,2.2457769327398056,0.07616745929257478,0.07336297115859537,408.739992421739,39.949999999999996,193.966,11.105819,3.2811050751511246,0.18786467980882657,0.10560365938664973,0.006046498726164559,17.540000621504788,24.54,10.990018,7.3635335,0.20431001813132027,0.13689182126558233,0.0035721414434581353,0.0023934066106290858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0000023544415,879.69,40.26452,119.68795,0.8269114892722623,2.6852535260298556,0.026866924176739478,0.08280685256314327,699.85999805847,0.0,264.1829,0.0,4.990131112390904,0.0,0.1584763353292588,0.0
2025-12-20,847,260.87576,127.02565,424.9697125122942,260,846.8800032461811,767.5000000000001,4.819261278151353,2.6982412565355363,0.1547492973678831,0.0799074973480623,21,101,9.897959270980921,0.9523809523809523,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.438736438751221,0.8983293771743774,-0.0002897558695486,0.0,9.589999999999998,0.0,4.5653977,0.0,0.09716108475578461,0.0,0.0008503079271282977,418.86000207818097,626.9,61.333267,76.03967,1.4373736911558297,1.7820253375641457,0.046954799076924306,0.05821356143511137,419.4399988320001,80.64,195.6901,26.230968,3.310269839854849,0.44371987381592864,0.10654233882766767,0.014281298935660049,8.580002336000017,50.36999999999999,3.8523824,20.1896,0.07161774714067418,0.37533496039967734,0.0012521594632910935,0.006562329050162576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.6199980502213,767.5000000000001,114.8177,127.02565,2.245471419918062,2.6982412565355363,0.07279641572528116,0.07990749734806228,421.26000519595976,0.0,146.05804,0.0,2.5737900543406074,0.0,0.08195288798668982,0.0
2025-12-21,847,327.55295,234.62411,430.57965003098525,369,846.8299898020658,1021.3899999999999,6.181694564735776,4.988632555038612,0.1721112111977761,0.112815113508583,27,116,0.27673586879784695,0.8148148148148148,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.222603797912598,0.9031789302825928,-0.0002849724929873,0.0,74.85000000000001,0.0,90.48374,0.0,1.9256805787185785,0.0,0.01685264697607165,350.8799894385961,789.2599999999999,72.295494,92.375305,1.6942785849003126,2.1648583127553764,0.055347131385407485,0.07071959625453995,324.9100036369807,121.07000000000002,154.03395,38.36396,2.6056193277225033,0.6489601524632331,0.08386288450802044,0.020887038155301692,171.03999672648905,36.21,101.22352,13.401114,1.8817966521129614,0.24913351110142537,0.03290119530434815,0.004355832122669726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.3099882866941,1021.3899999999999,129.11072,234.62411,2.628884992412704,4.988632555038613,0.08433708942703355,0.112815113508583,421.52000151537175,0.0,198.44223,0.0,3.55280967940756,0.0,0.0877741258796809,0.0
